"","V1","V2","V3"
"count",NA,NA,NA
"","aquilaTMT.csv","LENGTH","260"
"","aquilaTMT.csv","PROX.W","260"
"","aquilaTMT.csv","MID.W","260"
"","aquilaTMT.csv","MID.D","260"
"","aquilaTMT.csv","DIST.W","260"
"","bisonAstragali.csv","Length","92"
"","bisonAstragali.csv","Width","92"
"","bisonAstragali.csv","Depth","92"
"","bisonMetacarpal.csv","Max.Length","114"
"","bisonMetacarpal.csv","Condyle.Width","114"
"","bisonMetacarpal.csv","Facet.Width","112"
"","bisonMetacarpal.csv","Min.Depth","114"
"","bisonMetatarsal.csv","Max.Length","91"
"","bisonMetatarsal.csv","Condyle.Width","91"
"","bisonMetatarsal.csv","Facet.Width","91"
"","bisonMetatarsal.csv","Min.Depth","91"
"","bisonPatellae.csv","Length","68"
"","bisonPatellae.csv","Width","68"
"","bisonPatellae.csv","Depth","68"
"","camelopsAstragalus.csv","length","64"
"","camelopsAstragalus.csv","width","64"
"","camelopsAstragalus.csv","depth","64"
"","camelopsCalcaneus.csv","length","34"
"","camelopsCalcaneus.csv","width","42"
"","camelopsCalcaneus.csv","depth","42"
"","camelopsCalcaneus.csv","length2","39"
"","camelopsCuboid.csv","length","33"
"","camelopsCuboid.csv","width","33"
"","camelopsCuboid.csv","depth","33"
"","camelopsPatellae.csv","LENGTH","26"
"","camelopsPatellae.csv","WIDTH","26"
"","camelopsPatellae.csv","DEPTH","26"
"","canisAstragali.csv","Max.length..prx.dst.","304"
"","canisAstragali.csv","Prx.width","304"
"","canisAstragali.csv","Dst.width","304"
"","canisAstragali.csv","Depth","304"
"","canisFemora.csv","LENGTH","228"
"","canisFemora.csv","DST.W","228"
"","canisFemora.csv","DST.D","228"
"","canisFemora.csv","MED.W","228"
"","canisFemora.csv","MED.D","228"
"","canisFemora.csv","PRX.W","228"
"","canisFemora.csv","PRX.D","228"
"","canisHumeri.csv","DST.PRX.L","247"
"","canisHumeri.csv","DST.W","247"
"","canisHumeri.csv","DST.D","247"
"","canisHumeri.csv","MED.W","247"
"","canisHumeri.csv","MED.D","247"
