"Taxa","Elements","Dimensions","Count"
NA,NA,NA,NA
"Canis dirus","humerus","Side",247
"Canis dirus","humerus","Length",247
"Canis dirus","humerus","DistWidth",247
"Canis dirus","humerus","DistDepth",247
"Canis dirus","humerus","MidWidth",247
"Canis dirus","humerus","MidDepth",247
"Canis dirus","humerus","ProxWidth",247
"Canis dirus","humerus","ProxDepth",247
"Canis dirus","femur","Side",229
"Canis dirus","femur","Length",229
"Canis dirus","femur","DistWidth",229
"Canis dirus","femur","DistDepth",229
"Canis dirus","femur","MidWidth",229
"Canis dirus","femur","MidDepth",229
"Canis dirus","femur","ProxWidth",229
"Canis dirus","femur","ProxDepth",229
"Canis dirus","astragalus","Side",304
"Canis dirus","astragalus","Length",304
"Canis dirus","astragalus","ProxWidth",304
"Canis dirus","astragalus","DistWidth",304
"Canis dirus","astragalus","Depth",304
"Felis concolor","m1","Length",63
"Felis concolor","m1","Width",63
"Felis concolor","mc3","Length",27
"Felis concolor","mc3","Width",27
"Felis concolor","mt3","Length",35
"Felis concolor","mt3","Width",35
"Lynx rufus","m1","Length",89
"Lynx rufus","m1","Width",89
"Lynx rufus","mc3","Length",24
"Lynx rufus","mc3","Width",24
"Lynx rufus","mt3","Length",25
"Lynx rufus","mt3","Width",25
"Panthera atrox","astragalus","Length",59
"Panthera atrox","astragalus","Width",59
"Panthera atrox","astragalus","Depth",59
"Panthera atrox","astragalus","L4",59
"Panthera atrox","astragalus","L5",59
"Panthera atrox","astragalus","L6",59
"Panthera atrox","patella","Length",64
"Panthera atrox","patella","Width",64
"Panthera atrox","patella","Depth",64
"Smilodon fatalis","Humerus","ProxWidth",298
"Smilodon fatalis","Humerus","ProxDepth",298
"Smilodon fatalis","Humerus","MidWidth",298
"Smilodon fatalis","Humerus","MidDepth",298
"Smilodon fatalis","Humerus","DistWidth",298
"Smilodon fatalis","Humerus","DistDepth",298
"Smilodon fatalis","Humerus","Length",298
"Smilodon fatalis","Femur","ProxWidth",261
"Smilodon fatalis","Femur","ProxDepth",261
"Smilodon fatalis","Femur","MidWidth",261
"Smilodon fatalis","Femur","MidDepth",261
"Smilodon fatalis","Femur","DistWidth",261
"Smilodon fatalis","Femur","DistDepth",261
"Smilodon fatalis","Femur","Length",261
"Smilodon fatalis","Astragalus","L1",373
"Smilodon fatalis","Astragalus","L2",373
"Smilodon fatalis","Astragalus","L3",373
"Smilodon fatalis","Astragalus","L4",373
"Smilodon fatalis","Astragalus","L5",373
"Smilodon fatalis","Astragalus","L6",373
"Smilodon fatalis","MT3","Length",282
"Smilodon fatalis","MT3","MidWidth",277
"Smilodon fatalis","MT3","MidDepth",277
"Smilodon fatalis","MT3","DistWidth",277
"Smilodon fatalis","MC3","Length",282
"Smilodon fatalis","MC3","MidWidth",277
"Smilodon fatalis","MC3","MidDepth",277
"Smilodon fatalis","MC3","DistWidth",277
"Bison antiquus","Patella","Length",90
"Bison antiquus","Patella","Width",90
"Bison antiquus","Patella","Depth",90
"Bison antiquus","Astragalus","Length",95
"Bison antiquus","Astragalus","Width",95
"Bison antiquus","Astragalus","Depth",95
"Bison antiquus","Calcaneum","Length",67
"Camelops hesternus","Astragalus","Side",56
"Camelops hesternus","Astragalus","Length",72
"Camelops hesternus","Astragalus","Width",72
"Camelops hesternus","Astragalus","Depth",72
"Camelops hesternus","Calcaneum","Length",42
"Camelops hesternus","Calcaneum","Width",51
