"Source","Region","Interval","Start (14C ka)","End (14C ka)","Start (cal ka)","End (cal ka)"
"global timescale","global","MIS 4",NA,NA,71,57
"global timescale","global","MIS 3",NA,NA,57,29
"global timescale","global","LGM",NA,NA,29,21
"global timescale","global","HS-1",NA,NA,21,14.69
"global timescale","global","B-A",NA,NA,14.69,12.89
"global timescale","global","YD",NA,NA,12.89,11.7
"global timescale","global","Holocene",NA,NA,11.7,0
"Heusser, 1998_(pollen, Western US)","Southern California","conifer forest",NA,NA,59,14
"Heusser, 1998_(pollen, Western US)","Southern California","transition",NA,NA,14,10
"Heusser, 1998_(pollen, Western US)","Southern California","oak_chaparral",NA,NA,10,0
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","oak_chaparral",NA,NA,14.9,0
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","pine_forest",NA,NA,20,14.9
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","juniper_sagebrush",NA,NA,26,20
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","juniper_pine",NA,NA,44,26
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","juniper_oak",NA,NA,56,44
"Heusser, 1995_(pollen, Santa Barbara Basin))","Santa Barbara Basin","pine_juniper",NA,NA,70,56
"Heusser and Sirocko, 1997_(pollen seasonality,_Santa Barbara Basin)","Santa Barbara Basin","low",NA,NA,24,20.4
"Heusser and Sirocko, 1997_(pollen seasonality,_Santa Barbara Basin)","Santa Barbara Basin","high",NA,NA,20.4,8.8
"Heusser and Sirocko, 1997_(pollen seasonality,_Santa Barbara Basin)","Santa Barbara Basin","low",NA,NA,8.8,0
"Kirby et al., 2013_(grain size, d2H,_Lake Elsinore)","Lake Elsinore","wet",NA,NA,19,15
"Kirby et al., 2013_(grain size, d2H,_Lake Elsinore)","Lake Elsinore","mid",NA,NA,15,12.7
"Kirby et al., 2013_(grain size, d2H,_Lake Elsinore)","Lake Elsinore","dry",NA,NA,12.7,11.6
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","variable",NA,NA,32.6,27.6
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","`_drought",NA,NA,27.6,25.7
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","mid",NA,NA,25.7,23.3
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","cold/_dry",NA,NA,23.3,19.7
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","cold/_wet",NA,NA,19.7,14.4
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","trans.",NA,NA,14.4,12.5
"Heusser et al., 2015_(pollen, Lake Elsinore)","Lake Elsinore","`_modern",NA,NA,12.5,10.8
"Feakins et al., 2019_(plant wax,_Lake Elsinore)","Lake Elsinore","hot/_dry",NA,NA,32,27.5
"Feakins et al., 2019_(plant wax,_Lake Elsinore)","Lake Elsinore","drought",NA,NA,27.5,25.5
"Feakins et al., 2019_(plant wax,_Lake Elsinore)","Lake Elsinore","trans.",NA,NA,25.5,20
