"species","element","measurement","direction","mstep"
"Aenocyon dirus","humerus","PC2","smaller",-0.182762418850976
"Aenocyon dirus","humerus","PC6","smaller",-0.0829544620018506
"Aenocyon dirus","femur","PC3","larger",0.152552163466588
"Aenocyon dirus","femur","PC4","larger",0.103718348178301
"Aenocyon dirus","femur","PC5","smaller",-0.0913049909248893
"Aenocyon dirus","femur","PC7","smaller",-0.169466721835612
"Athene cunicularia","TMT","Depth","smaller",-0.111407835534343
"Athene cunicularia","TMT","PC1","smaller",-0.303233175956866
"Athene cunicularia","TMT","PC2","larger",0.155554136230766
"Buteo swainsoni","Tarsometatarsus","Width","smaller",-0.125851217434363
"Buteo swainsoni","Tarsometatarsus","PC2","larger",0.158750886252849
"Camelops hesternus","Astragalus","PC3","smaller",-0.173690629509281
"Camelops hesternus","Calcaneum","Length","smaller",-7.89104583984762
"Camelops hesternus","Calcaneum","Width","smaller",-2.45061215437366
"Caracara prelutosa","Tarsometatarsus","PC4","smaller",-0.187947328918836
"Circus hudsonius","TMT","Length","larger",0.821766112835697
"Circus hudsonius","TMT","PC2","larger",0.190644057982991
"Corvus corax","TMT","PC2","smaller",-0.159477659198263
"Equus occidentalis","Astragalus","PC3","larger",0.182835415323126
"Equus occidentalis","MetapodialFront","Length","smaller",-1.97929819155597
"Equus occidentalis","MetapodialFront","ProxWidth","smaller",-1.00347167163565
"Equus occidentalis","MetapodialFront","ProxDepth","smaller",-0.677376531141567
"Equus occidentalis","MetapodialFront","MidWidth","smaller",-0.810377946067013
"Equus occidentalis","MetapodialFront","DistWidth","smaller",-0.577289605907055
"Equus occidentalis","MetapodialFront","DistDepth","smaller",-0.499233521793591
"Equus occidentalis","MetapodialFront","PC1","smaller",-0.772676920523865
"Equus occidentalis","MetapodialRear","MidWidth","smaller",-0.430462219612214
"Equus occidentalis","MetapodialRear","DistDepth","smaller",-0.489928987642924
"Equus occidentalis","MetapodialRear","PC7","larger",0.107540218678285
"Gymnogyps amplus","Cranium","Cranial_height","larger",0.463067581760218
"Gymnogyps amplus","Cranium","Foramen_magnum_width","smaller",-0.275781307520866
"Gymnogyps amplus","Cranium","OccWidthL","larger",0.147686787907211
"Gymnogyps amplus","Cranium","PC2","smaller",-0.414157865169476
"Gymnogyps amplus","Cranium","PC8","smaller",-0.16768088780663
"Gymnogyps amplus","Cranium","PC9","larger",0.230868239918484
"Gymnogyps amplus","Cranium","PC11","smaller",-0.117893427400278
"Gymnogyps amplus","Humerus","Length","smaller",-2.60691045409785
"Gymnogyps amplus","Humerus","ProxWidth","smaller",-0.506069437226973
"Gymnogyps amplus","Humerus","ProxDepth","smaller",-0.33968199396371
"Gymnogyps amplus","Humerus","MidWidth","smaller",-0.401741364236494
"Gymnogyps amplus","Humerus","MidDepth","smaller",-0.42519724745733
"Gymnogyps amplus","Humerus","PC1","smaller",-0.729644293722881
"Gymnogyps amplus","Humerus","PC4","smaller",-0.343366402141322
"Gymnogyps amplus","CMC","Length","smaller",-0.937143940820812
"Gymnogyps amplus","CMC","ProxWidth","smaller",-0.265068801546695
"Gymnogyps amplus","CMC","ProxDepth","smaller",-0.232420227881722
"Gymnogyps amplus","CMC","MidWidth","smaller",-0.205053599630986
"Gymnogyps amplus","CMC","MidDepth","smaller",-0.231190908650351
"Gymnogyps amplus","CMC","DistWidth","smaller",-0.305343162141278
"Gymnogyps amplus","CMC","DistDepth","smaller",-0.202258637471741
"Gymnogyps amplus","CMC","PC1","smaller",-0.688906818283504
"Gymnogyps amplus","Femur","PC4","smaller",-0.270704654098657
"Gymnogyps amplus","Tibiotarsus","PC7","smaller",-0.199119732336473
"Gymnogyps amplus","TMT","PC4","smaller",-0.144970707643593
"Gymnogyps amplus","TMT","PC5","smaller",-0.119886474936957
"Lynx rufus","m1","PC1","larger",0.521892384925421
"Panthera atrox","astragalus","PC4","larger",0.0971332553055627
"Panthera atrox","astragalus","PC6","smaller",-0.0605898128743949
"Paramylodon harlani","Astragalus","Length","larger",3.7831686786248
"Paramylodon harlani","Astragalus","PC1","larger",0.437792954597923
"Paramylodon harlani","Radius","MidWidth","smaller",-2.2308095623786
"Smilodon fatalis","Humerus","ProxWidth","larger",2.12509613120479
"Smilodon fatalis","Humerus","ProxDepth","larger",1.2702274278722
"Smilodon fatalis","Humerus","MidWidth","larger",1.3333634944991
"Smilodon fatalis","Humerus","DistWidth","larger",1.47821456579847
"Smilodon fatalis","Humerus","DistDepth","larger",1.82123563032553
"Smilodon fatalis","Humerus","Length","larger",4.976257266731
"Smilodon fatalis","Humerus","PC1","larger",0.658786781233239
"Smilodon fatalis","Humerus","PC4","smaller",-0.0918780802521678
"Smilodon fatalis","Humerus","PC5","smaller",-0.114075849048514
"Smilodon fatalis","Humerus","PC7","larger",0.0650940144511357
"Smilodon fatalis","Femur","Length","larger",4.54068869213611
"Smilodon fatalis","Astragalus","L4","larger",0.503363128992469
"Smilodon fatalis","Astragalus","L5","larger",0.758808995914602
"Smilodon fatalis","Astragalus","PC2","smaller",-0.127746162315528
"Smilodon fatalis","MT3","Length","larger",1.67674022778913
"Smilodon fatalis","MT3","PC2","smaller",-0.217887948980638
"Smilodon fatalis","MT3","PC4","smaller",-0.0801215168175435
"Smilodon fatalis","MC3","Length","larger",1.57306018284143
"Smilodon fatalis","MC3","PC2","smaller",-0.206545968952899
"Smilodon fatalis","MC3","PC4","smaller",-0.085937846116789
"Sturnella neglecta","TMT","Width","smaller",-0.0634603400447066
