"species","element","measurements","direction"
"Aenocyon dirus","humerus","PC2, PC6","smaller"
"Aenocyon dirus","femur","PC3, PC4","larger"
"Aenocyon dirus","femur","PC5, PC7","smaller"
"Athene cunicularia","TMT","Depth, PC1","smaller"
"Athene cunicularia","TMT","PC2","larger"
"Buteo swainsoni","Tarsometatarsus","Width","smaller"
"Buteo swainsoni","Tarsometatarsus","PC2","larger"
"Camelops hesternus","Astragalus","PC3","smaller"
"Camelops hesternus","Calcaneum","Length, Width","smaller"
"Caracara prelutosa","Tarsometatarsus","PC4","smaller"
"Circus hudsonius","TMT","Length, PC2","larger"
"Corvus corax","TMT","PC2","smaller"
"Equus occidentalis","Astragalus","PC3","larger"
"Equus occidentalis","MetapodialFront","Length, ProxWidth, ProxDepth, MidWidth, DistWidth, DistDepth, PC1","smaller"
"Equus occidentalis","MetapodialRear","MidWidth, DistDepth","smaller"
"Equus occidentalis","MetapodialRear","PC7","larger"
"Gymnogyps amplus","Cranium","Cranial_height, OccWidthL, PC9","larger"
"Gymnogyps amplus","Cranium","Foramen_magnum_width, PC2, PC8, PC11","smaller"
"Gymnogyps amplus","Humerus","Length, ProxWidth, ProxDepth, MidWidth, MidDepth, PC1, PC4","smaller"
"Gymnogyps amplus","CMC","Length, ProxWidth, ProxDepth, MidWidth, MidDepth, DistWidth, DistDepth, PC1","smaller"
"Gymnogyps amplus","Femur","PC4","smaller"
"Gymnogyps amplus","Tibiotarsus","PC7","smaller"
"Gymnogyps amplus","TMT","PC4, PC5","smaller"
"Lynx rufus","m1","PC1","larger"
"Panthera atrox","astragalus","PC4","larger"
"Panthera atrox","astragalus","PC6","smaller"
"Paramylodon harlani","Astragalus","Length, PC1","larger"
"Paramylodon harlani","Radius","MidWidth","smaller"
"Smilodon fatalis","Humerus","ProxWidth, ProxDepth, MidWidth, DistWidth, DistDepth, Length, PC1, PC7","larger"
"Smilodon fatalis","Humerus","PC4, PC5","smaller"
"Smilodon fatalis","Femur","Length","larger"
"Smilodon fatalis","Astragalus","L4, L5","larger"
"Smilodon fatalis","Astragalus","PC2","smaller"
"Smilodon fatalis","MT3","Length","larger"
"Smilodon fatalis","MT3","PC2, PC4","smaller"
"Smilodon fatalis","MC3","Length","larger"
"Smilodon fatalis","MC3","PC2, PC4","smaller"
"Sturnella neglecta","TMT","Width","smaller"
