"catno","pit","length","proxwidth","midwidth","middepth","distwidth"
"B8443","16",100,23,13,11,25
"B8575","16",94,19,10,9,22
"B8614","16",96,20,10,10,22
"B8638","16",99,20,11,11,22
"B8714","16",99,20,11,10,23
"B9243","16",99,20,11,10,23
"B9322","16",99,21,12,12,24
"B9327","16",97,21,10,10,23
"B9354","16",102,22,12,10,24
"B9415","16",99,20,11,10,23
"B9447","16",94,20,10,9,23
"B9454","16",100,20,10,9,23
"B9534","16",96,20,10,8,22
"B9536","16",100,20,10,9,22
"B9537","16",93,20,10,9,22
"B9576","16",99,19,11,10,22
"B9583","16",97,20,11,10,23
"B9608","16",99,24,14,12,25
"B9629","16",98,20,11,10,23
"B9631","16",99,20,11,10,23
"B9634","16",103,22,11,9,24
"B9656","16",99,21,12,10,23
"B9664","16",102,21,12,10,24
"B9669","16",99,24,13,12,26
"B9781","16",97,20,12,10,23
"B9898","16",98,21,11,10,23
"B9962","16",100,22,12,9,24
"C1025","16",101,23,13,12,26
"C106","16",99,22,12,11,24
"C1173","16",102,23,11,11,25
"C1203","16",99,22,11,11,23
"C138","16",92,20,10,9,22
"C169","16",99,18,11,8,21
"C1873","16",97,21,11,10,23
"C1874","16",99,20,11,11,23
"C1952","16",102,22,13,12,26
"C1995","16",99,22,12,12,26
"C2012","16",96,20,11,11,22
"C2041","16",98,20,11,11,23
"C2177","16",102,20,10,9,22
"C2688","16",95,20,10,8,22
"C2770","16",100,21,11,10,24
"C3046","16",100,21,11,10,23
"C3049","16",99,20,11,10,23
"C3191","16",96,21,11,7,23
"C3324","16",98,20,10,10,22
"C3388","16",97,21,11,9,23
"C344","16",97,20,10,10,23
"C3499","16",98,20,11,11,22
"C359","16",102,24,12,9,25
"C3603","16",97,20,10,9,23
"C3615","16",95,21,10,10,23
"C3621","16",99,20,11,10,23
"C3639","16",96,20,11,10,22
"C3642","16",99,22,13,11,25
"C3651","16",98,21,11,10,24
"C3660","16",97,20,11,10,23
"C3677","16",96,20,12,10,22
"C369","16",97,20,11,9,23
"C3705","16",95,21,11,11,24
"C3817","16",98,21,11,11,23
"C3840","16",94,20,11,10,22
"C3859","16",89,19,10,9,22
"C3889","16",99,20,11,10,22
"C3892","16",100,23,13,12,25
"C4030","16",98,22,13,10,23
"C4134","16",101,23,13,11,26
"C4161","16",104,23,12,12,26
"C4190","16",97,21,10,9,22
"C4251","16",97,20,10,10,22
"C431","16",101,22,12,11,25
"C442","16",94,18,10,8,22
"C4510","16",104,23,12,12,25
"C4604","16",98,22,11,11,26
"C4620","16",99,20,12,11,22
"C4622","16",97,19,11,9,22
"C4657","16",98,20,11,10,23
"C4676","16",98,23,12,10,24
"C4809","16",98,21,11,10,23
"C4831","16",98,22,11,10,23
"C5165","16",96,20,10,9,23
"C5167","16",98,22,11,10,23
"C5315","16",95,20,10,10,23
"C539","16",95,21,10,9,22
"C5404","16",101,21,12,10,24
"C5466","16",101,22,12,11,26
"C555","16",96,20,12,9,23
"C5577","16",99,22,11,10,24
"C5635","16",99,22,12,11,25
"C5657","16",100,21,12,10,25
"C5705","16",100,22,12,10,24
"C5710","16",97,20,11,10,23
"C5758","16",97,22,12,10,25
"C5784","16",98,20,10,9,21
"C579","16",99,22,12,10,24
"C5798","16",100,23,13,12,26
"C5891","16",101,22,11,11,25
"C5896","16",101,22,12,10,25
"C5974","16",97,20,11,10,22
"C6023","16",99,20,10,9,22
"C606 ","16",97,20,11,10,23
"C612","16",99,21,12,11,23
"C616","16",100,23,12,11,25
"C6193","16",100,20,10,9,23
"C6325","16",100,22,12,11,25
"C6454","16",97,20,9,9,22
"C65","16",95,21,10,9,23
"C6525","16",97,22,12,11,24
"C6545","16",96,20,11,9,22
"C6675","16",97,22,12,11,25
"C6691","16",97,22,12,11,24
"C672","16",98,22,11,10,22
"C6738","16",98,20,10,9,22
"C6744","16",98,23,12,11,24
"C6860","16",100,22,11,10,25
"C6877","16",94,19,10,9,22
"C697","16",100,21,11,10,24
"C7038","16",103,22,12,11,25
"C7052","16",99,22,12,10,24
"C7056","16",96,22,11,10,24
"C709","16",95,20,10,9,22
"C7095","16",99,20,10,10,23
"C717","16",91,19,10,8,21
"C7185","16",95,20,11,10,24
"C7206","16",96,22,11,10,24
"C7329","16",104,23,12,11,25
"C736 ","16",96,22,11,10,25
"C7365","16",98,20,10,9,22
"C7522","16",96,22,11,9,23
"C7540","16",96,20,11,10,23
"C7588","16",98,22,12,11,25
"C7589","16",95,21,11,9,24
"C7592","16",99,22,12,11,25
"C7614","16",96,23,12,10,25
"C7782","16",96,21,11,11,23
"C8024","16",99,21,12,11,25
