"catno","pit","length","width","depth"
"Y2209","4",71,68,41
"Y2176","4",78,70,43
"Z4901","4",73,68,40
"Y2184","4",78,69,42
"Z4878","4",66,65,46
"Y2182","4",69,61,38
"Y2181","4",67,64,44
"Y2178","4",77,69,41
"Z4929","4",80,74,48
"Y2196","4",76,74,47
"Y2172","4",70,59,39
"Y2146","4",85,77,45
"Y2152","4",71,66,37
"Y2157","4",79,78,48
"Y2192","4",72,61,44
"Y","4",74,70,41
"Y2935","4",82,80,46
"Y2158","4",61,62,38
"Y2149","4",83,68,45
"Y2140","4",72,59,36
"Y2143","4",76,75,46
"Y2138","4",76,69,40
"Y2164","4",63,61,41
"Y2121","4",76,69,43
"Y2162","13",72,67,44
"Y2144","13",76,69,44
"Y2200","13",76,71,42
"Y2141","13",64,56,38
"Y2130","13",86,74,45
"Y2170","3",89,86,55
"Y2211","3",84,80,55
"Y2198","3",77,70,49
"Y2173","3",74,74,47
"Y2137","3",80,73,50
"Y2187","3",68,69,45
"Y2169","3",78,72,50
"Y2128","3",80,77,59
"Y2133","3",73,62,38
"Y2126","3",71,58,33
"Y2153","3",70,67,51
"Z4985","3",80,76,43
"Y2190","3",63,66,38
"Y2204","3",69,69,45
"Y2189","3",73,69,52
"Y2206","3",73,66,46
"Y2185","3",81,70,41
"Y2160","3",71,69,44
"Y2148","3",72,69,44
"Y2131","3",65,72,41
"Y2139","3",75,67,46
"Y2120","3",77,68,48
"Y2136","3",69,72,47
"Y2159","3",80,82,54
"Y2166","3",75,75,48
"Y2147","60",88,71,49
"Y2142","16",74,69,52
"Y2165","16",66,68,39
"Y2150","16",64,72,40
"Y2202","16",72,68,45
"Y2183","16",76,71,51
"Y2197","16",69,69,44
"Y2186","16",61,67,37
"Y","16",70,69,47
"Y2175","77",76,68,42
"Y2168","77",80,71,45
"Y2210","77",76,74,48
"Y2161","77",69,68,48
"Y2145","77",72,67,46
"Y2122","77",57,67,47
"Y2156","2",68,66,41
"Y2167","1",61,64,33
"NO DATA",NA,69,71,47
"NO DATA",NA,76,76,51
"NO DATA",NA,65,66,38
"NO DATA",NA,70,71,47
"NO DATA",NA,66,64,44
"NO DATA",NA,76,67,52
NA,"modern",69,65,44
NA,"modern",77,83,51
NA,"modern",77,81,50
NA,"modern",80,77,45
NA,"modern",66,72,46
NA,"modern",75,72,44
NA,"modern",69,72,48
NA,"modern",78,78,48
NA,"modern",74,68,47
NA,NA,41,32,25
