"pit","length","width"
NA,65,6
NA,65,6
NA,65,6
NA,65,6
NA,63,6
NA,65,5
NA,70,5
NA,66,7
NA,64,7
NA,71,6
NA,71,6
NA,65,5
"10",69,5
"10",63,6
"10",67,4
"10",66,7
"10",68,6
"10",66,5
"10",69,5
"10",65,5
"10",65,5
"10",64,6
"10",66,5
"10",67,5
"10",60,4
"10",72,6
"10",69,6
"10",62,4
"10",68,6
"10",68,5
"10",66,5
"10",71,5
"10",72,5
"10",65,5
"10",69,5
"10",69,5
"10",67,5
"10",68,5
"10",65,5
"10",64,5
"10",70,5
"10",72,5
"10",63,5
"10",64,4
"10",65,5
"10",66,5
"10",62,4
"10",65,5
"10",65,5
"10",66,5
"10",68,5
"10",60,5
"10",69,5
"10",66,5
"10",63,5
"10",63,4
"10",65,4
"10",64,5
"10",66,5
"10",62,4
"10",66,4
"10",69,5
"10",66,5
"10",61,4
"10",68,5
"10",60,4
"10",61,4
"10",63,4
"10",72,5
"10",65,5
"67",65,5
"67",71,6
"67",71,6
"67",70,6
"67",63,6
"67",67,5
"67",71,6
"67",64,5
"67",65,5
"67",72,6
"67",68,6
"67",67,5
"67",66,6
"67",64,5
"67",69,6
"67",67,5
"67",66,6
"67",65,5
"4",70,5
"4",65,5
"4",68,5
"4",66,5
"4",64,5
"4",63,5
"4",61,5
"4",65,5
"4",64,4
"4",65,6
"4",65,5
"4",69,6
"4",68,5
"4",69,5
"4",69,5
"4",69,6
"4",69,6
"4",61,6
"13",63,4
"3",70,5
"3",63,5
"3",68,5
"3",67,4
"3",65,5
"3",67,5
"3",63,5
"3",66,5
"3",63,6
"3",65,5
"3",68,5
"3",69,5
"3",66,5
"3",66,5
"3",67,6
"3",63,5
"3",66,5
"3",67,5
"3",70,6
"3",67,5
"3",68,5
"3",64,6
"3",66,5
"3",67,5
"3",66,6
"3",65,5
"16",68,6
"16",67,5
"16",61,4
"16",69,6
"16",68,5
"16",69,5
"16",62,4
"16",67,5
"16",67,6
"16",69,6
"16",67,6
"16",66,5
"16",65,5
"16",68,6
"16",64,5
"16",67,6
"16",67,6
"16",67,5
"16",66,5
"16",63,5
"16",64,5
"16",61,5
"16",65,5
"16",62,6
"16",63,5
"16",66,5
"16",66,5
"16",63,5
"16",62,5
"16",63,5
"16",65,5
"16",67,6
"16",64,5
"16",68,6
"16",62,5
"16",70,6
"16",68,6
"16",64,5
"16",62,5
"16",62,5
"16",65,6
"16",69,6
"16",69,6
"16",70,6
"16",69,6
"16",71,6
"16",66,6
"16",67,7
"16",67,5
"16",66,6
"16",70,7
"16",65,6
"16",69,6
"16",65,6
"16",67,7
"16",64,6
"16",67,5
"16",63,5
"16",70,6
"16",62,5
"16",72,6
"16",66,4
"16",68,5
"77",64,5
"77",64,5
"77",67,6
