"Pit","Length","Width"
10,106.5,9.3
10,104.4,8
10,106.5,8.9
61,106.9,8.2
61,103,8.1
67,106.4,8.8
67,107,9.6
67,104.8,9.1
67,109.3,9.5
67,110.6,8.1
67,107.9,8.3
67,100.2,7
67,109.9,9.9
67,106.5,8.5
4,105,9.4
4,103.2,6.9
4,101.7,8.6
4,104,7.6
4,110,9.8
4,107.4,9.4
4,105,9.3
4,106.7,9.4
4,105,8.4
4,105.85,8.1
4,102.1,8.3
4,103.1,8.1
4,111.9,9
4,100.5,8.7
4,102.2,9
4,102.3,8.6
4,112.8,9.7
4,110,9.5
4,107.2,7.9
4,110.5,9.5
4,105.8,8.4
13,101,8
13,103.5,8.2
13,106.4,9.1
13,105.8,8.6
13,106.7,8.6
13,101.2,9.2
13,112.7,9.2
13,105.1,8.3
13,106.4,7.8
13,106.4,10.2
13,112.1,9.8
13,109.9,9.5
13,102.2,8
3,103.5,7.9
3,105.7,7.9
3,98,7.1
3,104.6,8.85
3,109.5,9.5
3,106.7,8.4
3,105,8.7
3,101.9,8.2
3,112.1,9.8
3,106.45,9.8
3,96.3,7.4
3,113.8,9.7
3,107.4,9
3,103.6,8
3,102.5,9
3,108.8,9.8
60,102.5,8.7
60,111.7,9
60,108.5,9.7
60,108.4,9.7
60,103.8,8
60,105.9,8.7
60,103.3,7.9
60,110.8,9.1
77,107.6,7.8
77,104.5,8.3
77,103.7,7.2
77,104.4,8.7
77,107.4,8.7
77,102.1,8.3
77,107.3,9.5
77,102.5,8.1
