"catno","side","pit","length","width","depth"
"z 1765 ","L","67",56,39,28
"z 1772","R","67",51,26,38
"z 1780","R","67",61,31,44
"z 1766",NA,"77",63,31,44
NA,NA,"77",52,26,37
"z1782 77 10-11 1/2",NA,"77",61,30,43
"E10,10 1/2-12 1/2","R","77",50,26,26
"z1758","L","17",57,29,41
"z 1790","L","60",45,28,38
"z 1778",NA,"61",58,31,41
"z 1775","L","61",53,28,37
"z1788","L","61",52,26,37
"z1774",NA,"61",64,28,44
"z1764",NA,"61",56,28,43
"z1787","R","61",50,25,37
"z1761",NA,"9",54,27,39
"z 1791",NA,"9",51,29,26
NA,"R","9",45,27,39
"z1783","R","13",56,29,41
"z1760",NA,"16",57,30,40
"z1776","L","16",62,32,42
"z1762","R","16",56,29,42
"z1767",NA,"3",58,29,42
"E2, 10 1/2",NA,"3",51,25,38
"z 1773",NA,"3",48,24,36
"z1781",NA,"4",63,30,40
"z1770",NA,"4",42,21,33
"1964-06-01",NA,NA,53,25,38
"64 1",NA,"9",60,29,41
"z1785","R","2",57,28,43
"z1784",NA,"3",52,27,38
NA,NA,"3",55,31,41
"z1786",NA,"3",54,27,38
"f4,9.5",NA,"3",51,22,37
"z1759",NA,"3",47,24,33
"z1789",NA,"3",44,23,35
"z1771",NA,"3",56,32,40
"z1779",NA,"3",53,27,37
