"catno","pit","length","width","depth"
NA,NA,97,56,40
NA,NA,93,47,42
NA,NA,95,54,42
NA,NA,89,48,37
NA,NA,95,54,41
"Z2290","77",111,62,48
"Z2285","77",109,62,51
"Z2306","77",102,58,44
"Z2301","77",103,65,45
"ACADEMY",NA,106,52,43
"ACADEMY",NA,102,52,44
"ACADEMY",NA,88,46,38
"Z2691","16",106,60,45
"Z2300","16",111,60,47
"Z2299","16",104,58,42
NA,"16",116,63,53
"Z2289","17",106,57,46
"Z2297","67",90,45,39
NA,"9",91,47,43
NA,"9",92,46,43
"1987-03-01","9",90,56,42
"1992-03-01","9",98,51,50
"Z2294","13",106,55,40
"1995-04-01","3",94,47,41
"1986-04-01","3",92,51,34
"1993-03-01","3",104,52,45
"1964-08-01","3",91,51,42
"1964-06-01","3",83,45,35
"1964-06-01","3",89,52,39
"Z2304","3",103,60,45
"Z2286","3",103,62,45
"Z2304","3",102,62,48
"Z2295","3",108,59,48
"Z2288","4",112,62,47
"Z2305","4",105,57,43
"Z2288","4",112,62,46
"Z2307","4",103,55,39
