"pit","length","width","depth"
NA,50,6,4
NA,49,6,5
"4",59,7,6
"4",57,7,6
"4",55,8,5
"4",56,8,6
"4",53,8,6
"4",57,8,6
"4",60,7,6
"4",58,7,6
"4",58,9,7
"4",59,8,6
"4",54,7,6
"4",57,8,7
"4",58,8,6
"4",57,8,6
"4",61,7,6
"4",57,7,6
"4",61,7,6
"4",60,8,6
"4",58,7,5
"4",58,7,7
"4",61,7,6
"4",59,9,6
"4",59,8,6
"4",56,6,6
"4",57,8,6
"4",55,7,6
"4",56,8,6
"4",56,8,6
"4",59,7,5
"4",51,7,6
"4",53,7,6
"4",54,7,5
"4",53,8,5
"4",53,7,5
"4",54,8,6
"4",56,7,6
"4",53,7,6
"4",59,8,6
"4",57,7,6
"4",54,7,6
"4",53,8,6
"4",54,6,5
"4",54,7,5
"4",58,7,6
"4",57,8,5
"4",56,7,5
"4",56,7,5
"4",57,7,5
"4",57,7,5
"4",56,7,6
"4",58,7,5
"4",59,7,5
"4",54,7,5
"4",54,8,5
"4",56,8,6
"4",54,7,5
"4",56,7,5
"4",57,8,5
"4",56,8,6
"4",57,7,5
"4",60,8,6
"4",59,7,6
"4",56,7,5
"4",56,7,5
"4",59,7,6
"4",56,7,5
"4",57,7,5
"4",58,8,6
"4",58,7,5
"4",60,7,6
"4",58,7,5
"4",57,7,5
"4",59,7,5
"4",61,8,5
"4",59,7,6
"4",55,7,5
"4",54,7,5
"4",55,8,6
"4",58,7,6
"4",60,7,5
"4",61,8,6
"4",59,8,6
"4",56,7,5
"4",58,8,5
"4",59,7,5
"4",59,7,6
"4",56,8,6
"4",56,8,5
"4",57,7,5
"4",54,8,5
"4",56,8,6
"4",55,7,6
"3",52,8,6
"3",56,8,6
"3",54,8,6
"3",56,8,6
"3",55,8,6
"3",57,8,6
"3",51,8,6
"3",59,9,6
"3",55,8,6
"3",56,9,6
"3",58,8,6
"3",59,9,7
"3",57,7,6
"3",52,7,6
"3",67,8,6
"3",58,8,5
"3",60,8,5
"3",58,8,6
"3",56,7,6
"3",58,7,6
"3",52,7,6
"3",51,7,5
"3",52,8,6
"3",54,8,5
"3",56,7,6
"3",65,7,6
"3",52,8,6
"3",58,7,6
"3",55,7,5
"3",54,7,5
"3",54,7,5
"3",58,7,6
"3",55,7,5
"3",54,7,5
"3",56,7,5
"3",58,7,6
"3",57,8,6
"3",58,8,5
"3",59,7,6
"3",56,7,5
"3",59,7,6
"3",57,8,5
"3",55,7,5
"3",57,7,5
"3",53,8,6
"3",57,7,6
"3",60,8,6
"3",60,8,6
"3",57,8,6
"3",55,7,5
"3",56,7,5
"3",58,8,6
"3",53,8,6
"3",50,7,5
"3",58,8,6
"3",54,7,5
"3",57,8,6
"3",57,7,6
"3",54,8,5
"3",55,6,5
"3",58,7,6
"3",60,7,6
"60",57,8,6
"60",57,8,6
"60",57,6,6
"60",56,8,6
"60",59,7,6
"60",56,7,6
"60",57,7,5
"60",58,7,5
"60",58,7,5
"60",59,8,6
"60",58,7,5
"60",56,7,6
"60",59,8,6
"77",59,9,7
"77",52,8,6
"77",56,7,5
"77",57,7,6
"77",56,8,5
"77",55,8,6
"77",60,8,5
"77",57,8,6
"77",56,7,6
