"catno","pit","length","width","depth"
"Z3414","2",68,62,61
"Z3350","3",70,66,51
"Z3380","3",70,72,57
"Z3423","3",72,69,60
"Z3397","3",73,71,58
"LACMHC27818","3",72,69,61
"Z5947","3",72,72,59
"Z3370","3",73,72,60
"Z3393","3",75,73,59
"Z3387","3",67,71,56
"Z3353","3",71,70,58
"Z3352","3",69,65,55
"Z3382","3",68,69,56
"Z3405","3",73,74,60
"Z3456","3",71,72,61
"LACMHC27815","3",74,71,60
"Z3538","3",69,69,54
"Z3525","3",65,62,53
"Z3453","3",70,66,58
"Z3493","3",67,60,52
"Z3535","3",65,62,54
"Z3513","3",71,72,59
"Z3540","3",70,68,56
"Z3539","3",68,65,57
"Z3491","3",69,61,56
"Z3494","3",71,68,55
"Z3482","3",71,74,62
"Z3531","3",69,69,58
"Z3461","3",71,73,60
"Z3468","3",64,60,55
"Z3528","3",68,62,56
"Z3542","3",72,68,62
"Z3508","3",69,63,59
"Z3502","3",70,67,59
"Z3518","3",66,63,57
"Z3463","3",73,67,60
"Z3485","3",70,66,58
"Z3522","3",71,64,60
"Z3464","3",73,69,61
"Z3529","3",77,70,65
"Z3533","3",72,64,60
"Z3498","3",70,63,59
"Z3500","3",74,71,65
"Z3479","3",71,63,61
"Z3469","3",73,63,61
"Z3381","16",74,66,53
"Z3458","16",69,64,61
"Z3416","17",76,66,62
"Z3427","17",70,65,58
"Z3520","17",65,61,57
"Z3354","60",74,60,56
"Z3379","60",74,62,59
"Z3431","60",74,66,57
"Z3356","60",73,70,61
"Z3388","60",66,62,54
"Z3355","60",75,71,65
"Z3483","60",70,67,62
"Z3507","60",75,72,64
"Z3505","60",73,70,60
"Z3481","60",73,66,59
"Z3364","61",70,58,57
"Z3424","61",71,65,58
"Z3445","61",71,63,60
"Z3434","61",68,62,54
"Z3436","61",71,63,57
"Z3358","61",73,69,64
"Z3371","61",72,62,58
"Z3530","61",72,65,59
"Z3465","61",69,59,56
"Z3489","61",73,65,64
"Z3409","67",69,56,60
"Z3394","67",70,63,60
"Z3441","67",71,65,60
"Z3402","67",74,64,61
"Z3430","67",70,65,58
"Z3404","67",76,69,64
"Z3421","67",76,66,64
"Z3444","67",71,67,61
"Z3390","67",70,62,57
"Z3412","67",70,68,62
"Z3440","67",67,60,57
"Z3357","67",71,63,62
"Z3442","67",69,59,57
"Z3374","67",71,64,59
"Z3490","67",75,70,64
"Z3519","67",70,62,59
"Z3486","67",71,65,59
"Z3511","67",67,61,55
"Z3516","67",69,65,58
"Z3504","67",72,63,57
"Z3534","67",68,64,55
"Z3545","67",73,65,62
"Z3515","67",66,63,57
"Z3487","77",70,64,61
"Z3470","77",75,64,64
"Z3472","77",73,66,61
"Z3492","77",72,69,60
"Z3462","77",74,66,60
"Z3541","77",71,65,55
"Z3526","77",72,64,60
"Z3450","77",70,61,56
