"catno","pit","length","width","depth"
"Z4908","2",79,81,52
"Z4939","2",81,80,42
"Z4992","3",83,79,42
"Z4856","3",83,78,40
"Z4979","3",70,73,32
"Z4998","3",78,72,38
"Z4857","3",77,71,39
"Z4876","3",79,82,44
"Z4848","3",78,81,55
"Z4864","3",79,81,47
"Z4920","3",76,73,40
"Z4970","3",76,75,45
"Z4865","3",83,84,46
"Z4930","3",82,78,45
"Z4879","3",80,79,39
"Z4959","3",82,83,40
"Z4861","3",81,83,55
"Z4852","3",79,78,37
"Z4911","3",79,82,45
"Z4863","3",76,76,42
"Z4915","3",85,83,44
"Z4950","3",82,82,48
"Z4947","3",82,78,42
"Z4900","3",80,83,51
"Z4849","3",80,78,45
"Z4933","3",76,78,36
"Z4972","3",77,74,41
"Z4987","3",83,84,55
"Z4850","3",83,83,52
"Z4890","3",76,81,47
"Z4883","3",83,85,40
"Z4891","3",83,79,41
"Z4870","3",88,81,45
"Z4887","3",81,83,42
"Z4967","3",76,78,38
"Z4935","3",82,83,41
"Z4927","3",78,77,39
"Z4910","3",83,83,44
"Z4999","3",78,78,42
"Z4953","3",80,82,43
"Z4982","3",85,82,51
"Z5000","3",82,84,52
"Z4955","4",81,82,43
"Z4991","4",81,81,42
"Z4868","4",82,81,50
"Z4969","4",82,82,37
"Z4902","4",83,79,39
"Z4954","4",77,77,47
"Z4862","4",82,76,47
"Z4946","4",82,82,51
"Z4994","4",85,83,43
"Z4886","4",83,81,52
"Z4960","4",85,80,43
"Z4922","4",83,82,51
"Z4858","4",82,79,53
"LACM27571","4",84,80,38
"Z4898","4",83,83,50
"Z4903","4",83,83,53
"Z4919","4",82,82,51
"Z4915","4",84,81,54
"Z4921","4",80,81,51
"Z4949","4",83,80,54
"Z4867","4",81,79,54
"Z4988","4",89,84,41
"Z4880","4",86,84,57
"Z4968","4",85,85,45
"Z4974","4",85,83,41
"LACM27572","13",75,77,38
"Z4976","13",76,79,51
"Z4981","13",80,74,45
"Z4946","16",83,82,54
"Z4990","16",80,72,49
"Z4914","16",73,83,33
"Z4944","16",85,80,40
"Z4899","16",77,77,46
"Z4951","16",73,65,32
"Z4901","17",76,75,38
"Z4872","60",88,73,46
"Z4872","60",83,85,46
"Z4937","60",81,78,47
"Z4928","60",76,76,48
"Z4860","60",83,76,39
"LACM27573","61",85,81,44
"Z4964","61",79,85,40
"Z4962","61",86,81,52
"Z4895","67",82,80,38
"Z4984","67",70,78,45
"Z4971","67",81,82,40
"Z4936","67",77,72,43
"Z4917","67",80,82,40
"Z4977","67",80,80,55
"Z4881","77",82,81,46
"Z4853","77",82,80,43
"Z4855","77",86,83,43
"Z4884","77",81,81,54
"Z4859","77",76,76,50
"LACM27577","77",78,77,48
"Z4888","77",82,75,48
"Z4851","77",77,72,50
"Z4869","77",77,77,44
"Z4942","77",82,82,54
"Z4952","77",85,85,56
"Z4916","77",84,82,55
"Z4975","77",85,86,56
"Z4885","77",84,84,44
"Z4982","77",82,82,54
"Z4913","77",82,75,42
"Z4943","77",82,78,39
"Z4871","81",84,77,46
"Z4854","81",84,79,56
"LACM27578","91",67,66,35
NA,"modern",82,76,39
NA,"modern",81,79,50
NA,"modern",80,85,38
NA,"modern",77,84,48
NA,"modern",86,85,42
NA,NA,76,77,42
NA,NA,77,68,42
NA,NA,70,70,34
NA,NA,73,75,39
NA,NA,75,72,46
NA,NA,83,83,50
