"collection","pit","length","width"
"RLB","13",18,8
"RLB","13",16,8
"RLB","13",18,8
"RLB","13",18,8
"RLB","13",17,8
"RLB","16",18,9
"RLB","3",18,9
"RLB","16",19,8
"RLB","16",17,8
"RLB","16",17,8
"SCAS","modern",18,8
"RLB","modern",17,7
"RLB","modern",16,8
"RLB","modern",18,8
"RLB","modern",16,8
"LACM","modern",18,9
"LACM","modern",19,9
"LACM","modern",16,7
"LACM","modern",15,7
"LACM","modern",15,7
"LACM","modern",18,9
"LACM","modern",17,9
"LACM","modern",18,8
"LACM","modern",19,8
"LACM","modern",17,7
"LACM","modern",16,7
"LACM","modern",15,7
"LACM","modern",14,7
"LACM","modern",16,8
"LACM","modern",16,8
"LACM","modern",17,8
"LACM","modern",17,8
"LACM","modern",17,8
"LACM","modern",17,9
"LACM","modern",15,7
"LACM","modern",15,7
"LACM","modern",14,7
"LACM","modern",15,6
"LACM","modern",16,8
"LACM","modern",16,7
"LACM","modern",15,7
"LACM","modern",15,7
"LACM","modern",15,7
"LACM","modern",16,7
"LACM","modern",14,7
"LACM","modern",15,8
"LACM","modern",15,7
"LACM","modern",16,8
"LACM","modern",16,8
"LACM","modern",16,8
"LACM","modern",18,8
"LACM","modern",17,9
"LACM","modern",17,8
"LACM","modern",17,8
"LACM","modern",16,8
"LACM","modern",17,7
"UCMVZ","modern",17,9
"UCMVZ","modern",18,8
"UCMVZ","modern",18,8
"UCMVZ","modern",16,8
"UCMVZ","modern",16,7
"UCMVZ","modern",15,8
"UCMVZ","modern",16,8
