"catno","pit","length","midwidth","middepth"
"G2767","10",88,10,8
"G2766","10",95,12,9
"G2764","10",94,11,9
"G2765","10",88,10,8
"G2769","10",89,12,10
"D4687","61",87,13,11
"D4707","61",95,14,11
"D4758","61",91,10,10
"D4689","61",88,11,10
"D6613","67",96,10,10
"C9454","4",89,11,10
"C7167","4",92,11,9
"C5255","4",95,13,10
"C6558","4",95,10,12
"C9537","4",96,12,10
"C7816","4",88,11,10
"C9914","4",90,12,10
"D6533","4",91,12,10
"C9062","4",97,13,10
"C9871","4",92,13,10
"D1055","4",95,13,11
"C9284","4",88,8,6
"C9936","4",100,13,11
"D263","4",94,11,10
"C5453","4",90,11,10
"K3122","4",90,12,10
"D995","4",97,12,11
"C8952","4",88,11,10
"C7314","4",91,11,9
"C9881","4",98,12,10
"D1057","4",89,10,10
"C9035","4",91,13,10
"C9684","4",94,12,11
"C9378","4",88,13,11
"C9324","4",97,13,11
"C7798","4",94,13,10
"C8947","4",90,11,9
"C7097","4",91,12,11
"C9937","4",92,11,10
"C7472","4",91,11,10
"D1058","4",96,12,11
"C9953","4",96,11,11
"C6234","4",93,10,9
"C7995","4",91,11,10
"G2762","4",89,11,10
"C8565","4",94,10,10
"C8288","4",94,10,10
"C5981","4",91,10,9
"C5254","4",90,11,10
"C9818","4",93,11,10
"C8359","4",92,11,9
"C8045","4",95,12,9
"C6870","4",96,12,10
"C7041","4",91,12,10
"D2475","4",92,10,8
"D5140","13",100,13,12
"D5089","13",93,11,10
"D5251","13",97,13,11
"D4881","13",91,11,10
"D5919","13",85,13,9
"D6245","13",94,14,11
"D6377","13",92,11,9
"D6337","13",90,12,11
"D5281","13",94,13,10
"D6201","13",100,13,11
"D5332","13",90,12,10
"D6073","13",99,14,11
"D5285","13",89,12,10
"D6369","13",95,13,11
"D5446","13",93,13,10
"D2480","13",91,13,10
"D5689","13",95,14,12
"D5898","13",94,12,11
"D6582","13",96,15,10
"D5856","13",99,12,10
"D5612","13",100,13,11
"D6069","13",94,12,11
"D5223","13",98,14,10
"D4905","13",97,12,10
"D5762","13",89,11,9
"D6253","13",88,11,10
"D6014","13",94,11,12
"D6019","13",88,11,10
"D5674","13",100,15,11
"D5318","13",95,12,10
"D6161","13",98,13,11
"D5745","13",96,14,10
"D6380","13",90,11,9
"D6138","13",93,12,11
"D5802","13",90,12,10
"D4975","13",97,13,10
"D5860","13",93,11,10
"D6072","13",89,15,12
"C5663","13",99,13,11
"D6011","13",94,14,11
"D5672","13",92,11,9
"F11","13",94,12,9
"D5650","13",95,15,11
"D5366","13",96,14,11
"D5241","13",100,13,11
"D5696","13",95,12,11
"D6147","13",96,11,9
"D5686","13",98,14,12
"D4940","13",100,12,10
"D6124","13",93,12,12
"D5906","13",96,12,9
"D6597","13",99,13,10
"D6142","13",92,10,9
"D5614","13",91,10,9
"D6230","13",93,13,9
"D5477","13",99,13,11
"D6559","13",95,13,10
"D5109","13",94,11,10
"D6132","13",95,14,11
"D6162","13",91,11,10
"D5606","13",97,13,11
"D5603","13",92,12,10
"D6013","13",101,12,10
"D5908","13",98,13,10
"D6259","13",93,11,11
"D5737","13",96,12,10
"D5153","13",94,12,10
"D5985","13",91,12,10
"D5203","13",97,13,10
"D5423","13",99,13,11
"D5248","13",93,11,10
"D1345","3",95,14,11
"D2822","3",96,15,11
"D1792","3",97,13,10
"D2943","3",97,14,11
"D1996","3",95,11,11
"D2019","3",97,12,10
"D2475","3",96,12,9
"D2071","3",88,11,10
"D1990","3",88,10,10
"D2844","3",88,12,10
"D2844","3",87,12,9
"D2947","3",88,11,10
"D1987","3",89,10,9
"D3002","3",91,12,10
"G2761","3",92,11,9
"D2497","3",97,13,11
"D1870","3",93,14,11
"D1945","3",90,10,10
"D2531","3",98,12,10
"D4271","60",91,13,10
"D3816","60",94,11,9
"D3744","60",98,13,11
"D3620","60",93,11,10
"D4137","60",94,12,12
"D4655","60",93,13,11
"D4037","60",95,13,10
"D4281","60",95,11,10
"K5898","98",98,12,9
"K5828","98",93,14,9
"K5838","98",98,12,9
"K5833","98",89,11,8
"K5840","98",97,12,10
"K5830","98",102,12,10
"D6891","77",91,11,10
"D6754","77",87,11,9
"D6844","77",99,15,11
