"collection","pit","length","width"
"RLB","4",11,5
"RLB","36",11,4
"RLB","3",13,5
"RLB","3",12,5
"RLB","3",13,5
"RLB","16",10,4
"RLB","16",10,4
"RLB","16",12,5
"RLB","16",13,6
"RLB","16",10,5
"RLB","16",12,5
"RLB","modern",12,7
"RLB","modern",11,5
"LACM","modern",13,5
"LACM","modern",14,5
"LACM","modern",14,6
"LACM","modern",15,5
"LACM","modern",12,5
"LACM","modern",13,5
"LACM","modern",13,5
"LACM","modern",14,4
"LACM","modern",14,5
"LACM","modern",13,5
"LACM","modern",11,4
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",10,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",12,5
"LACM","modern",13,5
"LACM","modern",13,5
"LACM","modern",12,5
"LACM","modern",13,5
"LACM","modern",12,5
"LACM","modern",12,4
"LACM","modern",12,5
"LACM","modern",11,5
"LACM","modern",13,5
"LACM","modern",12,5
"LACM","modern",11,4
"LACM","modern",11,4
"LACM","modern",10,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",10,5
"LACM","modern",10,4
"LACM","modern",11,4
"LACM","modern",10,4
"LACM","modern",11,4
"LACM","modern",11,5
"LACM","modern",10,5
"LACM","modern",10,5
"LACM","modern",12,5
"LACM","modern",10,5
"LACM","modern",10,5
"LACM","modern",10,4
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",10,5
"LACM","modern",10,5
"LACM","modern",10,5
"LACM","modern",10,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",12,5
"LACM","modern",11,5
"LACM","modern",12,5
"LACM","modern",11,5
"LACM","modern",10,4
"LACM","modern",10,4
"LACM","modern",8,4
"LACM","modern",9,4
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",12,5
"LACM","modern",11,5
"LACM","modern",11,5
"LACM","modern",10,5
"LACM","modern",10,5
"UCMVZ",NA,12,5
"UCMVZ",NA,12,5
"UCMVZ",NA,11,5
"UCMVZ",NA,9,5
"UCMVZ",NA,10,4
"UCMVZ",NA,12,5
