"collection","pit","length","width"
"RLB","4",75,5
"RLB","10",70,5
"RLB","10",78,6
"RLB","13",74,5
"RLB","4",73,5
"RLB","4",68,4
"RLB","4",69,5
"RLB","4",74,5
"RLB","16",69,5
"RLB","16",69,4
"RLB","16",75,5
"RLB","60",68,4
"RLB","modern",65,6
"RLB","modern",67,5
"LACM","modern",72,5
"LACM","modern",72,5
"UCMVZ","modern",68,6
"UCMVZ","modern",62,7
"UCMVZ","modern",67,6
"UCMVZ","modern",65,5
"UCMVZ","modern",72,7
"UCMVZ","modern",67,7
"UCMVZ","modern",58,6
"UCMVZ","modern",69,7
"UCMVZ","modern",69,7
