"catno","pit","length","midwidth","middepth"
"E 8004","3",134,14,8
"E 8140","3",146,14,8
"E 8130","3",143,14,8
"E 8063","3",145,14,9
"E 8215","3",115,12,7
"E 8125","3",118,12,7
"E 8038","3",108,12,7
"E 5977","3",111,11,7
"E 8030","3",120,11,7
"E 8227","3",115,12,7
"E 8022","3",118,12,7
"E 7984","3",117,12,7
"E 7952","3",113,11,7
"E 8018","3",118,12,7
"E 8160","3",115,11,6
"E 8025","3",146,14,9
"E 7983","3",136,13,9
"E 8058","3",109,11,7
"K 3098","3",139,13,8
"E 8123","3",110,11,7
"E 7976","3",116,11,7
"E 8158","3",113,11,7
"G 6272","4",148,14,9
"E 6801","4",145,14,9
"E 6793","4",142,13,9
"E 7737","4",139,13,8
"E 7538","4",139,13,8
"E 7439","4",144,14,9
"E 7146","4",138,14,9
"E 6725","4",143,14,9
"E 7054","4",141,14,9
"E 6838","4",136,14,9
"E 7695","4",141,13,9
"E 7671","4",131,13,9
"E 7339","4",143,14,9
"E 7492","4",143,14,9
"E 7411","4",142,13,9
"E 7418","4",142,13,9
"E 6843","4",137,13,8
"E 7294","4",137,14,9
"E 6804","4",140,14,9
"E 7672","4",141,14,9
"E 7923","4",143,14,10
"E 7215","4",133,14,9
"E 6897","4",141,14,8
"E 8246","4",141,13,8
"E 7711","4",149,14,9
"E 7556","4",141,14,8
"E 6836","4",148,14,9
"E 7467","4",126,12,8
"E 7738","4",110,10,7
"E 6710","4",112,11,7
"E 7675","4",108,11,7
"E 7608","4",115,11,7
"E 7914","4",115,12,8
"E 7534","4",119,12,7
"E 6948","4",113,11,7
"E 6965","4",115,11,7
"E 7916","4",111,11,7
"E 6942","4",117,12,7
"E 7057","4",119,11,7
"E 7934","4",112,11,6
"E 6745","4",114,11,7
"E 7508","4",119,12,7
"E 6950","4",116,11,7
"D 8174","4",117,12,7
"E 7620","4",121,12,7
"E 7282","4",118,12,7
"E 6939","4",117,11,7
"E 7620","4",121,12,8
"E 7743","4",114,11,7
"E 7681","4",120,12,7
"E 7573","4",115,12,7
"E 7242","4",120,11,7
"E 7036","4",110,11,6
"E 7023","4",115,12,7
"E 7721","4",116,11,7
"E 6903","4",115,11,7
"E 7181","4",140,14,8
"E 7145","4",142,14,9
"E 6837","4",140,14,8
"E 7413","4",138,13,9
"E 7394","4",150,15,10
"E 7551","4",140,14,9
"E 6828","4",136,13,8
"E 6725","4",143,14,9
"E 7293","4",136,14,8
"E 7670","4",140,14,9
"E 7643","4",140,14,8
"E 7059","4",141,14,9
"E 7740","4",147,15,9
"E 6711","4",141,14,9
"E 7455","4",134,14,9
"E 6839","4",147,14,9
"G 6274","4",140,15,9
"E 6849","4",131,13,8
"E 7416","4",144,14,9
"E 7827","4",143,14,9
"E 7894","4",143,14,9
"E 7865","4",137,14,8
"E 6899","4",120,11,7
"E 7557","4",147,15,9
"E 6818","4",141,13,8
"E 7040","4",144,14,8
"E 7240","4",133,13,8
"E 7452","4",142,14,8
"E 6961","4",142,14,8
"E 6727","4",138,14,8
"E 6795","4",137,13,7
"E 7449","4",139,14,8
"E 7314","4",139,12,8
"E 6722","4",138,14,9
"E 7698","4",119,12,8
"E 7217","4",116,12,7
"E 7414","4",111,11,7
"E 7300","4",112,11,7
"E 6800","4",118,11,7
"E 6807","4",113,12,7
"E 6933","4",116,12,8
"E 6846","4",121,11,7
"E 7919","4",121,12,8
"E 6777","4",114,11,7
"E 6696","4",118,11,7
"E 6798","4",119,12,7
"K 3092","4",120,12,7
"E 8249","4",115,11,7
"E 7744","4",116,11,7
"E 7453","4",113,11,7
"E 7307","4",114,11,6
"E 6971","4",116,11,7
"E 7148","4",121,12,7
"E 6895","4",112,11,7
"E 7898","4",120,12,7
"E 7138","4",107,11,6
"E 6866","4",112,11,6
"E 7712","4",112,11,7
"E 6824","4",121,12,7
"E 7251","4",124,13,8
"G 6016","4",122,12,7
"E 7185","4",118,12,7
"E 6707","4",118,11,7
"E 7869","4",115,12,7
"E 5080","4",119,12,7
"E 7870","4",126,11,8
"E 6339","9",140,13,9
"E 6454","9",140,13,8
"E 5412","9",125,13,8
"E 6806","9",142,14,9
"G 6271","9",140,14,9
"E 6271","9",145,13,9
"E 5235","9",143,12,9
"E 6039","9",148,15,9
"G 6017","9",119,12,7
"E 8256","9",119,12,7
"E 6577","9",113,12,7
"G 6280","9",112,11,7
"G 5980","10",116,12,7
"G 5977","10",149,14,9
"G 5981","10",145,14,9
"G 5982","10",117,12,7
"E 8246","13",141,15,9
"K 3094","13",113,11,7
"E 8362","13",120,11,7
"E 8249","13",115,11,7
"E 8240","13",127,12,7
"E 8358","13",110,11,7
"E 8359","13",110,11,7
"E 8366","13",117,12,7
"E 8242","13",114,11,7
"E 8338","13",115,11,7
"E 8370","60",135,13,9
"E 8389","60",135,14,8
"E 8454","60",116,12,7
"K 3091","60",143,14,9
"E 8390","60",138,14,9
"E 8410","60",139,14,9
"E 8466","61",147,14,9
"E 8478","61",151,14,9
"E 8479","61",150,14,9
"E 8498","61",113,11,7
"E 8465","61",119,11,7
"E 8512","61",115,12,8
"E 8469","61",121,12,7
"E 8506","61",114,11,7
"E 8518","61",117,12,7
"E 8525","61",118,11,7
"E 8464","61",145,14,9
"E 6334","61",142,14,9
"E 8475","61",143,14,9
"E 8522","61",148,13,8
"E 8523","61",118,11,7
"E 8494","61",117,12,7
"E 8514","61",114,11,7
"E 8546","77",120,11,7
"E 8528","77",140,14,9
"E 8530","77",139,13,9
"K 748","77",138,13,8
"E 6028","98",147,14,8
"E 6331","98",116,12,7
"K 6142","98",118,11,7
"K 6141","98",117,11,7
"K 6083","98",116,11,7
"K 6139","98",142,14,8
"K 6085","98",144,13,8
