"pit","length","midwidth"
NA,81,6
NA,80,5
"10",87,6
"81",92,7
"81",93,6
"81",89,6
"81",95,7
"81",93,7
"81",87,7
"81",90,6
"81",92,6
"81",86,6
"81",91,6
"81",96,6
"81",94,7
"81",93,7
"81",91,6
"4",93,6
"4",95,7
"4",93,7
"4",91,7
"4",92,6
"4",89,6
"4",90,7
"4",93,6
"4",91,7
"4",92,7
"4",87,7
"4",96,7
"4",89,6
"4",95,7
"4",95,7
"4",84,6
"4",88,6
"4",96,6
"4",92,7
"4",94,7
"4",94,7
"4",96,7
"4",92,6
"4",93,6
"4",93,6
"4",95,6
"4",89,7
"4",90,6
"4",91,7
"4",90,6
"4",88,6
"4",87,6
"4",94,7
"4",88,6
"4",94,7
"4",91,6
"4",87,6
"4",91,7
"4",93,6
"4",89,6
"4",90,6
"4",97,6
"4",93,7
"4",87,6
"4",93,6
"4",94,6
"4",93,6
"4",88,6
"4",90,6
"4",93,6
"4",91,7
"4",93,7
"4",93,6
"4",87,7
"4",93,7
"4",91,6
"4",95,7
"4",93,6
"4",93,6
"4",92,6
"4",91,6
"4",93,6
"4",93,7
"4",96,7
"4",90,7
"4",92,6
"13",90,7
"13",87,6
"13",91,7
"13",91,5
"13",94,7
"13",92,6
"13",94,6
"13",95,6
"3",93,6
"3",89,7
"3",93,6
"3",88,7
"3",92,6
"3",93,6
"3",82,6
"3",91,7
"3",89,6
"3",94,6
"3",96,7
"3",92,7
"3",95,7
"3",90,7
"3",89,6
"3",91,6
"3",92,7
"3",95,7
"3",87,6
"3",89,7
"3",95,6
"3",88,7
"3",87,7
"3",96,7
"3",90,6
"3",90,7
"3",91,6
"3",90,7
"3",93,6
"3",81,6
"3",92,6
"3",93,6
"3",90,7
"3",87,6
"60",93,6
"60",85,6
"60",88,6
"60",90,7
"60",91,7
"60",90,7
"91",90,7
"91",91,7
"91",90,6
"91",91,7
"91",90,6
"77",92,6
"77",92,6
"77",92,6
"77",91,6
