"CatNo","Pit","Length","Width"
"1451L39",3,135,134
"1451L27",3,121,127
"1451L18",3,127,129
"1451L44",2,143,137
"1451L20",2,139,141
"1451L17",3,137,133
"1451L3",3,129,132
"1451L7",3,136,143
"1451L45",3,128,136
"1451L5",3,123,129
"1451R1",3,131,135
"1451R15",3,142,144
"1451R3",3,123,119
"1451R6",3,121,133
"1451R27",3,134,147
"LACMHC12114",3,117,104
"1451R14",3,137,145
"1451R17",3,129,135
"1451L43",3,139,141
"NO DATA",91,138,123
"NO DATA",91,132,136
"LACMHC12122",91,105,118
"LACMHC12120",91,135,141
"LACMHC12111",91,108,125
"LACMHC12119",91,98,108
"1451R44",77,127,126
"1451R8",77,119,126
"1451R9",77,112,114
"1451L29",77,134,140
"1451L11",77,121,137
"1451L48",77,135,143
"1451R30",77,126,143
"1451R28",77,128,133
"1451L22",77,124,131
"1451L32",77,131,138
"1451R4",77,117,121
"1451R23",67,133,137
"1451L6",67,130,137
"1451R21",67,126,129
"1451R40",61,129,141
"1451R10",61,147,145
"1451R37",67,119,124
"1451L30",67,133,138
"1451R29",67,129,138
"1451L28",67,143,147
"LACMHC12118",61,123,132
"1451L37",61,127,138
"1451R32",67,139,146
"1451L38",67,147,152
"LACMHC12121",17,120,134
"LACMHC6122",57,124,137
"1451L15",60,131,139
"1451R34",60,128,136
"1451R12",60,127,136
"LACMHC12110",17,126,136
"1451L40",60,130,138
"1451L13",60,122,129
"LACMHC121113",17,139,141
"1451L49",13,135,141
"1451L7(?JUV)",13,105,109
"1451R25",13,126,134
"1451R7",13,125,134
"1451R45",13,127,133
"1451L47",13,132,141
"1451R43",13,135,130
"1451L36",13,125,130
"1451L33",13,129,138
"1451L14",13,126,140
"1451L4",4,139,146
"1451L41",4,142,145
"1451R33(?JUV)",4,107,115
"1451L19",4,132,138
"1451L12",4,125,136
"1451L10",4,126,120
"1451R18",4,130,139
"1451R22",4,132,139
"1451R47",4,138,143
"1451L25",4,134,143
"1451R26",4,123,133
"1451L46",4,127,133
"1451R20",4,131,137
"1451R16",4,128,139
"1451L26",4,130,138
"1451L21",4,133,137
"1451R38",4,119,127
"1451L23",4,126,131
"1451R46",4,116,128
"1451R13",4,127,139
