"catno","pit","length","width","depth"
NA,"modern",46,3,3
NA,"modern",47,3,3
NA,"modern",43,2,4
NA,"modern",44,3,3
NA,"modern",44,2,2
NA,"modern",46,1,2
NA,"modern",46,1,3
NA,"modern",50,1,3
NA,"modern",50,1,2
NA,"modern",49,1,2
NA,"modern",49,1,2
NA,"modern",45,1,2
NA,"modern",46,1,2
"G5252","10",46,3,3
"G5414","10",45,2,3
"F1811","61",46,3,3
"F1829","67",47,3,3
"F1375","4",47,2,3
"G5415","4",48,3,2
"F1319","4",47,3,3
"F1470","4",42,3,3
"F1444","4",47,2,3
"F1501","4",47,2,3
"F1497","4",45,3,3
"F1374","4",48,3,3
"F1300","4",46,2,3
"F1535","4",47,3,4
"F1414","4",48,2,3
"F1697","13",47,3,3
"K1161","13",47,3,3
"F1120","13",49,3,3
"D2741","3",48,2,3
"F1666","3",48,2,3
"G5451","91",43,3,3
