"catno","pit","l1","l2","l3","l4","l5","l6"
NA,"1",49,60,35,23,37,29
NA,"1",44,51,31,21,38,26
NA,"2",45,53,30,21,37,29
NA,"2",43,51,31,20,37,27
NA,"2",45,54,30,21,40,27
NA,"2",45,50,32,21,37,27
NA,"2",45,53,30,22,40,27
NA,"2",46,54,33,20,41,31
NA,"2",47,53,31,21,41,28
NA,"2",44,52,32,21,38,27
NA,"2",46,52,33,20,40,29
NA,"2",44,50,30,20,38,27
NA,"2",43,50,30,20,35,28
NA,"2",46,60,35,23,41,28
NA,"2",44,50,31,21,32,27
NA,"2",46,56,35,22,45,29
NA,"2",45,47,32,20,39,29
NA,"2",44,50,30,19,34,26
NA,"2",45,52,35,25,42,31
NA,"2",40,50,31,18,36,24
NA,"2",44,50,31,22,36,26
NA,"2",41,49,29,19,38,24
NA,"3",41,52,32,20,37,26
NA,"3",43,51,34,20,34,28
NA,"3",41,52,33,20,36,25
NA,"3",45,52,32,22,36,26
NA,"3",41,49,32,22,38,26
NA,"3",44,51,34,23,40,28
NA,"3",41,52,34,22,40,27
NA,"3",41,51,33,25,41,27
NA,"3",44,54,32,21,40,29
NA,"3",44,50,34,23,39,28
NA,"3",42,53,32,21,39,26
NA,"3",45,50,31,19,37,26
NA,"3",46,54,32,21,40,28
NA,"3",45,53,34,21,41,29
NA,"3",44,51,33,23,40,30
NA,"3",42,51,30,20,36,26
NA,"3",42,51,33,24,36,26
NA,"3",43,49,33,23,42,28
NA,"3",45,51,34,22,41,28
NA,"3",44,52,31,19,37,28
NA,"3",45,54,34,23,37,29
NA,"3",44,49,31,19,36,25
NA,"3",44,53,34,23,40,27
NA,"3",44,52,33,22,41,29
NA,"3",44,51,31,19,35,26
NA,"3",43,54,36,24,42,28
NA,"3",44,49,31,20,37,26
NA,"3",43,37,29,20,37,27
NA,"3",45,53,32,23,41,28
NA,"3",42,51,32,21,38,25
NA,"3",40,48,31,18,37,26
NA,"3",39,48,30,19,35,26
NA,"3",43,52,30,19,38,28
NA,"3",44,51,33,21,35,28
NA,"3",41,48,31,22,37,29
NA,"3",44,54,32,24,41,27
NA,"3",51,57,36,24,44,30
NA,"3",44,51,32,21,35,26
NA,"3",39,49,31,16,35,25
NA,"3",44,53,32,22,44,24
NA,"3",45,52,33,26,43,28
NA,"3",45,53,34,22,40,30
NA,"3",43,57,35,23,30,26
NA,"3",43,51,33,23,44,30
NA,"3",43,51,34,22,39,26
NA,"3",45,52,33,22,38,28
NA,"3",44,54,32,23,39,26
NA,"3",43,53,33,21,40,27
NA,"3",46,50,30,19,37,28
