"catno","pit","length","midwidth","middepth","distwidth"
NA,"3",104,19,17,29
NA,"3",100,18,14,29
NA,"3",95,19,16,27
NA,"3",96,19,16,27
NA,"3",94,19,16,27
NA,"3",102,18,16,28
NA,"3",93,17,14,26
NA,"3",98,20,14,28
NA,"3",91,18,14,25
NA,"3",96,19,16,27
NA,"3",92,18,16,25
NA,"3",99,18,15,27
NA,"3",90,16,14,24
NA,"3",93,17,13,25
NA,"3",84,16,13,24
NA,"3",88,15,14,23
NA,"3",95,15,12,23
NA,"3",89,18,15,25
NA,"3",100,15,13,25
NA,"3",90,16,13,23
NA,"3",93,17,14,24
NA,"3",97,17,13,25
NA,"3",95,17,13,27
NA,"3",103,17,15,27
NA,"3",97,17,14,27
NA,"3",99,19,16,26
NA,"3",94,19,16,25
NA,"3",99,18,15,27
NA,"3",102,18,13,26
NA,"3",99,19,16,26
NA,"3",97,17,13,25
NA,"3",99,17,14,26
NA,"3",98,18,15,27
NA,"3",93,17,13,25
NA,"3",94,17,15,26
NA,"3",94,18,14,25
NA,"3",95,17,14,26
NA,"3",92,17,14,25
NA,"3",86,15,13,23
NA,"3",90,14,12,23
NA,"3",102,17,15,27
NA,"3",103,17,14,25
NA,"3",97,17,14,27
NA,"3",98,18,14,27
NA,"3",95,17,13,24
NA,"3",94,17,15,25
NA,"3",93,15,13,24
NA,"3",95,18,14,26
NA,"3",96,18,15,27
NA,"3",105,19,15,28
NA,"3",101,18,15,27
NA,"3",101,16,14,25
NA,"3",97,17,14,25
NA,"3",100,17,15,26
NA,"3",98,17,14,25
NA,"3",88,15,12,22
NA,"3",92,17,15,24
NA,"3",95,17,14,26
NA,"3",90,17,13,26
NA,"3",96,18,13,24
NA,"3",93,18,14,27
NA,"3",105,20,16,20
NA,"13",94,16,12,23
NA,"13",95,16,12,24
NA,"13",99,17,15,25
NA,"13",98,16,14,26
NA,"13",95,16,14,23
NA,"13",98,16,13,14
NA,"13",96,16,14,23
NA,"13",88,15,13,22
