"Pit","Length","Width"
3,108,10.8
3,104.1,9.7
3,100.5,9.2
3,99.9,11.2
3,105.6,11.4
3,103.2,9.4
3,103.3,11.1
3,105.2,11
3,100.7,11.2
3,108.9,11.9
3,106.5,11.3
4,106,11.1
4,109.7,11.6
4,112.8,12.2
4,106.6,11.6
4,102.6,10.4
4,102.9,9.5
4,106.7,8.8
4,107.4,9.6
4,99.7,9.5
4,107.4,10.7
4,105.5,12.4
4,105.9,11.8
4,106.5,11.7
4,107.5,12.1
4,106.6,11.5
4,106.7,11.1
4,109.1,11.5
4,99,11
4,103.8,9.3
4,105.2,10.8
4,105,9.5
4,109,11
4,108.4,12.6
13,106.1,11.3
13,108,11.6
13,106.4,11.1
13,108.3,11.4
13,111.3,12.5
13,111.7,12.3
13,108.4,11
13,108.7,11.9
13,106.1,9.6
13,106.2,11.6
60,108.3,9.6
60,112,12.2
60,106.9,11.4
60,110.6,12.3
60,105.7,11.9
61,108.3,11.5
61,105.7,11.5
61,107.9,11.9
61,110.5,13.2
61,103.4,8.9
67,109.3,11
67,108.6,11.4
67,112.8,12.6
77,106,11.4
77,108.8,11
77,101.4,11
77,108.7,12.2
