"catno","pit","length","width","depth"
NA,NA,38,2,2
NA,NA,39,1,2
NA,NA,36,1,2
NA,NA,37,1,2
NA,NA,36,1,2
NA,NA,36,1,2
NA,NA,36,1,2
NA,NA,36,1,1
NA,NA,46,1,2
NA,NA,46,1,3
NA,NA,50,1,3
NA,NA,50,1,2
NA,NA,49,1,2
NA,NA,49,1,2
NA,NA,45,1,2
NA,NA,46,1,2
"G5599","10",36,2,2
"G5617","10",38,2,2
NA,"10",36,3,3
NA,"10",38,2,2
NA,"10",40,2,3
NA,"10",37,2,2
NA,"10",39,2,3
NA,"10",38,2,3
NA,"10",39,3,2
NA,"10",37,2,3
NA,"10",39,2,3
NA,"10",37,2,3
NA,"10",39,2,2
NA,"10",40,2,2
NA,"10",39,2,2
"G5629","4",41,3,3
"G5627","4",39,2,2
"G5603","3",38,3,3
"G5385","3",37,3,2
"G5624","3",38,2,2
"G5620","3",39,3,3
"G5385","3",35,3,2
"F1722","3",36,2,2
"G5638","91",39,3,2
"G5634","91",37,2,2
"G5630","91",37,3,3
"G5635","91",38,3,3
"G5639","91",38,3,3
"G5498","91",36,3,3
"G5633","91",37,2,3
"G5637","91",39,3,2
"G5503","91",36,2,3
"G5501","91",40,2,2
