"pit","length","width","depth"
"10",96,14,12
"81",94,14,13
"81",100,16,13
"81",97,15,11
"81",85,14,13
"81",84,13,12
"81",88,15,12
"81",97,14,12
"81",83,15,13
"81",92,14,13
"81",96,15,13
"81",101,13,12
"81",92,13,12
"81",93,15,13
"81",90,14,12
"81",89,14,12
"81",88,13,11
"81",86,16,14
"4",85,14,12
"4",86,13,11
"4",80,14,12
"4",79,15,11
"4",83,14,12
"4",89,14,12
"4",89,14,12
"4",86,16,12
"4",90,14,12
"4",90,15,12
"4",82,13,12
"4",83,15,11
"4",84,14,11
"4",90,14,12
"13",85,14,10
"13",91,15,13
"13",96,14,12
"13",92,15,13
"3",90,14,12
"3",89,15,13
"3",87,13,13
"3",86,13,11
"3",84,15,12
"3",90,14,12
"3",89,13,10
"3",88,15,12
"3",89,13,12
"3",92,15,12
"3",93,15,12
"3",84,14,12
"3",83,13,11
"3",85,16,12
"3",92,15,12
"3",89,15,12
"3",88,14,11
"60",87,14,13
"60",87,13,12
"60",94,16,12
"60",94,14,11
"60",88,14,12
"60",94,15,12
"77",87,14,12
"77",88,15,13
"77",94,16,12
"77",89,13,12
