Institution,SpecNo,Taxon,Element,SampleNo,Pit,Uncal14CYBP,Uncal14CSE,Source,Quality
LACM,HC-35353,Smilodon fatalis,radius,91679,3,12645,40,O'Keefe et al. (2023),
LACM,HC-35915,Smilodon fatalis,radius,91680,67,11335,35,O'Keefe et al. (2023),
LACM,HC-X7098,Pantera atrox,L innominate,91682,61,11895,35,O'Keefe et al. (2023),
LACM,HC-X7117,Pantera atrox,L innominate,91683,67,12225,35,O'Keefe et al. (2023),
LACM,P23-967,Smilodon fatalis,Femur L,109432,P23-1,34270,540,Fuller et al. (2014),
LACM,P23-4096,Panthera atrox,Femur R,109433a,P23-1,34400,680,Holden et al. (2016),Collagen
LACM,P23-4096,Panthera atrox,Femur R,109433b,P23-1,34740,390,Fuller et al. (2014),
LACM,HC-K3569,Smilodon fatalis,femur,109442,61,12515,25,O'Keefe et al. (2023),
LACM,HC-K3593,Smilodon fatalis,femur,109443,61,11895,30,O'Keefe et al. (2023),
LACM,P23-2294,Canis dirus,Humerus L,109446,P23-1,34660,220,Fuller et al. (2014),
LACM,P23-4096,Panthera atrox,Femur R,109447,P23-1,34810,830,Holden et al. (2016),Collagen
LACM,P23-4096,Panthera atrox,Femur R,109454,P23-1,33310,590,Holden et al. (2016),Collagen
LACM,P23-4096,Panthera atrox,Femur R,111960,P23-1,34950,590,Holden et al. (2016),Collagen
LACM,P23-5003,Camelops hesternus,Rib,111980,P23-5B,42600,1700,Holden et al. (2016),Collagen
LACM,P23-5003,Camelops hesternus,Rib,112815,P23-5B,42800,2900,Holden et al. (2016),Collagen
LACM,HC-H1789,Canis dirus,tibia,125320,67,12605,40,O'Keefe et al. (2023),
LACM,HC-X7113,Pantera atrox,L innominate,125321,61,11580,40,O'Keefe et al. (2023),
LACM,P23-693,Panthera atrox,Radius L,125322,P23-1,34860,710,Holden et al. (2016),Collagen
LACM,P23-659,Panthera atrox,Tibia R,125323,P23-1,36260,840,Holden et al. (2016),Collagen
LACM,P23-1619,Canis dirus,Tibia L,125324,P23-1,33380,800,Fuller et al. (2014),
LACM,P23-11369,Canis dirus,Humerus L,125325,P23-1,36690,890,Fuller et al. (2014),
LACM,HC-H1872,Canis dirus,tibia,127076,61,11820,30,O'Keefe et al. (2023),
LACM,P23-15023,Canis dirus,Tibia L,127080,P23-1,35400,420,Fuller et al. (2014),
LACM,P23-15065,Smilodon fatalis,Radius L,127081,P23-1,35000,400,Fuller et al. (2014),
LACM,P23-2079,Camelops hesternus,Vertebra cervical VII,131429,P23-1,34710,890,Fuller et al. (2020),
LACM,P23-8260,Nothrotheriops shastensis,Patella L,131430,P23-1,34880,900,Fuller et al. (2020),
LACM,P23-8884,Actinemys marmorata,Hypoplastron,131431,P23-1,30330,530,Fuller et al. (2020),
LACM,P23-5072,Paramylodon harlani,Right rib,131432,P23-1,35900,1000,Fuller et al. (2020),
LACM,P23-2254,Paramylodon harlani,Fibula R,131433,P23-1,36100,1100,Fuller et al. (2020),
LACM,P23-2914,Canis latrans,Tibia R,131434,P23-1,36900,1200,Fuller et al. (2020),
LACM,P23-1616,Canis dirus,Proximal right ulna,131435,P23-1,35380,970,Fuller et al. (2020),
LACM,P23-4144,Equus occidentalis,Ilium L,131436,P23-1,40800,1900,Fuller et al. (2020),
LACM,P23-2693,Sylvilagus sp.,Calcaneum L,131437,P23-1,33320,750,Fuller et al. (2020),
LACM,P23-14369,Sylvilagus sp.,Calcaneum L,131438,P23-1,>42900,Limit,Fuller et al. (2020),
LACM,P23-10571,Paramylodon harlani,Dermal ossicle,131439,P23-1,35620,990,Fuller et al. (2020),
LACM,P23-6538,Spermophilus beecheyi,Femur R,131440,P23-1,35800,1000,Fuller et al. (2020),
LACM,P23-14736,Crotalus sp.,Vertebra,131441,P23-1,37400,1200,Fuller et al. (2020),
LACM,P23-14738,Sylvilagus sp.,Calcaneum L,131442,P23-1,36100,1100,Fuller et al. (2020),
LACM,P23-16259,Bison antiquus,Tibia L,131443,P23-1,37300,1200,Fuller et al. (2020),
LACM,P23-3492,Wood,-,131444,P23-1,41700,1100,Fuller et al. (2020),
LACM,HC-15083,Insecta,Bulk,135090,29,2920,15,Holden et al. (2016),Chitin
LACM,HC-15083,Insecta,Bulk,135091,29,4590,15,Holden et al. (2016),Chitin
LACM,HC-15083,Insecta,Bulk,135093,29,5725,15,Holden et al. (2016),Chitin
LACM,RLP-3311E,Dicheirus sp.,,135934,91,7265,25,Holden et al. (2016),Chitin
LACM,P23-19066,Eleodes sp.,,135935,P23-1,35020,590,Holden et al. (2016),Chitin
LACM,P23-19207,Insecta,"Bulk, blanched",135936,P23-1,29050,290,Holden et al. (2016),Chitin
LACM,P23-19208,Insecta,Bulk,135937,P23-5B,44300,1900,Holden et al. (2016),Chitin
LACM,P23-19207,Insecta,Bulk,135939,P23-1,38880,960,Holden et al. (2016),Chitin
LACM,P23-933,Lepus sp.,Calcaneum L,136672,P23-1,34770,640,Fuller et al. (2020),
LACM,P23-934,Mustela frenata,Tibia L,136673,P23-1,35010,660,Fuller et al. (2020),
LACM,P23-2798,Bison antiquus,Tibia L,136674,P23-1,35460,690,Fuller et al. (2020),
LACM,P23-19432,Wood,-,136675a,P23-1,40010,740,Fuller et al. (2020),
LACM,P23-3464,Juniperus sp.,Wood,136675b,P23-5B,42600,1200,Holden et al. (2016),Cellulose
LACM,P23-5003,Camelops hesternus,Rib,136676,P23-5B,46700,2800,Holden et al. (2016),Collagen
LACM,P23-6549,Equus occidentalis,Humerus L,136677,P23-1,33390,540,Fuller et al. (2020),
LACM,P23-5003,Camelops hesternus,Rib,136686,P23-5B,44200,2000,Holden et al. (2016),Collagen
LACM,P23-19570,Juniperus sp.,Seed,136739,P23-5B,42900,1100,Holden et al. (2016),Cellulose
LACM,P23-19569,Juniperus sp.,Seed,136740,P23-5B,44300,1300,Holden et al. (2016),Cellulose
LACM,HC-7761,Tenebrionidae,,136741,A,2295,20,Holden et al. (2016),Chitin
LACM,HC-7760,Tenebrionidae,,136742,A,2170,15,Holden et al. (2016),Chitin
LACM,HC-7786,Tenebrionidae,,136743,A,46900,1700,Holden et al. (2016),Chitin
LACM,P23-19431,Tracheophyta,Wood,136744,P23-5B,44200,1300,Holden et al. (2016),Cellulose
LACM,HC-7761,Tenebrionidae,underlayer,136747,A,2320,25,Holden et al. (2016),Chitin
LACM,HC-7760,Tenebrionidae,underlayer,136748,A,2180,15,Holden et al. (2016),Chitin
LACM,RLP-12854,Coleoptera,Prothorax,137678,91,26710,130,Holden et al. (2016),Chitin
LACM,HC-7783,Coleoptera,Body capsule,137679,A,2450,25,Holden et al. (2016),Chitin
LACM,P23-20154,Coleoptera,Prothorax,137680,P23-1,30850,480,Holden et al. (2016),Chitin
LACM,P23-20155,Coleoptera,Elytron,137681,P23-1,33450,280,Holden et al. (2016),Chitin
LACM,P23-20156,Coleoptera,Head,137682,P23-1,35500,370,Holden et al. (2016),Chitin
LACM,P23-11716,Coleoptera,Mandible,137683,P23-5B,46400,1600,Holden et al. (2016),Chitin
LACM,P23-20156,Coleoptera,Head,137684,P23-1,35560,360,Holden et al. (2016),Chitin
LACM,RLP-12854,Coleoptera,Prothorax,137685,91,26670,130,Holden et al. (2016),Chitin
LACM,HC-7783,Coleoptera,Body capsule,137686,A,2420,25,Holden et al. (2016),Chitin
LACM,P23-20681,Coleoptera,Elytron,138836,P23-1,37380,450,Holden et al. (2016),Chitin
LACM,P23-20681,Coleoptera,Elytron,138837,P23-1,37790,670,Holden et al. (2016),Chitin
LACM,P23-20679,Coleoptera,Elytron,138838,P23-1,35140,420,Holden et al. (2016),Chitin
LACM,P23-20679,Coleoptera,Elytron,138839,P23-1,35620,360,Holden et al. (2016),Chitin
LACM,HC-23970,Bison antiquus,metacarpal,141499,61,12355,40,O'Keefe et al. (2023),
LACM,HC-23969,Bison antiquus,metacarpal,141500,61,12175,40,O'Keefe et al. (2023),
LACM,HC-Z1276,Camelops hesternus,metatarsal,141501,61,12370,45,O'Keefe et al. (2023),
LACM,HC-Z4599,Equus occidentalis,metatarsal,141502,61,11820,45,O'Keefe et al. (2023),
LACM,HC-23974,Bison antiquus,metacarpal,141505,67,11520,40,O'Keefe et al. (2023),
LACM,HC-Z4625,Equus occidentalis,metatarsal,141507,67,11310,40,O'Keefe et al. (2023),
LACM,HC-Z4612,Equus occidentalis,metatarsal,143011,61,12310,45,O'Keefe et al. (2023),
LACM,HC-Z4602,Equus occidentalis,metatarsal,143012,61,11340,30,O'Keefe et al. (2023),
LACM,HC-Z4649,Equus occidentalis,metatarsal,143013,67,11870,40,O'Keefe et al. (2023),
LACM,P23-4144,Equus occidentalis,Ilium L,143018,P23-1,42700,1400,Fuller et al. (2020),
LACM,P23-21564,Spermophilus beecheyi,Femur R,143019,P23-1,32110,410,Fuller et al. (2020),
LACM,P23-4307,Sylvilagus sp.,Calcaneum L,143020,P23-1,35800,650,Fuller et al. (2020),
LACM,P23-690,Smilodon fatalis,Femur R,143021,P23-1,35590,570,Fuller et al. (2020),
LACM,P23-9351,Smilodon fatalis,Femur R,143022,P23-1,35840,590,Fuller et al. (2020),
LACM,P23-2837,Smilodon fatalis,Femur R,143023,P23-1,35640,570,Fuller et al. (2020),
LACM,P23-14393,Smilodon fatalis,Femur R,143024,P23-1,35820,590,Fuller et al. (2020),
LACM,P23-9274,Smilodon fatalis,Femur R,143025,P23-1,35660,570,Fuller et al. (2020),
LACM,P23-9283,Smilodon fatalis,Femur R,143026,P23-1,36050,600,Fuller et al. (2020),
LACM,P23-11528,Canis dirus,Humerus L,143027,P23-1,36430,630,Fuller et al. (2020),
LACM,P23-16401,Canis dirus,Humerus L,143028,P23-1,36480,630,Fuller et al. (2020),
LACM,HC-Z4620,Equus occidentalis,metatarsal,148044,67,11455,40,O'Keefe et al. (2023),
LACM,HC-Z4639,Equus occidentalis,metatarsal,148045,67,12165,45,O'Keefe et al. (2023),
LACM,HC-Z4591,Equus occidentalis,metatarsal,148046,61,12395,50,O'Keefe et al. (2023),
LACM,HC-Y5485,Bison antiquus,metacarpal,148048,61,12060,60,O'Keefe et al. (2023),
