"siteid","handle","collectionunitid","analysisunitid","pitnumber"
4865,"RANCHOLABR",11937,123982,NA
4865,"RANCHOLABR",11937,123986,NA
4865,"RANCHOLABR",11937,123988,NA
4865,"RANCHOLABR",11937,123984,NA
4865,"RANCHOLABR",11937,123985,NA
4865,"RANCHOLABR",11937,123983,NA
4865,"RANCHOLABR",11937,123987,NA
4865,"RLBP23-1",42706,513705,NA
4865,"RLBP23-13",42707,513706,NA
4865,"RLBP23-14",42708,513707,NA
4865,"RLBP23-7B",42709,513708,NA
4865,"RLBPIT16",42710,513709,NA
4865,"RLBPIT29",42711,513710,NA
4865,"RLBPIT4",42712,513711,NA
4865,"RLBPITA",27102,247181,NA
4865,"RLBPITB",27109,247207,NA
4865,"RLBPT10",5915,82628,NA
4865,"RLBPT10",5915,82627,NA
4865,"RLBPT13",5916,82629,NA
4865,"RLBPT60",5917,82630,NA
4865,"RLBPT61-67",5918,82631,NA
4865,"RLBPT77",5919,82632,NA
4865,"RLBPT91",5920,82633,NA
4865,"RLBPT91NE",5921,82634,NA
