,L,W,D
Coragyps atratus,,,
Female1,83,9.2,7
Female1,82.4,9.2,7.4
Female2,85.1,8,7
Female2,85.2,9.4,7.5
Female3,85.5,8.7,6
Female3,85.5,7.4,5.2
Female4,83,8.3,6
Female4,82.5,7.8,6.5
Female5,87.3,6.7,6
Female5,85,7.5,6.8
Male6,86.5,7.8,6.7
Male6,86,8.2,6.5
Female7,89,7.6,6.8
Female7,86,7,6
Male8,86,6.1,5.7
Male9,85.6,7.8,6.3
Male9,85.2,8,6.3
Female10,81,7.7,6
Female10,81,7.5,6
Female11,84,8,7.3
Female12,82.4,8.3,6.7
Female12,83,7.5,6.1
Female13,78.5,9.6,6.1
Female13,80.9,8.5,6
Female14,84.5,7.5,6
Female14,84.3,7.1,6.2
Female15,84.5,7.7,6.7
Female15,84.7,7.5,6
Tyto alba,,,
Female1,76,4.5,3.3
Female1,62.5,5.2,4.5
Male2,76.5,5.5,5.7
Female3,78.5,5,4.5
Female3,74.7,5.2,4.7
Male4,79,7,5
Female5,77.7,4.2,4.9
Female5,82.1,5.2,5.1
Male6,73.8,4.9,4.9
Male6,75.4,4.6,4
Female7,77.5,4.9,4.6
Female7,79.2,5.6,4.4
Female8,78.5,4.8,4.8
Female9,79,5,4.6
Female9,80,5.1,5
Male10,72.8,5,4.1
Male10,75.5,5,3.7
Male11,69,4.7,5.1
Male11,70.1,4.3,5
Athene cunicularia,,,
Male1,41.2,2.8,2.1
Male1,41.7,2.5,2.3
Male2,51,3.6,3.7
Male2,50.5,3.9,3.5
Female3,46,4.2,3.9
Femal3,46.3,2.7,3.2
Female4,51.7,3.6,2.7
Female5,42.5,3.2,3.6
Female5,42,2.5,2.9
Corvus corax,,,
Female1,63,4.8,5.5
Male2,66.4,5.5,5.9
Male2,67,5.2,4.9
Female3,66.5,5,6
Female3,66.1,5.1,5
Male4,67,5.1,5.1
Male4,66,5.1,5.7
Neophron percnopterus,,,
Male1,880.5,7.5,5.7
Male1,79.9,8,5
Pica nuttalli,,,
Female1,45.5,2.8,3.3
Female1,46.5,3,2.5
Female2,43,2.2,3.5
Female3,43.5,2.5,2.5
Female3,44,2.3,2.4
