CAT. #,PIT,AGE,LENGTH,PROXW,MIDSHW,MIDSHD,DISTW
D3455,3,15000,101,22,11,10,25
G2724,3,15000,98,20,12,11,23
G2722,3,15000,96,20,10,9,22
G2730,3,15000,96,19,9,9,22
G2723,3,15000,96,21,10,9,23
G2768,10,9000,92,17,10,7,18
K3740,10,9000,97,21,11,10,22
G2649,10,9000,103,22,12,11,26
G2630,10,9000,98,22,11,10,25
G2647,10,9000,100,22,11,10,25
G2643,10,9000,97,22,11,10,23
G2690,10,9000,96,21,10,9,22
K3738,10,9000,98,22,11,9,24
G2692,10,9000,96,19,10,8,22
G2651,10,9000,100,22,11,10,25
G2670,10,9000,96,21,12,9,24
G2644,10,9000,99,22,12,9,24
G2654,10,9000,98,22,12,10,24
G2679,10,9000,98,20,11,10,22
G2686,10,9000,97,21,10,8,22
G2633,10,9000,97,22,11,11,25
G2662,10,9000,104,23,11,11,25
G2646,10,9000,99,23,11,11,24
K3733,10,9000,96,20,10,10,22
G2689,10,9000,96,20,11,10,22
D2104,13,14000,99,20,10,9,23
D2530,13,14000,98,17,13,11,25
D2288,13,14000,101,22,13,11,25
D1681,13,14000,95,21,11,11,23
D1797,13,14000,99,21,11,10,23
D2576,13,14000,96,22,12,10,25
D2189,13,14000,97,21,11,10,23
D2370,13,14000,97,21,11,11,23
D5434,13,14000,99,21,11,10,23
D1316,13,14000,101,22,11,10,23
D1949,13,14000,98,20,11,10,22
D2195,13,14000,100,22,11,10,22
D3129,13,14000,98,22,16,9,24
D5229,13,14000,102,23,12,11,25
D2072,13,14000,95,21,11,11,24
D2672,13,14000,95,19,10,9,22
D5222,13,14000,103,22,11,9,23
D1922,13,14000,102,21,11,10,23
D2079,13,14000,97,20,11,9,21
D2526,13,14000,99,21,11,9,23
D5952,13,14000,100,20,12,9,23
D2270,13,14000,95,20,10,10,23
D1864,13,14000,101,21,12,10,25
D2301,13,14000,104,23,12,11,25
D2257,13,14000,99,20,11,10,23
D2528,13,14000,99,20,11,10,23
D6553,13,14000,99,20,10,10,23
D2316,13,14000,98,21,11,10,23
D2941,13,14000,94,19,9,7,20
D5345,13,14000,96,20,10,9,21
D2480,13,14000,93,20,10,10,23
D5903,13,14000,101,21,11,10,24
D1789,13,14000,97,22,11,11,24
D6298,13,14000,99,20,10,8,22
D1835,13,14000,101,22,11,10,23
D5941,13,14000,96,21,11,9,23
D2335,13,14000,97,20,10,10,22
D2619,13,14000,101,21,11,10,23
D1848,13,14000,100,22,11,11,24
D3007,13,14000,101,20,11,8,22
D6988,13,14000,99,21,11,9,24
D2359,13,14000,94,20,10,10,23
D5346,13,14000,96,21,12,10,23
G2729,13,14000,101,23,12,11,25
G2731,13,14000,98,20,9,9,23
C555,16,35000,96,20,12,9,23
C3499,16,35000,98,20,11,11,22
C4190,16,35000,97,21,10,9,22
D721,16,35000,99,21,10,9,23
C4620,16,35000,99,20,12,11,22
C138,16,35000,92,20,10,9,22
C3660,16,35000,97,20,11,10,23
C4161,16,35000,104,23,12,12,26
C9179,16,35000,92,19,10,9,22
C8569,16,35000,100,20,11,9,23
C3191,16,35000,96,21,11,7,23
D777,16,35000,100,20,10,9,23
C3642,16,35000,99,22,13,11,25
C616,16,35000,100,23,12,11,25
C6325,16,35000,100,22,12,11,25
C6675,16,35000,97,22,12,11,25
C7522,16,35000,96,22,11,9,23
C8297,16,35000,96,24,12,11,26
C3705,16,35000,95,21,11,11,24
C4622,16,35000,97,19,11,9,22
C7052,16,35000,99,22,12,10,24
C5635,16,35000,99,22,12,11,25
C7095,16,35000,99,20,10,10,23
C612,16,35000,99,21,12,11,23
C3677,16,35000,96,20,12,10,22
C7329,16,35000,104,23,12,11,25
C4134,16,35000,101,23,13,11,26
C7056,16,35000,96,22,11,10,24
C8034,16,35000,102,21,11,11,24
C442,16,35000,94,18,10,8,22
C5705,16,35000,100,22,12,10,24
C3840,16,35000,94,20,11,10,22
C1203,16,35000,99,22,11,11,23
C6525,16,35000,97,22,12,11,24
C7365,16,35000,98,20,10,9,22
C539,16,35000,95,21,10,9,22
C6545,16,35000,96,20,11,9,22
C8707,16,35000,100,20,10,9,23
B9327,16,35000,97,21,10,10,23
B9656,16,35000,99,21,12,10,23
C4251,16,35000,97,20,10,10,22
B9354,16,35000,102,22,12,10,24
C1952,16,35000,102,22,13,12,26
C8822,16,35000,99,21,12,10,24
B9608,16,35000,99,24,14,12,25
C8793,16,35000,100,20,10,10,22
C369,16,35000,97,20,11,9,23
C980,16,35000,102,22,11,11,24
D455,16,35000,96,20,10,9,22
D272,16,35000,94,20,11,10,23
C7592,16,35000,99,22,12,11,25
B9322,16,35000,99,21,12,12,24
C9969,16,35000,99,23,10,10,25
B8614,16,35000,96,20,10,10,22
D39,16,35000,99,20,12,10,24
C9621,16,35000,95,20,10,9,22
C3892,16,35000,100,23,13,12,25
B9583,16,35000,97,20,11,10,23
C7614,16,35000,96,23,12,10,25
C7540,16,35000,96,20,11,10,23
C8024,16,35000,99,21,12,11,25
C6860,16,35000,100,22,11,10,25
C7185,16,35000,95,20,11,10,24
D686,16,35000,99,22,13,11,25
B9576,16,35000,99,19,11,10,22
D604,16,35000,97,21,11,11,23
C9544,16,35000,98,20,10,8,22
B9781,16,35000,97,20,12,10,23
C5167,16,35000,98,22,11,10,23
C1874,16,35000,99,20,11,11,23
C7588,16,35000,98,22,12,11,25
B9629,16,35000,98,20,11,10,23
C2177,16,35000,102,20,10,9,22
C9,16,35000,97,20,11,9,22
C5784,16,35000,98,20,10,9,21
C709,16,35000,95,20,10,9,22
D866,16,35000,99,23,13,10,25
C3817,16,35000,98,21,11,11,23
C9729,16,35000,97,22,12,10,24
C5466,16,35000,101,22,12,11,26
C3889,16,35000,99,20,11,10,22
B9415,16,35000,99,20,11,10,23
C8796,16,35000,91,19,11,10,21
C1873,16,35000,97,21,11,10,23
C736 ,16,35000,96,22,11,10,25
C4030,16,35000,98,22,13,10,23
C3046,16,35000,100,21,11,10,23
C2770,16,35000,100,21,11,10,24
C6691,16,35000,97,22,12,11,24
C3324,16,35000,98,20,10,10,22
C3651,16,35000,98,21,11,10,24
C4510,16,35000,104,23,12,12,25
C9223,16,35000,93,19,10,9,22
C4604,16,35000,98,22,11,11,26
C6744,16,35000,98,23,12,11,24
C3621,16,35000,99,20,11,10,23
C4657,16,35000,98,20,11,10,23
D215,16,35000,102,23,13,11,25
C2041,16,35000,98,20,11,11,23
C697,16,35000,100,21,11,10,24
C1995,16,35000,99,22,12,12,26
C5798,16,35000,100,23,13,12,26
C5896,16,35000,101,22,12,10,25
C717,16,35000,91,19,10,8,21
C6023,16,35000,99,20,10,9,22
B9898,16,35000,98,21,11,10,23
C1173,16,35000,102,23,11,11,25
C3388,16,35000,97,21,11,9,23
C5891,16,35000,101,22,11,11,25
C7589,16,35000,95,21,11,9,24
C6454,16,35000,97,20,9,9,22
D55,16,35000,96,20,10,10,23
C5165,16,35000,96,20,10,9,23
C7206,16,35000,96,22,11,10,24
B9631,16,35000,99,20,11,10,23
C3049,16,35000,99,20,11,10,23
C9471,16,35000,95,20,11,10,22
C7038,16,35000,103,22,12,11,25
C9024,16,35000,101,21,10,10,24
C3859,16,35000,89,19,10,9,22
C359,16,35000,102,24,12,9,25
C3639,16,35000,96,20,11,10,22
C4809,16,35000,98,21,11,10,23
C2012,16,35000,96,20,11,11,22
C5758,16,35000,97,22,12,10,25
C6738,16,35000,98,20,10,9,22
C5974,16,35000,97,20,11,10,22
C3615,16,35000,95,21,10,10,23
C106,16,35000,99,22,12,11,24
B9447,16,35000,94,20,10,9,23
B9536,16,35000,100,20,10,9,22
C672,16,35000,98,22,11,10,22
C5657,16,35000,100,21,12,10,25
C579,16,35000,99,22,12,10,24
B9664,16,35000,102,21,12,10,24
C6193,16,35000,100,20,10,9,23
D402,16,35000,99,20,11,9,22
D1106,16,35000,103,23,12,11,25
B9537,16,35000,93,20,10,9,22
C5577,16,35000,99,22,11,10,24
B9962,16,35000,100,22,12,9,24
C3603,16,35000,97,20,10,9,23
C5710,16,35000,97,20,11,10,23
C2688,16,35000,95,20,10,8,22
C344,16,35000,97,20,10,10,23
D988,16,35000,97,22,12,10,24
C65,16,35000,95,21,10,9,23
C5315,16,35000,95,20,10,10,23
B9534,16,35000,96,20,10,8,22
B8638,16,35000,99,20,11,11,22
B9243,16,35000,99,20,11,10,23
B9634,16,35000,103,22,11,9,24
B8443,16,35000,100,23,13,11,25
C169,16,35000,99,18,11,8,21
C4676,16,35000,98,23,12,10,24
C431,16,35000,101,22,12,11,25
C4831,16,35000,98,22,11,10,23
B9454,16,35000,100,20,10,9,23
B8575,16,35000,94,19,10,9,22
C6877,16,35000,94,19,10,9,22
C9420,16,35000,99,22,12,9,23
C606 ,16,35000,97,20,11,10,23
D9309,16,35000,98,22,13,11,25
C7782,16,35000,96,21,11,11,23
C1025,16,35000,101,23,13,12,26
B9669,16,35000,99,24,13,12,26
C5404,16,35000,101,21,12,10,24
B8714,16,35000,99,20,11,10,23
D4073,60,23000,96,22,11,11,24
D4039,60,23000,96,20,10,9,23
D4397,60,23000,97,20,10,10,23
D4389,60,23000,98,21,12,11,25
D4569,60,23000,97,22,11,10,25
D3993,60,23000,97,20,11,10,22
D3583,60,23000,98,21,11,10,23
D4644,60,23000,99,21,11,10,24
D3789,60,23000,96,20,10,9,22
D4600,60,23000,101,22,12,10,26
D4700,61,12000,102,22,11,11,24
D4751,61,12000,99,21,11,10,23
D4769,61,12000,95,20,11,10,23
D4858,61,12000,97,19,10,9,23
D6662,67,12000,99,20,10,10,22
G2731,67,12000,97,19,11,9,23
D6955,77,32000,97,21,11,11,23
D6948,77,32000,103,23,12,11,26
G2746,81,12000,97,19,11,8,22
G2745,81,12000,95,21,11,10,23
E5190,81,12000,98,23,12,10,25
G2744,81,12000,97,21,11,10,25
G2744,91,28000,95,20,11,10,23
