Species,Sp #,Metapodial,L or R,Locality (Pit #),,Max Length,Condyle Width,Facet Width,Min Depth
B. antiquus,Y2319,Metatarsal,L,61,11,274,74,61,39
B. antiquus,Y5624,Metatarsal,R,61,11,267,79,63,41.5
B. antiquus,Y2305,Metatarsal,L,61,11,274,74,60,36.8
B. antiquus,LACMHC 24000,Metatarsal,L,61,11,285,81,69,42.2
B. antiquus,Y5609,Metatarsal,R,67,11,266,74,65,35
B. antiquus,Y2400,Metatarsal,R,67,11,261,69,58,35
B. antiquus,LACMHC 24003,Metatarsal,R,67,11,272,74,63,37
B. antiquus,Y5619,Metatarsal,R,67,11,270,78,63,38
B. antiquus,Y2318,Metatarsal,L,67,11,260,69,56,36
B. antiquus,Y2290,Metatarsal,L,67,11,262,67,54,34
B. antiquus,Y5613,Metatarsal,R,4,14,260,67,55,38
B. antiquus,LACMHC 23986,Metatarsal,R,4,14,264,77,65,40.3
B. antiquus,Y5625,Metatarsal,R,4,14,279,80,60,42
B. antiquus,Y2383,Metatarsal,R,4,14,278,79,68,41
B. antiquus,Y2390,Metatarsal,R,4,14,281,76,61,40.9
B. antiquus,Y2396,Metatarsal,R,4,14,262,71,59,35.2
B. antiquus,Y2384,Metatarsal,R,4,14,274,79,72,40.1
B. antiquus,Y5620,Metatarsal,R (subad),4,14,266,70,59,34.4
B. antiquus,Y2383,Metatarsal,R,4,14,278,82,68,38.3
B. antiquus,Y2282,Metatarsal,L,4,14,265,70,59,35.6
B. antiquus,Y2298,Metatarsal,L,4,14,274,78,67,37.1
B. antiquus,Y2281,Metatarsal,L,4,14,264,70,60,37
B. antiquus,Y2307,Metatarsal,L,4,14,284,76,60,38
B. antiquus,Y2275,Metatarsal,L,4,14,262,71,58,35
B. antiquus,Y2321,Metatarsal,L,4,14,269,75,60,34
B. antiquus,Y2303,Metatarsal,L,4,14,284,75,62,37
B. antiquus,Y2289,Metatarsal,L,4,14,278,74,62,36
B. ant or lat,Y2280,Metatarsal,L,4,14,280,75,65,39.3
B. antiquus,Y2301,Metatarsal,L,4,14,264,72,61,36
B. antiquus,Y2323,Metatarsal,L,4,14,280,76,61,39
B. antiquus,Y2385,Metatarsal,R,13,16,271,70,60,39
B. antiquus,Y2403,Metatarsal,R,13,16,282,82,68,46
B. antiquus,Y2392,Metatarsal,L,13,16,263,71,59,34
B. antiquus,Y2316,Metatarsal,L,13,16,274,72,60,42.6
B. antiquus,Y2302,Metatarsal,L,13,16,272,71,58,36.9
B. antiquus,Y2293,Metatarsal,L,13,16,269,68,58,39.8
B. antiquus,Y2292,Metatarsal,L,13,16,286,79,66,39.4
B. antiquus,Y2398,Metatarsal,R,3,18,275,72,63,37
B. antiquus,Y2393,Metatarsal,R,3,18,274,81,75,37
B. antiquus,Y2608,Metatarsal,R,3,18,266,71,62,37
B. antiquus,Y5608,Metatarsal,R,3,18,265,73,64,36
B. antiquus,Y2395,Metatarsal,R,3,18,278,77,64,36
B. antiquus,Y5617,Metatarsal,R,3,18,256,68,57,33
B. antiquus,LACMHC 23983,Metatarsal,R,3,18,276,74,60,35
B. antiquus,Y5622,Metatarsal,R,3,18,277,71,62,37.5
B. antiquus,Y2397,Metatarsal,R,3,18,271,73,57,37
B. antiquus,Y2391,Metatarsal,R,3,18,272,76,63,37
B. antiquus,Y5618,Metatarsal,R,3,18,280,71,61,36
B. antiquus,Y5627,Metatarsal,R,3,18,276,78,63,39
B. antiquus,Y5612,Metatarsal,R,3,18,275,74,61,35
B. antiquus,Y5614,Metatarsal,R,3,18,274,81,73,38
B. antiquus,Y5626,Metatarsal,R,3,18,275,75,61,39
B. antiquus,Y2386,Metatarsal,R,3,18,271,73,57,36
B. antiquus,Y5610,Metatarsal,R,3,18,272,74,62,37
B. antiquus,Y2389,Metatarsal,R,3,18,280,80,66,40
