z 1765 ,lt,67,,55.9,39,27.8,
z 1772,rt,67,,51.4,25.8,38.2,
z 1780,rt,67,,60.5,30.5,43.8,
z 1766,,77,,62.5,30.9,43.5,
,,77,,51.5,25.9,37.2,
z1782 77 10-11 1/2,,77,,61.1,30.03,43.3,
"E10,10 1/2-12 1/2",rt,77,,50,25.6,25.7,juv.
z1758,lt,17,,57,29.1,41.1,
z 1790,lt,60,,45.4,27.6,37.8,def
z 1778,,61,,58.3,30.5,41.2,
z 1775,lt,61,,52.7,27.6,37.4,
z1788,lt,61,,51.9,25.7,37.2,
z1774,,61,,63.5,28.3,44.2,
z1764,,61,,56.1,28,42.6,
z1787,rt,61,,50.1,25.1,37.3,
z1761,,9,,54.4,26.8,39.4,
z 1791,,9,,50.8,29.1,26.3,
,rt,9,,44.5,26.5,39.4,
z1783,rt,13,,55.7,29.1,40.7,
z1760,,16,,56.9,30.4,39.7,
z1776,lt,16,,61.6,32.1,41.8,
z1762,rt,16,,55.5,28.7,42.1,
z1767,,3,,58,29,42.1,
"E2, 10 1/2",,3,,50.5,24.8,37.6,
z 1773,,3,,47.7,23.8,36.3,
z1781,,4,,62.5,30.3,40.3,
z1770,,4,,42,20.8,32.6,
64 6,,,,53,24.7,37.8,
64 1,,9,,60.1,28.5,41.1,
z1785,rt,2,,57.1,28,42.8,
z1784,,3,,52.4,27.4,38.2,
,,3,,55,30.6,40.5,
z1786,,3,,53.5,27.3,37.5,
"f4,9.5",,3,,50.7,22.4,37.3,
z1759,,3,,47.2,24,33.2,
z1789,,3,,44.1,22.6,34.6,
z1771,,3,,56,31.5,39.5,
z1779,,3,,52.6,27.2,37.3,
