SPECIMEN,PIT #,LENGTH,WIDTH,DEPTH
NO DATA,NO DATA,97.1,56.4,40.4
NO DATA,NO DATA,92.8,47.05,42.2
NO DATA,NO DATA,95.1,54.3,41.6
NO DATA,NO DATA,88.5,47.6,36.8
NO DATA,NO DATA,94.8,54,40.7
Z2290,77,111.26,61.6,47.6
Z2285,77,108.5,61.7,51.1
Z2306,77,101.7,57.7,43.9
Z2301,77,102.6,64.6,45.4
ACADEMY,,106.1,51.9,43.2
ACADEMY,,102.4,51.6,44.1
ACADEMY,,88.3,45.9,38
Z2691,16,105.6,59.9,44.8
Z2300,16,110.8,60.4,47.3
Z2299,16,104.2,58.4,42.1
NO NUMBER,16,115.8,62.8,53.1
Z2289,17,106.1,57.4,45.5
Z2297,67,89.9,45.3,39
NO NUMBER,9,91.2,47,42.6
NO NUMBER,9,91.9,46.3,42.7
87-3,9,89.6,56.3,42.2
92-3,9,97.6,51.1,49.6
Z2294,13,106.3,54.9,40.1
95-4,3,94.4,47.2,40.5
86-4,3,91.8,50.8,34.1
93-3,3,104.1,52.2,45.3
64-8,3,91.3,51.1,42.4
64-6,3,82.8,45.3,35.1
64-6,3,88.7,52.4,38.6
Z2304,3,102.6,60.3,45.3
Z2286,3,103.4,62.1,44.9
Z2304,3,102.4,62.2,48.4
Z2295,3,108.2,59,47.5
Z2288,4,111.6,61.7,47.1
Z2305,4,104.8,56.7,43.4
Z2288,4,111.7,62.1,45.8
Z2307,4,103.3,54.6,39.1
