CAT. #,PIT #,AGE,LENGTH,PROX. W,PROX.D,MIDS.W,MID.DEPTH,DIST.W,DIST.DEP
e2067,2,Unk,88.78,14.31,7.31,4.91,3.89,13.86,8.87
e3265,3,15000,86.58,12.86,7.28,5.18,4.9,14.6,9.52
e3291,3,,86.7,14.3,7.16,5,4.29,13.99,8.19
e2771,3,,88.13,13.65,7.13,5.25,4.39,14.17,8.22
e2664,3,,88.58,14.4,8.03,5.99,5.34,14.96,9.45
e3199,3,,85.82,15.22,7.8,5.78,5.15,14.73,9.9
e2579,3,,85.67,13.57,7.29,5.5,4.07,13.68,8.53
e3652,3,,81.77,13.1,7.58,5.43,4.74,13.47,8.72
e3986,3,,87.66,14.91,7.64,5.7,4.95,14.74,9.23
e3069,3,,87.64,13.46,7.36,5.18,4.01,14.24,7.93
e2981,3,,90.11,14.75,7.43,5.26,4.09,13.99,8.95
e2617,3,,86.43,13.33,6.97,5.33,4.1,14.25,8.22
e4081,3,,86.68,13.03,7.58,5.66,4.09,13.13,9.01
e4263,3,,86.28,13.05,6.76,5.23,3.94,12.43,6.86
e4278,3,,87.52,12.77,6.18,5,5,13.56,9.33
e3550,3,,92.63,13.54,8.12,5.06,4.33,13.57,8.7
e3090,3,,93.44,13.75,7.53,4.69,3.95,14.6,6.59
e4184,3,,83.54,12.47,6.68,5.13,4.18,13.58,8.02
e3663,3,,89.71,12.41,5.89,5.56,4.85,13.39,6.54
e3276,3,,87.56,12.94,7.39,5.55,4.53,13.77,8.14
e2863,3,,89.82,12.83,6.62,5.14,4.54,13.95,8.53
e3679,3,,86.96,11.92,6.28,5.07,3.97,12.57,6.76
e4041,3,,90.49,15.02,7.52,5.55,4.31,13.97,8.94
e3936,3,,87.67,13.37,6.69,5.4,4.4,13.98,8.6
b4139,3,,83.01,13.06,6.91,5.39,4.83,14.37,8.33
e2979,3,,86.32,13.75,8.29,4.99,4.52,14.33,8.68
e3950,3,,93.09,14.17,7.47,5.71,4.71,15.35,8.89
e2972,3,,83.09,14.08,8.1,5.51,4.58,13.95,9.48
e4068,3,,85.44,13.68,7.3,5.91,5.14,14.06,9.56
e3676,3,,89.56,13.16,7.01,5.15,4.74,14.71,9.44
e3294,3,,85.78,14.57,7.76,5.32,4.87,14.98,9.8
e4511,3,,87.63,12.6,7.49,5.09,3.93,13.1,8.56
e2677,3,,87.57,13.59,7.19,3.27,3.95,12.58,7.3
e3446,3,,89.76,14.11,7.81,5.15,4.71,14.76,9.5
e2639,3,,90.43,12.62,6.99,5.23,4.48,13.86,8.73
e4151,3,,90.7,13.69,7.42,5.75,4.54,14.18,8.86
e4421,3,,89.29,13.15,7.32,4.44,4.75,14.82,8.36
e3091,3,,92.37,13.7,7.46,5.76,4.42,14.82,8.17
e3382,3,,90.52,13.31,7.12,5.13,4.08,13.98,8.71
e3672,4,Unk,90.46,13.73,7.11,5.24,4.41,14,8.72
e4310,4,,89.82,14.21,7.27,5.46,4.26,14.75,8.71
g3042,10,9000,93.3,,7.45,5.31,4.66,13.77,8.24
g3084,10,,92.3,13.09,6.79,5.36,4.67,14.43,8.2
g2928,10,,85.05,13.71,7.19,5.18,3.97,13.83,8.1
e2956,10,,90.46,14.05,7.15,4.07,4.36,14.79,9.41
j9914,13,14000,88.62,13.17,7.44,5.13,4.25,12.86,7.73
e4817,13,,89.08,12.63,6.72,4.49,3.58,12.89,7.63
e4833,13,,88.19,14.08,7.04,5,4.29,14.99,9.4
e4581,13,,88.28,14.03,8.09,5.36,4.71,13.45,8.54
e4772,13,,85.44,13.73,6.8,4.98,4.36,13.42,4.83
e4614,13,,87.69,13.15,6.53,5.09,4.22,13.97,8.67
e4746,13,,90.64,12.96,7.05,5.32,4.84,16.16,8.96
e4654,13,,87.56,13.31,6.88,5.58,4.18,14.67,7.99
e4488,13,,92.31,7.92,14.62,4.89,5.77,12.5,7.79
g2963,13,,90.38,13.94,7.32,5.4,3.96,14.48,8.79
e4593,13,,87.54,13.01,7.21,5.8,5.29,14.29,9.01
e4799,13,,82.16,14.23,7.6,5.1,4.75,,8.62
e4806,13,,83.7,14.4,7.39,5.78,4.79,14.16,8.1
e4830,13,,85.53,13.65,7.29,5.44,4.59,13.45,8.48
e677,13,,86.65,13.62,7.35,5.31,4.43,13.93,8.1
e820,13,,91.51,14.73,6.94,5.66,4.67,14.74,9.45
e4808,13,,88.71,13.69,6.8,4.69,3.96,13.99,8.28
f2046,13,,88.31,13.69,7.05,4.99,3.75,14.69,8.92
e4738,13,,89.32,13.58,7.36,5.09,4.04,14.7,8.76
e1621,16,35000,92.75,13.81,7.6,5.65,5.71,14.73,8.47
e746,16,,88.96,12.64,6.46,5.4,4.63,14.05,8.03
E1486,16,,88.84,13.43,7.18,4.87,4.18,14.41,9.28
e898,16,,88.85,14.73,8.67,5.41,5,15.11,9.48
e1355,16,,85.86,14.65,7.35,5.7,4.96,14.01,8.63
e1455,16,,91.11,13.48,7.33,5.54,4.42,14.31,8.16
e885,16,,90,13.67,7.52,5.64,5.53,13.73,8.33
e754,16,,92.7,12.13,6.22,5.26,4.31,14.07,8.52
e1456,16,,88.15,14.16,6.8,5.66,5,14.29,8.59
g2876,16,,85.11,13.07,6.73,5.5,4.42,13.01,8.37
e1463,16,,89.53,13.72,7.52,5.27,4.44,13.92,7.58
e956,16,,84.11,14.48,7.54,5.49,4.26,14.92,9.34
g2958,16,,90.85,14.78,7.68,5.81,4.77,14.58,9.15
e681,16,,90.35,15,8.08,5.61,4.57,14.66,9.23
e1535,16,,91.39,14.12,7.48,5.9,4.33,14.54,9.49
e816,16,,93.65,13.63,6.99,5.33,4.48,14.3,8.82
e1281,16,,87.24,14.34,7.32,5.59,4.68,14.14,9.05
g2926,16,,89.42,14.52,7.53,5.38,4.61,14.74,9.32
e761,16,,90.83,14.28,7.64,5.57,4.45,14.36,8.84
e1178,16,,85.64,13.31,6.58,5.21,4.19,13.85,9.15
e1490,16,,89.54,13.88,7.08,6.31,4.57,14.26,9.25
e1449,16,,90.17,13.32,7.85,5.73,5.11,14.42,8.48
e1249,16,,90.87,14.07,7.07,5.23,4.3,14.25,9.31
g2921,16,,87.27,15.02,7.69,5.72,4.3,14.67,10.09
e1468,16,,90.15,12.85,6.9,5.42,3.98,12.92,8.08
e1102,16,,86.6,13.34,7.03,5.22,4.43,12.22,7.02
e1027,16,,89.2,13.16,7.64,5.29,4.04,14.72,9.3
e759,16,,91.73,13.62,6.83,5.31,4.11,11.79,6.57
e1488,16,,86.81,14.2,8.47,5.38,4.29,14.78,8.77
g2975,16,,87.26,13.45,6.92,5.19,4.43,13.75,7.86
e785,16,,87,13.09,7.03,3.46,3.82,14.04,7.57
e1481,16,,91.85,12.63,6.95,5.36,4.81,13.98,8.81
e1526,16,,85.5,12.85,6.48,4.04,3.89,12.32,6.7
g2922,16,,93.55,14.17,7.07,5.73,4.38,14.7,9
e1431,16,,89.61,12.93,6.77,5.06,5.02,13.98,7.59
e1450,16,,89.35,14.48,7.35,5.45,4.72,14.75,9.67
e750,16,,90.6,13.87,6.88,4.85,4.08,13.88,8.82
e1291,16,,91.77,12.98,7.61,5.8,4.76,14.7,9.18
e748,16,,84.58,14.23,7.29,5.75,4.76,14.58,9.06
e752,16,,90.88,14.25,8.04,5.19,4.58,15.44,9.31
e1007,16,,84.57,13.44,8,5.31,4.76,14.01,9.19
e937,16,,88.16,14.24,7.2,5.72,4.83,14.51,8.95
e1056,16,,85.99,13.61,6.81,4.84,3.79,13.84,8.83
g2907,16,,90.38,13.57,6.4,5.3,4.4,13.96,8.58
e618,16,,87.28,13.67,7.31,5.51,4.56,14.29,8.82
e643,16,,87.86,14.67,7.72,5.47,4.74,,7.85
e1373,16,,83.4,13.94,7.66,5.17,4.43,14.28,8.62
e615,16,,84.92,14.86,7.7,5.66,4.58,14.59,9.6
e1181,16,,89.6,14.82,7.4,5.6,4.46,14.81,8.99
e871,16,,91.7,14.3,7.31,5.71,5.03,14.53,9.1
e882,16,,89.9,13.84,7.39,5.48,4.63,14.89,9.15
e977,16,,89.58,13.62,7.13,5.18,4.13,14.21,8.36
e613,16,,87.03,14.15,7.27,5.42,4.47,14.57,8.85
g2941,16,,91.62,13.49,7.31,5.19,4.65,13.7,7.28
e1529,16,,91.32,13.49,8.06,5.82,4.87,14.93,9.01
e1126,16,,87.02,13.5,6.73,5.64,4.21,13.74,8.18
e1551,16,,86.04,11.69,5.28,4.71,3.66,13.15,6.32
e1520,16,,87.69,13.35,6.82,5.82,4.95,13.93,7.97
e758,16,,88.39,12.65,4.44,5.33,4.03,13.71,7.44
e1129,16,,88.59,14.14,7.42,5.27,4.44,14.5,8.74
e924,16,,90.95,13.33,7.18,6.19,5,12.11,8.82
e796,16,,88.22,11.66,5.83,3.71,3.71,11.47,7.17
e1471,16,,84.48,12.55,6.6,5.38,4.17,12.2,8.23
e1308,16,,89.51,14.88,7.83,5.6,4.38,14.43,9.61
