Spec. #,Pit #,Age,Length,Width,Depth
Z3414,2,Unk,67.6,61.9,60.9
Z3350,3,15000,69.9,66.2,51.4
Z3380,3,15000,70.2,72.2,57.3
Z3423,3,15000,71.7,69.2,59.6
Z3397,3,15000,73.4,70.8,58.2
LACMHC27818,3,15000,71.9,68.5,61.2
Z5947,3,15000,72.1,72.3,59.2
Z3370,3,15000,72.6,72.1,59.9
Z3393,3,15000,74.5,72.9,59.4
Z3387,3,15000,67.4,71,56
Z3353,3,15000,70.9,70.2,57.9
Z3352,3,15000,68.5,64.9,54.5
Z3382,3,15000,67.8,68.6,56.3
Z3405,3,15000,73.2,73.6,59.9
Z3456,3,15000,70.7,71.8,61.2
LACMHC27815,3,15000,73.7,70.9,59.9
Z3538,3,15000,68.9,68.7,53.5
Z3525,3,15000,65.2,62.1,53.1
Z3453,3,15000,70.4,66,57.8
Z3493,3,15000,67.1,60.1,52
Z3535,3,15000,64.9,61.7,53.6
Z3513,3,15000,70.7,72.2,59.4
Z3540,3,15000,69.9,67.8,55.9
Z3539,3,15000,68.3,64.9,56.9
Z3491,3,15000,68.5,60.7,56.4
Z3494,3,15000,70.9,67.5,55.3
Z3482,3,15000,70.6,73.9,62.2
Z3531,3,15000,68.8,69.1,57.8
Z3461,3,15000,70.9,72.7,59.5
Z3468,3,15000,64.4,60.4,55.1
Z3528,3,15000,68.1,62.4,55.8
Z3542,3,15000,71.8,68.2,61.6
Z3508,3,15000,68.6,63.1,59
Z3502,3,15000,70.3,66.5,59.4
Z3518,3,15000,66.3,63.1,56.5
Z3463,3,15000,73.2,66.8,59.5
Z3485,3,15000,69.9,65.8,57.9
Z3522,3,15000,70.5,63.7,59.8
Z3464,3,15000,72.8,68.5,61
Z3529,3,15000,77.2,70.2,65.1
Z3533,3,15000,72.4,64.4,60.1
Z3498,3,15000,70.1,62.8,59.1
Z3500,3,15000,74,70.5,64.8
Z3479,3,15000,70.9,63.3,61.4
Z3469,3,15000,72.5,62.8,61.2
Z3381,16,35000,73.6,66.2,52.9
Z3458,16,35000,68.5,64.4,60.5
Z3416,17,Unk,75.7,65.7,61.8
Z3427,17,Unk,69.8,64.5,58.2
Z3520,17,Unk,64.8,60.7,56.7
Z3354,60,23000,73.6,59.9,55.6
Z3379,60,23000,73.6,62.2,58.8
Z3431,60,23000,73.6,66.2,56.8
Z3356,60,23000,72.6,70,61.1
Z3388,60,23000,66.1,61.8,53.8
Z3355,60,23000,75,71.3,65.4
Z3483,60,23000,70.4,67,62.2
Z3507,60,23000,75.2,71.6,63.7
Z3505,60,23000,72.6,70.1,59.5
Z3481,60,23000,73.4,65.8,58.5
Z3364,61,12000,70.3,57.8,57.2
Z3424,61,12000,71,64.6,57.7
Z3445,61,12000,71.3,62.9,60.2
Z3434,61,12000,67.5,61.9,54.3
Z3436,61,12000,70.6,62.5,57.1
Z3358,61,12000,73.3,69.1,63.9
Z3371,61,12000,71.9,62.2,58.3
Z3530,61,12000,71.9,64.5,58.6
Z3465,61,12000,69.3,59.1,55.6
Z3489,61,12000,73.1,64.7,64.2
Z3409,67,12000,69.2,56.3,59.5
Z3394,67,12000,69.6,62.7,59.7
Z3441,67,12000,70.5,65.2,59.9
Z3402,67,12000,73.7,64.2,61.1
Z3430,67,12000,69.6,64.5,57.7
Z3404,67,12000,75.9,69.2,63.7
Z3421,67,12000,75.8,65.9,63.7
Z3444,67,12000,70.8,67.2,61.2
Z3390,67,12000,70.2,61.5,57.2
Z3412,67,12000,70,68,61.5
Z3440,67,12000,67.4,59.9,56.8
Z3357,67,12000,71.3,62.9,61.5
Z3442,67,12000,68.5,58.5,57.1
Z3374,67,12000,71,63.9,58.8
Z3490,67,12000,75,69.9,64
Z3519,67,12000,69.9,61.7,59.3
Z3486,67,12000,71.3,65.2,59.3
Z3511,67,12000,67.2,61.4,55.4
Z3516,67,12000,68.9,64.6,57.8
Z3504,67,12000,72.1,63,57.2
Z3534,67,12000,67.6,64.4,54.9
Z3545,67,12000,72.5,64.9,62.3
Z3515,67,12000,66.2,62.6,56.8
Z3487,77,32000,70.1,63.8,61
Z3470,77,32000,75.1,64.1,63.8
Z3472,77,32000,72.9,65.6,61.4
Z3492,77,32000,71.7,69.3,60.4
Z3462,77,32000,74.3,66.2,60.2
Z3541,77,32000,70.5,64.8,54.6
Z3526,77,32000,72,64.3,59.9
Z3450,77,32000,70.4,60.9,56.4
