Date,,Max Length,Prox w,Prox d,Mids W,Mids d
10000,10,284,58,49,40,34
10000,10,305,62,52,40,38
10000,10,284,61,51,40,40
10000,10,284,57,50,40,36
10000,10,282,54,37,40,37
10000,10,301,60,53,42,38
10000,10,277,55,48,38,37
10000,10,285,55,50,38,37
10000,10,281,57,51,37,37
10000,10,303,63,51,53,40
10000,10,293,56,50,38,39
10000,10,286,61,50,39,39
10000,10,278,54,48,37,37
10000,10,304,63,53,41,40
10000,10,284,57,48,38,35
10000,10,296,56,49,38,40
10000,10,282,56,50,37,35
10000,10,285,54,40,32,36
10000,10,282,58,52,37,37
10000,10,307,63,51,42,40
10000,10,278,56,47,39,36
16000,16,285,58,49,36,34
16000,16,289,59,50,39,40
16000,16,294,61,52,40,38
16000,16,293,62,65,42,39
16000,16,276,47,40,26,26
16000,16,267,52,40,31,27
16000,16,292,59,48,41,39
16000,16,292,50,46,42,37
16000,16,294,57,51,40,40
16000,16,299,60,52,41,39
16000,16,282,56,47,41,38
16000,16,289,59,53,43,42
16000,16,280,62,51,40,37
16000,16,295,58,48,39,39
16000,16,282,58,47,40,39
16000,16,308,58,48,39,36
16000,16,284,58,49,37,35
16000,16,275,62,51,40,38
16000,16,295,59,52,40,41
16000,16,295,56,48,40,46
16000,16,294,53,46,35,34
16000,16,286,57,46,36,35
16000,16,295,61,52,40,40
16000,16,296,59,51,38,39
16000,16,289,56,46,38,36
16000,16,295,60,51,38,37
16000,16,306,56,46,36,36
16000,16,276,60,54,39,37
16000,16,291,54,48,41,42
16000,16,289,52,46,37,35
16000,16,283,57,48,39,38
16000,16,289,59,52,46,42
16000,16,288,56,50,37,37
16000,16,278,57,49,39,39
16000,16,288,57,51,40,37
16000,16,292,58,50,39,36
16000,16,295,59,52,40,40
16000,16,274,54,47,39,35
16000,16,295,57,49,41,36
16000,16,278,54,47,38,38
16000,16,284,55,50,39,37
16000,16,285,58,49,36,35
16000,16,290,60,50,38,42
16000,16,291,59,51,40,38
16000,16,295,57,52,39,34
16000,16,285,56,47,38,37
16000,16,305,55,49,37,40
16000,16,282,53,42,35,33
16000,16,292,57,50,40,38
16000,16,284,57,50,35,36
24000,24,303,61,54,39,38
24000,24,295,57,50,39,39
30000,30,282,58,52,41,37
30000,30,299,59,49,40,35
32000,32,295,61,50,40,38
32000,32,301,56,48,37,38
32000,32,291,59,50,38,36
32000,32,298,64,53,41,40
32000,32,287,60,51,38,37
32000,32,303,50,49,37,39
32000,32,285,57,48,40,38
32000,32,293,58,52,42,41
32000,32,288,57,50,39,38
32000,32,296,60,51,41,39
32000,32,298,63,54,42,39
32000,32,309,61,49,41,39
32000,32,292,56,50,40,38
