#,Pit #,Date,Length,Width,Depth
Z4908,2,Unk,79.3,81.2,52
Z4939,2,Unk,80.9,79.9,41.6
Z4992,3,15000,83.3,79.1,42.1
Z4856,3,15000,83.4,78.3,40
Z4979,3,15000,70.2,73,32.1
Z4998,3,15000,77.9,72,38.1
Z4857,3,15000,77.3,71.4,39.1
Z4876,3,15000,79.4,81.6,43.5
Z4848,3,15000,78.3,80.8,54.8
Z4864,3,15000,78.8,81.3,47.1
Z4920,3,15000,75.5,73.1,40.3
Z4970,3,15000,76.3,74.8,44.8
Z4865,3,15000,83.3,83.8,45.5
Z4930,3,15000,82.4,77.7,44.6
Z4879,3,15000,80.1,79,38.6
Z4959,3,15000,81.8,82.5,40.1
Z4861,3,15000,80.7,83.1,54.9
Z4852,3,15000,78.9,78.1,36.8
Z4911,3,15000,79.4,81.5,45.4
Z4863,3,15000,75.8,75.7,41.6
Z4915,3,15000,84.8,82.7,44.1
Z4950,3,15000,82.2,81.7,48.3
Z4947,3,15000,81.8,77.8,42.1
Z4900,3,15000,80.1,82.7,50.5
Z4849,3,15000,79.7,78.2,45.3
Z4933,3,15000,76.2,77.7,35.7
Z4972,3,15000,77,74.1,40.6
Z4987,3,15000,83.3,83.5,55.4
Z4850,3,15000,82.7,82.6,52.4
Z4890,3,15000,75.6,80.8,46.9
Z4883,3,15000,82.6,84.9,39.6
Z4891,3,15000,83.3,78.6,40.9
Z4870,3,15000,87.5,80.9,45.4
Z4887,3,15000,80.8,82.5,42.2
Z4967,3,15000,76.1,77.7,38.2
Z4935,3,15000,81.8,83,40.6
Z4927,3,15000,78.3,77.1,39.2
Z4910,3,15000,82.5,83.2,43.6
Z4999,3,15000,77.5,78.4,41.7
Z4953,3,15000,80.1,82.4,43.2
Z4982,3,15000,84.7,81.7,50.8
Z5000,3,15000,81.6,84.3,51.8
Z4955,4,Unk,80.7,81.8,43.2
Z4991,4,Unk,80.5,81.2,41.7
Z4868,4,Unk,81.9,81.1,49.8
Z4969,4,Unk,81.9,81.7,37.1
Z4902,4,Unk,83,78.5,38.9
Z4954,4,Unk,77.1,76.9,47.3
Z4862,4,Unk,82.2,76.1,47.4
Z4946,4,Unk,81.6,82.2,50.5
Z4994,4,Unk,85.2,83.4,43.3
Z4886,4,Unk,82.7,81.4,51.7
Z4960,4,Unk,84.9,79.6,42.7
Z4922,4,Unk,82.7,81.5,50.6
Z4858,4,Unk,81.7,78.5,52.5
LACM27571,4,Unk,83.8,80.3,38.2
Z4898,4,Unk,83,82.6,50
Z4903,4,Unk,83.4,82.8,52.8
Z4919,4,Unk,81.9,82.4,51.4
Z4915,4,Unk,83.7,81.4,54.2
Z4921,4,Unk,80.3,80.8,51.1
Z4949,4,Unk,82.5,80.4,54.2
Z4867,4,Unk,81,79.3,53.9
Z4988,4,Unk,89.4,83.9,40.8
Z4880,4,Unk,85.9,83.6,57.4
Z4968,4,Unk,84.5,85.3,44.7
Z4974,4,Unk,84.7,83.3,40.5
LACM27572,13,14000,74.7,76.6,38
Z4976,13,14000,75.5,78.8,51.4
Z4981,13,14000,80.2,73.6,44.8
Z4946,16,35000,83.3,81.8,54.2
Z4990,16,35000,80.3,71.8,48.6
Z4914,16,35000,72.8,83.1,33.2
Z4944,16,35000,84.5,80.4,39.7
Z4899,16,35000,76.6,76.7,46.1
Z4951,16,35000,72.7,65.2,32.4
Z4901,17,,75.9,75.2,38.3
Z4872,60,23000,87.7,73,45.5
Z4872,60,23000,82.6,85.2,45.5
Z4937,60,23000,80.5,77.7,47
Z4928,60,23000,75.6,75.5,48.3
Z4860,60,23000,82.8,75.7,38.6
LACM27573,61,12000,85.4,80.8,44.4
Z4964,61,12000,78.8,85.1,39.9
Z4962,61,12000,85.9,80.9,51.7
Z4895,67,12000,82.4,79.8,38.2
Z4984,67,12000,69.9,78.4,44.6
Z4971,67,12000,81.3,81.5,39.9
Z4936,67,12000,77.2,72.1,42.7
Z4917,67,12000,79.5,82.1,40.3
Z4977,67,12000,80.1,79.6,54.9
Z4881,77,32000,82.2,80.9,45.8
Z4853,77,32000,82.2,80.1,42.8
Z4855,77,32000,86,83.4,43.1
Z4884,77,32000,80.7,81.2,54.3
Z4859,77,32000,75.6,76.1,49.7
LACM27577,77,32000,77.8,76.9,47.5
Z4888,77,32000,81.8,75.4,48.4
Z4851,77,32000,77.2,71.5,50
Z4869,77,32000,76.5,77.3,43.9
Z4942,77,32000,82,81.6,54.3
Z4952,77,32000,84.7,85.3,56.3
Z4916,77,32000,84,81.9,54.7
Z4975,77,32000,84.9,85.6,55.7
Z4885,77,32000,83.7,83.7,43.5
Z4982,77,32000,82.4,82.1,53.6
Z4913,77,32000,81.7,75.4,42.1
Z4943,77,32000,81.9,78,39.3
Z4871,81,12000,83.5,77.4,46.3
Z4854,81,12000,83.7,79.1,56.2
LACM27578,91,28000,66.7,66.1,35.2
,ACADEMY,Unk,81.7,76.4,38.7
,ACADEMY,Unk,81.2,79.2,49.8
,ACADEMY,Unk,79.9,84.5,38
,ACADEMY,Unk,77.4,84.2,47.9
,ACADEMY,Unk,85.5,85,41.9
,NO DATA,Unk,76.3,76.8,41.5
,NO DATA,Unk,76.5,68.4,42.4
,NO DATA,Unk,70.1,70.3,34.1
,NO DATA,Unk,73.3,74.7,38.5
,NO DATA,Unk,75.1,72.3,46.3
,NO DATA,Unk,82.7,83.4,49.9
