Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B1440,2,Unk,142.2,38,17.7,12.4,15.1,25.9,17.7,672.6,187.24,458.43
B0673,3,15000,136.3,35.9,16.7,11.8,14.2,24.7,18,599.53,167.56,444.6
B1518,3,15000,128.2,35.6,15.6,11.2,14,23.3,18.3,555.36,156.8,426.39
B1628,3,15000,134.2,35.6,17.3,12,14.8,24,17.4,615.88,177.6,417.6
B1773,3,15000,136.7,35.7,16.9,11.5,13.8,26.2,18.6,603.33,158.7,487.32
B1783,3,15000,131.3,35.4,16.6,10.2,13.6,24.7,17.6,587.64,138.72,434.72
B1871,3,15000,137.6,39,18.4,11.7,14.8,26.8,19.4,717.6,173.16,519.92
B1898,3,15000,141.9,36.7,17.2,11.1,14.1,24.4,18.3,631.24,156.51,446.52
B1960,3,15000,139,35.6,16.4,11.6,14.8,25.4,17.9,583.84,171.68,454.66
B2000,3,15000,131.2,35.6,16.8,11,14.2,24.7,16.6,598.08,156.2,410.02
B2001,3,15000,129.5,33.7,16.4,10.1,12.8,24.2,16.2,552.68,129.28,392.04
B2037,3,15000,137.6,34.9,17.1,10.6,12.7,24,16.8,596.79,134.62,403.2
B2039,3,15000,138.2,36.7,17.5,10.4,13.9,25.3,18.3,642.25,144.56,462.99
B2065,3,15000,132.9,33.3,17.1,9.7,12.2,24,16.3,569.43,118.34,391.2
B2149,3,15000,132.9,36.4,16.6,10.6,14.5,23.4,17.2,604.24,153.7,402.48
B2326,3,15000,133.8,35.6,16.3,11.1,13.6,23.3,16.9,580.28,150.96,393.77
B2645,3,15000,136.3,33.7,16.3,10.6,13.8,22.8,17,549.31,146.28,387.6
B2771,3,15000,131.6,35.7,17.5,11.4,14,24,18.4,624.75,159.6,441.6
B2820,3,15000,130.6,33.6,16.7,10.3,13.6,22.2,17.1,561.12,140.08,379.62
B3041,3,15000,129.4,34.1,16.7,11.3,14.2,22,16.7,569.47,160.46,367.4
B3139,3,15000,130.3,33,16.7,11.1,13.6,23.5,17.6,551.1,150.96,413.6
B3253,3,15000,131.5,35,15.8,10.4,13.5,22,16.4,553,140.4,360.8
B3292,3,15000,140.7,35,16.7,11.7,13.4,24.3,17.8,584.5,156.78,432.54
B3327,3,15000,132.6,35.2,17.3,11.2,14,25.4,18.1,608.96,156.8,459.74
B3375,3,15000,137.2,36.8,17,10.5,13.5,24.3,17.2,625.6,141.75,417.96
B3391,3,15000,139.8,35.7,16.9,10.8,13.2,23.7,18.1,603.33,142.56,428.97
B3393,3,15000,130.9,34.2,16,10.6,12.9,22.6,17.3,547.2,136.74,390.98
B3412,3,15000,136.1,34.5,16.9,10.8,13.5,24.1,16.4,583.05,145.8,395.24
B3433,3,15000,138.6,35.7,17.3,12.8,15.2,24.2,17.3,617.61,194.56,418.66
B3571,3,15000,128.4,34,15.6,10.3,13.8,24.2,17.2,530.4,142.14,416.24
B3632,3,15000,134.3,35,17.1,11.4,13.9,23.8,17.4,598.5,158.46,414.12
,3,15000,142.6,36.3,17.2,12.3,14.6,24.2,17,624.36,179.58,411.4
B3659,3,15000,138.5,34.1,16.5,11.1,13.9,23.5,16.5,562.65,154.29,387.75
B3678,3,15000,134.5,35.3,16.7,11.2,13.8,23.1,16.1,589.51,154.56,371.91
B3681,3,15000,135.3,34.8,16.9,11.7,15.6,25.5,17.6,588.12,182.52,448.8
B3782,3,15000,135.4,35.7,16.2,11.7,13.4,24.1,17.6,578.34,156.78,424.16
B3861,3,15000,138.2,35.5,17.1,12.1,13.7,23.7,16,607.05,165.77,379.2
B3883,3,15000,129.5,34.9,16.1,10.6,15.1,23.9,16.8,561.89,160.06,401.52
B4158,3,15000,144.2,36,17.7,9.9,13.5,24.7,17.2,637.2,133.65,424.84
B4209,3,15000,137.3,35.3,17.8,11.1,14,24.8,17.9,628.34,155.4,443.92
B8008,3,15000,134.5,35.6,17.6,12.6,14.7,24.6,16.8,626.56,185.22,413.28
B4537,4,Unk,133.8,36.5,17.3,11.2,14.1,24.3,16.8,631.45,157.92,408.24
B4668,4,Unk,133.5,34.9,16.7,11.2,14,24.8,17.3,582.83,156.8,429.04
B4840,4,Unk,135.4,35.7,16.6,10.3,13.3,24.6,18.1,592.62,136.99,445.26
B4860,4,Unk,132.9,34.9,16.7,10.5,14.2,23,17.2,582.83,149.1,395.6
B4917,4,Unk,133,34.1,16.8,9.9,13.4,23.4,17.8,572.88,132.66,416.52
B4919,4,Unk,140.5,37.5,17.7,11.4,13.6,24.3,17.2,663.75,155.04,417.96
B4964,4,Unk,136.1,36.3,17.9,11.4,14.2,22.5,17.6,649.77,161.88,396
B4994,4,Unk,134.4,34.1,16.5,10.7,14,24.3,17.4,562.65,149.8,422.82
B4995,4,Unk,135.6,31.8,16.4,10.6,13.2,23.8,17.4,521.52,139.92,414.12
B5142,4,Unk,132.8,35.7,17.6,11.4,14.5,23,17.8,628.32,165.3,409.4
