Catalog #,Pit #,Age,Cranial height,Cranial length,Temporal width,Opisthotic width,Occipital width,Foramen magnum height,Foramen magnum width,Occ length L,Occ length R,Occ width L,Occ width R
Bi1916/36096,,0,44.2,,49.9,44.3,25.1,12.6,13.8,20,20.1,3.1,3.3
Bi141/86821,,0,40.4,78.4,46.9,42,23.4,12.7,12.6,19.5,19.1,3.4,3.2
88894,,0,40.6,79.1,48,41.4,25.8,12.6,12.8,20.2,20.4,4,3.6
101811,,0,,78,46.1,40.3,23.2,,12.7,19.5,19.4,3.2,3.6
88895,,0,42.8,75.2,47.6,41.3,23.8,,14.3,20.1,19.8,3.2,3.1
SBMNH544,,0,44.2,78.1,46.5,41.8,23,11.1,11.4,16.1,18,3.8,3.7
SBMNH545,,0,46.1,78.1,46.4,42.1,24.9,12.7,11.2,16.5,16.8,3.4,3.6
SBMNH547,,0,46.5,80,46,42.5,25,13.1,11.3,16,15.5,3.7,3
SBNHM550,,0,45,84,47.5,44,24,14.3,11.2,16,16,3.5,3
151087,,0,42.6,80.1,46.4,41.3,24.1,11.4,11.8,19.8,19.3,2.7,2.5
151086,,0,41.4,79.8,46.1,39,22.1,11.3,11.5,18.3,18.9,2.9,3
44888,,0,42.5,84.8,46.5,41.2,23.6,12.7,11.6,20.5,20.3,3.3,3.7
23459,,0,42.4,83.3,47.3,40.7,22.1,11.5,11.5,19.2,19,3.3,3
120363,,0,41,83.4,45.7,40.7,23.8,10.6,11.9,19.4,19.3,3.1,2.7
131373,,0,39.8,78.8,47.9,39.2,22.6,11.8,11.6,19.3,18.8,2.7,2.9
133377,AGE???,10000,43.4,89.8,50.4,43.8,27.6,12,12.3,21.7,21.9,4.2,4.2
B1467,2,Unk,41.8,,48.6,42.5,26.7,12.2,11.9,22.3,22.3,4.8,3.5
B1468,2,Unk,41,85.8,47,43,25.8,11.1,11.4,21.7,22,3.5,3.4
B1532,3,15000,41.4,84.4,49.1,44.7,29.3,12,12.1,23.7,23.7,3.6,3.4
B1692,3,15000,43.2,88.3,49.1,45.3,28.2,11.9,11.5,22.3,22.7,4.3,4.1
B2051,3,15000,41.2,85.7,49.4,46.6,26.8,11.2,11.4,22,22,4,4.6
B2074,3,15000,43.3,85.1,50.5,46.6,27.5,12.5,13.3,22.5,22.5,4.5,4.8
B2076,3,15000,42.8,83.1,48.2,45.1,26.8,,13.1,21.5,21.9,4,4.4
B2722,3,15000,39.9,,49.2,41.9,26.9,13.1,10.4,22.9,22.4,4.1,3.8
B2797,3,15000,43,86.1,49.3,43.1,26.9,12,11.4,21.9,21.4,3.5,3.7
B2954,3,15000,39.4,89.4,48.2,,27.8,12.3,11.6,22,22.1,4.7,4.1
B3004,3,15000,40.4,,42.5,44.7,28,12.1,10.7,21.6,21.8,4.2,3.8
B3260,3,15000,41.9,85,47,41.8,27,,11.6,20.4,20,4.9,4.8
B3319,3,15000,40.7,83.1,47.6,,26.1,12.2,12.4,20.8,21.8,3.6,3.8
