Catalog,Pit,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B1426,2,Unk,138.9,34.7,31.3,19.1,16.4,35.7,31.1,1086.1,313.2,1110.3
B1439,2,Unk,141.8,33.6,30,17.7,16,36.4,29.7,1008,283.2,1081.1
B1440,2,Unk,150.7,34.5,33.7,18.1,17,39,31.1,1162.7,307.7,1212.9
B1453,2,Unk,147.7,36.5,29.8,19.5,17.9,38,29.7,1087.7,349.1,1128.6
B1725,3,15000,146.1,35,31,19.4,16.3,37.2,32,1085,316.2,1190.4
B1775,3,15000,138,33.5,29.6,27.8,15.5,34.8,29.9,991.6,430.9,1040.5
B1783,3,15000,147.7,36,36.1,18.7,16.4,37.8,35.7,1299.6,306.7,1349.5
B1981,3,15000,145.1,34,28.2,18.7,16,36.3,29.6,958.8,299.2,1074.5
B2031,3,15000,136.9,33.8,31.5,17.2,15.3,35.3,30,1064.7,263.2,1059
B2032,3,15000,139.1,34.6,27.5,16.5,15.3,36.3,29.7,951.5,252.5,1078.1
B2057,3,15000,146.1,36.5,31.8,18.9,17.4,37.7,31,1160.7,328.9,1168.7
B2058,3,15000,140.5,32.2,28.8,18.3,15.9,34.6,30,927.4,291,1038
B2059,3,15000,138.1,34.1,29.6,18.6,15.5,36.3,29.4,1009.4,288.3,1067.2
B2174,3,15000,140.6,35,31.4,18.7,17.4,35.6,30.1,1099,325.4,1071.6
B2506,3,15000,149.3,34.5,29,18.3,15.6,36.5,30,1000.5,285.5,1095
B2514,3,15000,143.2,34.6,32.1,18.5,15.6,38.2,31.3,1110.7,288.6,1195.7
B2624,3,15000,145,33.2,33.6,18.9,16.6,38.3,30.9,1115.5,313.7,1183.5
B2651,3,15000,144,39.1,29.8,19.1,16.5,38.4,30.3,1165.2,315.2,1163.5
B2701,3,15000,141.5,33.8,31.6,19.5,17.4,36.2,31.5,1068.1,339.3,1140.3
B2984,3,15000,144.3,38.6,32,17.9,15.3,39.3,31.2,1235.2,273.9,1226.2
B3026,3,15000,142.6,33.8,35.9,18.1,15.6,36.1,29.8,1213.4,282.4,1075.8
B3093,3,15000,153.8,37.8,31.7,20.2,17.7,38.6,32,1198.3,357.5,1235.2
B3258,3,15000,148,34.9,31.8,19.6,16.3,36.6,30.7,1109.8,319.5,1123.6
B3259,3,15000,144.1,37.1,30.8,18.5,15.9,37.9,32.5,1142.7,294.2,1231.8
B3281,3,15000,140.8,33.7,27.5,17.3,15.8,33.2,27.2,926.8,273.3,903
B3564,3,15000,146.3,35.6,31.2,20.3,16.6,37.7,31.3,1110.7,337,1180
B3591,3,15000,147.2,39,31.7,20.2,17.7,37.4,28.8,1236.3,357.5,1077.1
B3613,3,15000,138.4,35.2,30.2,17.4,15.6,35.5,29,1063,271.4,1029.5
B3666,3,15000,137.3,33.9,29.2,18.3,16.6,35.4,30.2,989.9,303.8,1069.1
B4281,3,15000,145.4,36.3,31.8,19.7,17.4,39.8,32.3,1154.3,342.8,1285.5
B5980,3,15000,145.5,34.1,32.3,19.4,17.7,37.2,32.4,1101.4,343.4,1205.3
B8005,3,15000,140.2,34.8,30.2,17.9,16.3,35.4,30.5,1051,291.8,1079.7
B4406,4,Unk,146.1,34,28.9,17.6,15.5,36.2,29.5,982.6,272.8,1067.9
B4528,4,Unk,139.4,33.3,27.2,17.4,15.3,36.8,30.8,905.8,266.2,1133.4
B4613,4,Unk,143.2,35.2,31.1,19,16.3,38.4,29.2,1094.7,309.7,1121.3
B4638,4,Unk,144.5,36.1,31.8,17.8,15.9,38,31.2,1148,283,1185.6
B4857,4,Unk,140,33.3,30.5,17.5,16,36.9,29.8,1015.7,280,1099.6
B4857,4,Unk,139.6,33.8,30.5,17.4,15.9,37,30,1030.9,276.7,1110
B4892,4,Unk,137.8,33.8,31.1,17.9,16,36.2,30.1,1051.2,286.4,1089.6
B4958,4,Unk,144.6,36.9,28.7,20.3,17.3,36.5,30,1059,351.2,1095
B5068,4,Unk,140.4,34.6,31.1,20.7,18.5,36.5,30.6,1076.1,383,1116.9
B5221,4,Unk,147.6,34.3,30.4,19.5,17.3,38.4,32.5,1042.7,337.4,1248
B5246,4,Unk,140.8,34.5,31.6,18.6,16.4,37.1,32.3,1090.2,305,1198.3
B5316,4,Unk,140.8,32.8,31.2,18.3,16.5,35.9,29.5,1023.4,302,1059.1
B5350,4,Unk,146.7,36.7,31.8,19.6,17.3,37.6,31.7,1167.1,339.1,1191.9
B5351,4,Unk,145.2,36.7,32.2,18.7,17.1,38.1,32.5,1181.7,319.8,1238.3
B5492,4,Unk,149.1,37.2,32.5,18.2,17,39.7,32.3,1209,309.4,1282.3
B5562,4,Unk,147.9,34.8,31.7,19.7,16.6,36.6,31.5,1103.2,327,1152.9
B5586,4,Unk,142.8,36.1,33.8,19,16.5,38,32.3,1220.2,313.5,1227.4
B5628,4,Unk,140,34.7,30.3,20.9,18.8,36.6,31.2,1051.4,392.9,1141.9
