Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B1556,3,15000,279.6,52.7,19.2,22,17.9,50.3,25.8,1011.84,393.8,1297.74
B1575,3,15000,288.5,57.7,21.4,23.9,19.6,54.4,28.7,1234.78,468.44,1561.28
B1768,3,15000,279.8,55,19.6,21.3,18.5,49,26.4,1078,394.05,1293.6
B2524,3,15000,270.8,53.5,19.1,21.1,18.6,49.3,26.3,1021.85,392.46,1296.59
B3236,3,15000,278.1,54.2,19.2,21.8,18.8,51.2,27,1040.64,409.84,1382.4
B3660,3,15000,281.7,53,18.9,22.6,18.9,48.8,24.9,1001.7,427.14,1215.12
B4265,3,15000,283.9,53.3,17.6,22.5,19.4,49.9,25.3,938.08,436.5,1262.47
B1553,3,15000,265.7,56.8,18.7,26,16.5,47.3,24.6,1062.16,429,1163.58
B1615,3,15000,280.8,55.5,19.8,21.2,18.3,50,27.1,1096.68,387.96,1355
B2112,3,15000,285.9,53.8,19,22.9,19.4,49.8,25.3,1022.2,444.26,1259.94
B2151,3,15000,270,54.3,18.4,22.5,18.2,49.1,26,999.12,409.5,1276.6
B2576,3,15000,280.3,54.1,18,22.2,19.1,49.8,26.5,973.8,424.02,1319.7
B2639,3,15000,265.7,50.4,18.5,19.8,16.7,47.6,24.8,932.4,330.66,1180.48
B2641,3,15000,266.7,51.2,19,21.3,17.4,47.8,25.1,972.8,370.62,1199.78
B2831,3,15000,272.2,54,18.9,22.1,19.2,51,26.2,1020.6,424.32,1336.2
B3237,3,15000,266,52.7,18.3,23.3,17.9,48.8,22.7,964.41,417.07,1107.76
B3241,3,15000,279.9,52.8,18.8,21.5,18.3,49.7,28.8,992.64,393.45,1431.36
B4649,4,Unk,290.6,56.8,20,24,20.5,53.1,27.1,1136,492,1439.01
B4695,4,Unk,269.2,52.5,19.2,20.5,16.8,47.5,24,1008,344.4,1140
B4886,4,Unk,268.2,52.7,18.3,21.9,17.5,49.3,26.4,964.41,383.25,1301.52
B5232,4,Unk,274.9,54.5,19.4,22,18.6,49.4,25.7,1057.3,409.2,1269.58
B5266,4,Unk,274.8,52.2,19,20.3,17.1,47.6,22.4,991.8,347.13,1066.24
B5691,4,Unk,281.5,54,18.9,22.6,18.7,52.6,26.2,1020.6,422.62,1378.12
B4479,4,Unk,269.2,49.8,19.2,20.7,17.1,47.6,25.1,956.16,353.97,1194.76
B4611,4,Unk,275.6,50.5,18.9,21.9,18.6,48.2,23.5,954.45,407.34,1132.7
B4627,4,Unk,273,54,19.4,21.5,19,50.5,25.3,1047.6,408.5,1277.65
