Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B1519,3,15000,224.7,35.9,31.1,14.6,12.7,25.1,25.3,1116.5,185.4,635
B1603,3,15000,216.5,35.6,28.1,15.8,12.4,25,23,1000.4,195.9,575
B1604,3,15000,220.3,35.5,29.5,14.9,12.2,24.8,23.2,1047.3,181.8,575.4
B1640,3,15000,219.1,34.2,26.8,15,12.3,24,22.3,916.6,184.5,535.2
B1689,3,15000,234.4,35.1,27.5,16.8,12.7,26.4,24.2,965.3,213.4,638.9
B1771,3,15000,223.3,34.8,28.1,15.3,12.9,26.1,24.5,977.9,197.4,639.5
B1819,3,15000,223.5,37.5,31.4,15.7,12.6,26.8,24,1177.5,197.8,643.2
B1856,3,15000,233.5,35,26.7,16.6,13.5,24.6,23.8,934.5,224.1,585.5
B1939,3,15000,223,36.7,27.8,16.5,12.8,25.9,23.2,1020.3,211.2,600.9
B1958,3,15000,229.3,35.5,28.8,15.1,11.8,23.7,23.4,1022.4,178.2,554.6
B2093,3,15000,227.8,36.3,35.6,16.9,14,25.3,23.9,1292.3,236.6,604.7
B2176,3,15000,232.5,36.2,29.7,16.2,12.5,23.6,24,1075.1,202.5,566.4
B2328,3,15000,236.1,36.2,30.2,17,13.4,26.6,25.6,1093.2,227.8,681
B2382,3,15000,222.2,35.5,29.9,15.7,12.8,23.7,24.4,1061.5,201,578.3
B2430,3,15000,224.9,36.8,29.1,15.6,12.9,26.3,23.3,1070.9,201.2,612.8
B2545,3,15000,229.1,35.6,31.2,16.2,13,23.4,24.5,1110.7,210.6,573.3
B2626,3,15000,230.1,35.3,31.6,16,12.7,24.4,22.7,1115.5,203.2,553.9
B2653,3,15000,228.3,37.1,28.6,16,13.2,24.5,22.7,1061.1,211.2,556.2
B2664,3,15000,213.6,34.3,28.6,16.2,12.4,23.6,21.5,981,200.9,507.4
B3039,3,15000,219.3,33.5,29.2,15,12,24.2,23.5,978.2,180,568.7
B3094,3,15000,226.2,36.1,30,14.4,11.7,24.1,23.5,1083,168.5,566.4
B3110,3,15000,219.8,34.1,29.9,15.4,12.3,24.7,23.2,1019.6,189.4,573
B3119,3,15000,234,36.8,30.9,15.9,13.7,26.5,25.4,1137.1,217.8,673.1
B3145,3,15000,218.6,34.2,28.7,14.7,11.6,24,22.5,981.5,170.5,540
B3270,3,15000,219.4,36.6,28.2,16.1,12.9,25,23.1,1032.1,207.7,577.5
B3276,3,15000,228.6,35,29,16.7,12.6,23.7,23.9,1015,210.4,566.4
B3324,3,15000,208.4,35.2,28.8,14.4,11.7,24.3,22.8,1013.8,168.5,554
B3328,3,15000,218.6,34.2,28.5,14.4,11.4,23.1,22.1,974.7,164.2,510.5
B3334,3,15000,216.2,36.5,31,15.7,12.5,23.2,23.7,1131.5,196.3,549.8
B3561,3,15000,226,36.3,28.9,14.6,12.4,25.4,24.5,1049.1,181,622.3
B3565,3,15000,220.3,34.7,29.2,15.3,12.2,23.2,22.6,1013.2,186.7,524.3
B3643,3,15000,221.7,36,30.2,15.7,12.8,24.2,24.6,1087.2,201,595.3
B3657,3,15000,220.4,35.1,30.2,14.9,12.1,24.5,23.7,1060,180.3,580.7
B3811,3,15000,229.2,37.7,28.3,16.2,13.3,25,24.5,1066.9,215.5,612.5
B3873,3,15000,218.8,31.3,27.3,17.2,12.1,25.4,23.5,854.5,208.1,596.9
B4202,3,15000,224.2,35.5,29.2,15.4,11.9,25.1,23.8,1036.6,183.3,597.4
B4213,3,15000,224.9,36.1,30.7,15.4,13.4,26.4,23,1108.3,206.4,607.2
B4214,3,15000,230.3,39.8,28.8,16.2,12.7,26,25.2,1146.2,205.7,655.2
B4237,3,15000,218.5,37.8,29,16.3,13.6,24.1,24.7,1096.2,221.7,595.3
B4339,3,15000,213.6,32.9,29.1,14.6,11.8,24.9,22.3,957.4,172.3,555.3
B1395,4,Unk,238.8,39,33.8,17.5,13.6,26.7,24.8,1318.2,238,662.2
B4609,4,Unk,219.7,34.3,26,14.6,11.1,23.8,22,891.8,162.1,523.6
B4913,4,Unk,233.4,36.5,31.7,16.7,13.2,24.9,24,1157.1,220.4,597.6
B4982,4,Unk,213.5,35.5,28.5,15.9,12.2,24.2,23,1011.8,194,556.6
B5098,4,Unk,230.7,35.7,31.6,16.8,13.5,25.1,26.2,1128.1,226.8,657.6
B5460,4,Unk,236.5,33.7,29.8,15.4,12.3,24.7,26.5,1004.3,189.4,654.6
B5490,4,Unk,223.5,36.7,29.7,15.8,12.5,24.6,24.6,1090,197.5,605.2
B5709,4,Unk,220,35.5,28,15.4,12.8,25.6,23.4,994,197.1,599
B5946,13,14000,213.7,33.5,25.2,15.4,11.7,23.9,21.1,844.2,180.2,504.3
B5970,13,14000,213.7,35.4,29.8,16.2,12.5,24.7,23.6,1054.9,202.5,582.9
B8251,16,35000,211.2,34.7,27.3,15.5,12.1,24.5,23.2,947.3,187.6,568.4
B6519,60,23000,217,33.6,26.1,14.7,11.9,23.4,23.5,877,174.9,549.9
B6698,60,23000,219.9,34.9,28.2,17.1,12.5,23.9,22.8,984.2,213.8,544.9
B1225,61,12000,236.5,33.7,30.9,16.1,13.3,26.5,25.8,1041.3,214.1,683.7
B7587,61,12000,238.5,38.1,32.6,16.7,13.3,26.8,25.1,1242.1,222.1,672.7
B7720,61,12000,210.2,34.6,29.4,15.5,12.8,23.8,22.8,1017.2,198.4,542.6
B7768,61,12000,221.2,34.4,29.1,15.2,12.6,26,24.2,1001,191.5,629.2
B7832,61,12000,216.8,33.3,27.2,14.1,12,21.9,22.2,905.8,169.2,486.2
B7860,61,12000,225.3,35.3,31.7,15.6,12.2,25.5,24.2,1119,190.3,617.1
B6894,67,12000,232,36.5,30.1,17.4,13.2,25.3,23.8,1098.7,229.7,602.1
B6924,67,12000,223.4,33.8,27.2,16.8,13.2,25.2,22.2,919.4,221.8,559.4
B7133,67,12000,218.9,33.2,28,15.2,11.8,23.3,22.6,929.6,179.4,526.6
B7339,67,12000,221.2,32.4,27,15.5,11.9,25,22.3,874.8,184.5,557.5
B7369,67,12000,219.8,35.3,29.6,15.3,12.3,26.9,23.1,1044.9,188.2,621.4
Bi141/86821,,0,211,33.6,27.5,14.6,11.3,21.8,21.9,924,165,477.4
Bi141/86821,,0,212,33.9,27.2,14.1,11.3,21.1,21.9,922.1,159.3,462.1
101811,,0,211.2,32.4,28.4,13.9,11.1,22.8,21.5,920.2,154.3,490.2
101811,,0,,,,13.4,11.4,22.5,21.6,,152.8,486
SBMNH544,,0,211.4,38.4,27.5,14.3,12,23.5,22,1056,171.6,517
SBMNH544,,0,214.6,38.3,29,14.7,12,23,21,1110.7,176.4,483
SBMNH550,,0,218,35,29.2,15.2,13,25,35,1022,197.6,875
SBMNH550,,0,219,39,31.3,15.3,13,26.4,22.2,1220.7,198.9,586.1
156102,?,0,212.3,34.3,28.2,14.8,12.2,22,21.9,967.3,180.6,481.8
156102,?,0,211.8,32.8,28,14.9,12,23,22.9,918.4,178.8,526.7
151087,?,0,205.3,32.7,27.3,14.3,11.8,21.9,20.7,892.7,168.7,453.3
151087,?,0,207.9,33.1,27.4,14,11.9,21.9,20.6,906.9,166.6,451.1
151086,?,0,210.1,33,28.2,14.4,11.5,23.1,20.9,930.6,165.6,482.8
151086,?,0,209.2,32.8,27.9,14.5,11.5,23.6,21.2,915.1,166.8,500.3
44888,?,0,207.5,32.6,27.7,14.1,10.9,23.3,22,903,153.7,512.6
44888,?,0,206.5,32.5,27.9,14.4,11,23.4,22.2,906.8,158.4,519.5
120363,?,0,202.1,30.4,26.8,13.7,10.5,22,20.7,814.7,143.9,455.4
120363,?,0,202.3,30.2,26.1,13.6,10.5,21.9,21,788.2,142.8,459.9
131373,?,0,208.7,32.7,26.7,14.1,11.3,21.8,20.6,873.1,159.3,449.1
131373,?,0,207.6,32.4,27,14.3,11.3,22.1,20.5,874.8,161.6,453.1
133377,AGE???,10000,,32.5,27.6,,,24.2,21.6,897,,522.7
133377,AGE???,10000,206.9,31.6,26.6,13.9,12.8,20.7,24.6,840.6,177.9,509.2
