Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B1416,1,Unk,124.3,29.7,21.2,14.5,9.8,31.7,19.8,629.6,142.1,627.7
Avg-1,1,Unk,124.3,29.7,21.2,14.5,9.8,31.7,19.8,629.6,142.1,627.7
B1451,2,Unk,126.2,29.8,22.5,14.6,9.6,32.9,22.8,670.5,140.2,750.1
B1496,2,Unk,117.2,29.2,22.5,14.3,9.8,33.2,21,657,140.1,697.2
B1527,3,15000,121.7,28.6,23.5,15.7,9.6,33.2,21.4,672.1,150.7,710.5
B1537,3,15000,118.4,26,21.7,13.8,9.4,29.6,19.5,564.2,129.7,577.2
B1618,3,15000,120.7,29.1,22.8,15.8,10.1,33.2,21.4,663.5,159.6,710.5
B1627,3,15000,120.5,28.3,23.2,15,9.4,31.6,20,656.6,141,632
B1646,3,15000,126.2,29.3,23.6,15.7,9.8,32.9,21.7,691.5,153.9,713.9
B1779,3,15000,118.6,26.9,22.4,14.9,8.5,27.9,17.6,602.6,126.7,491
B1789,3,15000,117.5,26.5,22.9,15.2,9.7,30.3,20.1,606.9,147.4,609
B1822,3,15000,112.9,27.7,20.3,15.4,9.2,31.5,20.1,562.3,141.7,633.2
B1829,3,15000,120,27,21.8,14.7,10.5,32.4,20.7,588.6,154.4,670.7
B1832,3,15000,125.7,28.9,22.4,15.5,9,32,21.7,647.4,139.5,694.4
B1838,3,15000,113.1,27.1,20.4,15.5,9.3,31.7,20.4,552.8,144.2,646.7
B1855,3,15000,112.5,25.8,21.7,13.9,9.3,30.6,19.5,559.9,129.3,596.7
B1909,3,15000,114.8,27.4,22,14.9,9.2,30.9,16.9,602.8,137.1,522.2
B1964,3,15000,119.9,26.8,21.9,13.9,8.2,29.8,21.1,586.9,114,628.8
B1992,3,15000,113.3,28,21.6,13.9,8.5,30.4,19.1,604.8,118.2,580.6
B2003,3,15000,116.6,27,22.4,13.9,9,30.3,19.3,604.8,125.1,584.8
B2018,3,15000,124.3,29,22.3,14.9,9.8,33.4,20.5,646.7,146,684.7
B2040,3,15000,122.1,28.5,22.1,15.7,9.8,32.9,21.6,629.9,153.9,710.6
B2066,3,15000,116.2,28.9,22.8,14.5,9.3,31.5,21.6,658.9,134.9,680.4
B2067,3,15000,121.6,28.7,20.7,15.3,9.4,32.1,21.9,594.1,143.8,703
B2069,3,15000,118.7,25.9,21.6,14.2,9.3,30.5,21.1,559.4,132.1,643.6
B2117,3,15000,122.2,27.4,22.5,16.6,10.6,32.9,19.7,616.5,176,648.1
B2141,3,15000,116.7,28.3,23.1,15.6,9.7,29.8,25.9,653.7,151.3,771.8
B2143,3,15000,124.1,28.2,22.2,15,10.3,32.8,20.7,626,154.5,679
B2150,3,15000,114.8,27.8,20.4,15.3,9.5,31.1,19.9,567.1,145.4,618.9
B2154,3,15000,118,29,22.6,15,9.5,31.4,21.3,655.4,142.5,668.8
B2177,3,15000,120.2,28.8,23.4,15.1,9.2,32.5,22.5,673.9,138.9,731.3
B2178,3,15000,120.5,28.1,20.1,16,9.9,32.5,22.3,564.8,158.4,724.8
B2209,3,15000,116.8,26.5,21.1,15.1,8.8,30,19.8,559.2,132.9,594
B2213,3,15000,121.8,27.8,22.4,15.7,10.5,32.4,19.7,622.7,164.9,638.3
B2215,3,15000,122.2,28.8,22.7,14.6,9.6,33,21.3,653.8,140.2,702.9
B2304,3,15000,114.7,27.3,21.8,13.8,9.1,31.1,19,595.1,125.6,590.9
B2354,3,15000,116.7,27.5,21.6,14.6,9,30.4,20.6,594,131.4,626.2
B2414,3,15000,119.3,28.1,21.2,14.4,9.2,30.4,20.2,595.7,132.5,614.1
B2415,3,15000,117.9,27.1,21.6,14.1,9,28.6,19,585.4,126.9,543.4
B2422,3,15000,121.6,29.5,23.3,14,9.2,32.3,19.3,687.4,128.8,623.4
B2423,3,15000,120.1,27.5,21.6,13.8,8.6,30.8,19.9,594,118.7,612.9
B2448,3,15000,119.8,29.6,22,16.5,10,31.5,22,651.2,165,693
B2451,3,15000,119.3,21.9,21.2,15.1,9.1,30.2,19.6,464.3,137.4,591.9
B2532,3,15000,120.9,27.3,22.4,16.2,9.7,32,20.7,611.5,157.1,662.4
B2533,3,15000,121.6,29.1,22.3,15.6,10.4,33.9,21.8,648.9,162.2,739
B2575,3,15000,128.3,29.5,24.6,14.6,10.2,34,21.9,725.7,148.9,744.6
