SPECIMEN,PIT #,,DV LENGTH,TRANS W,DEPTH
,,,,,
1710R15,67,11,125,104,66
1710R35,67,11,126,113,63
1710R40,67,11,117,111,63
1710L29,67,11,121,111,61
1710L24,61,11,113,104,59
1710L21,61,11,121,111,66
1710L30,61,11,140,109,62
1710L18,4,14,134,106,53
1710R33,4,14,114,104,59
1710L17,4,14,111,106,56
1710R21,4,14,126,112,58
1710R41,4,14,113,98,61
1710R20,4,14,128,118,62
1710R8,4,14,118,101,56
1710L22,4,14,127,102,59
1710R36,4,14,115,105,55
1710R33,4,14,119,103,56
1710L10,4,14,137,119,58
1710L20,4,14,115,106,54
1710L10,4,14,110,107,53
1710R5,4,14,112,105,62
1710R26,4,14,130,108,60
1710R24,4,14,101,100,59
1710R38,4,14,111,94,63
1710R28,13,16,115,106,52
1710R3,13,16,104,106,63
1710R13,13,16,115,104,62
1710R9,13,16,116,100,56
1710L1,13,16,117,107,55
1710L2,13,16,120,100,54
1710L3,13,16,108,102,53
1710R11,13,16,119,103,53
1710R25,3,18,124,115,66
1710R4,3,18,114,101,65
1710R39,3,18,127,106,57
1710R22,3,18,113,99,56
1710R31,3,18,134,109,73
1710L20,3,18,134,112,60
1710R1,3,18,104,93,54
1710L32,3,18,91,85,53
1710L4,3,18,126,106,56
1710R30,3,18,122,102,56
1710R23,3,18,121,107,60
1710L7,3,18,128,119,61
1710L6,3,18,129,117,59
1710R19,60,21,134,99,61
1710L33,60,21,113,99,55
1710L11,77,35,108,114,58
1710L8,77,35,122,113,55
1710L14,77,35,119,101,57
UNNUMBERED ,?,,114,103,59
LAHS,,,119,101,65
UNNUMBERED ,?,,112,104,57
UNNUMBERED ,B,,116,97,56
UNNUMBERED ,?,,110,99,61
,,,,,
MEAN,,,118.7636364,105.2,58.76363636
STD. DEV.,,,9.535438067,6.642734823,4.281586917
CV,,,8.028920601,6.314386714,7.286116351
