sp,measurement,N,GRW,URW,Stasis,V7
aquilaTMT,LENGTH,260,0.034,0.14,0.827,3
aquilaTMT,PROX.W,260,0.032,0.172,0.796,3
aquilaTMT,MID.W,260,0.076,0.309,0.615,3
aquilaTMT,MID.D,260,0.126,0.254,0.62,3
aquilaTMT,DIST.W,260,0.045,0.183,0.772,3
bisonAstragali,Length,92,0.024,0.637,0.339,2
bisonAstragali,Width,92,0.023,0.633,0.345,2
bisonAstragali,Depth,92,0.02,0.57,0.409,2
bisonCalcanea,Tuber,65,0,1,0,2
bisonHumeri,DistW,40,0.002,0.987,0.011,2
bisonMetacarpal,Max.Length,114,0.008,0.055,0.937,3
bisonMetacarpal,Condyle.Width,114,0.021,0.144,0.835,3
bisonMetacarpal,Facet.Width,112,0.017,0.108,0.875,3
bisonMetacarpal,Min.Depth,114,0.01,0.061,0.93,3
bisonMetatarsal,Max.Length,91,0.046,0.549,0.405,2
bisonMetatarsal,Condyle.Width,91,0.041,0.492,0.468,2
bisonMetatarsal,Facet.Width,91,0.037,0.434,0.529,3
bisonMetatarsal,Min.Depth,91,0.039,0.467,0.494,3
bisonPatellae,Length,68,0.003,0.987,0.01,2
bisonPatellae,Width,68,0.003,0.988,0.009,2
bisonPatellae,Depth,68,0.003,0.988,0.009,2
camelopsAstragalus,length,64,0.029,0.8,0.171,2
camelopsAstragalus,width,64,0.028,0.794,0.178,2
camelopsAstragalus,depth,64,0.028,0.79,0.181,2
camelopsCalcaneus,length,34,0.003,0.985,0.012,2
camelopsCalcaneus,width,42,0.034,0.796,0.171,2
camelopsCalcaneus,depth,42,0.034,0.727,0.239,2
camelopsCalcaneus,length2,39,0.026,0.741,0.233,2
camelopsCuboid,length,33,0.003,0.988,0.009,2
camelopsCuboid,width,33,0.003,0.982,0.015,2
camelopsCuboid,depth,33,0.002,0.981,0.016,2
camelopsPatellae,LENGTH,26,0,1,0,2
camelopsPatellae,WIDTH,26,0,1,0,2
camelopsPatellae,DEPTH,26,0,1,0,2
canisAstragali,Max.length..prx.dst.,304,0.028,0.574,0.398,2
canisAstragali,Prx.width,304,0.023,0.522,0.455,2
canisAstragali,Dst.width,304,0.024,0.342,0.634,3
canisAstragali,Depth,304,0.015,0.407,0.579,3
canisFemora,LENGTH,228,0.003,0.946,0.051,2
canisFemora,DST.W,228,0.003,0.93,0.068,2
canisFemora,DST.D,228,0.002,0.969,0.028,2
canisFemora,MED.W,228,0.003,0.981,0.016,2
canisFemora,MED.D,228,0.002,0.976,0.021,2
canisFemora,PRX.W,228,0.003,0.966,0.031,2
canisFemora,PRX.D,228,0.002,0.975,0.023,2
canisHumeri,DST.PRX.L,247,0.006,0.958,0.036,2
canisHumeri,DST.W,247,0.003,0.986,0.011,2
canisHumeri,DST.D,247,0.003,0.981,0.016,2
canisHumeri,MED.W,247,0.002,0.987,0.011,2
canisHumeri,MED.D,247,0.003,0.985,0.012,2
