PIT,LENGTH,MIDSHW,MIDSHD,DISTW
67,101,19,15,24
67,98,19,16,26
67,88,16,15,22
67,107,18,15,24
67,106,21,16,25
67,100,17,14,22
67,89,18,14,21
67,90,17,14,19
67,97,17,14,22
67,85,17,13,21
67,91,18,14,23
67,101,19,16,21
67,106,22,16,26
67,108,19,17,25
67,96,18,14,23
67,97,18,14,22
67,99,18,16,22
67,98,18,15,23
67,93,18,16,23
67,99,17,15,23
67,99,19,16,23
67,98,18,14,25
67,96,18,14,23
67,100,17,14,23
67,99,17,15,24
67,99,16,14,23
67,97,18,15,25
67,90,19,14,23
67,98,17,14,24
67,97,17,14,23
67,93,17,13,23
67,96,18,14,23
67,92,17,14,22
67,95,17,15,24
67,99,18,16,25
67,99,19,14,23
67,101,19,15,23
67,92,18,15,21
67,90,18,13,22
67,99,19,15,25
67,101,16,14,24
67,96,18,16,23
67,90,17,14,22
67,90,16,13,22
67,97,18,15,23
67,102,17,15,24
67,92,17,15,23
67,90,17,13,23
67,91,17,15,24
67,94,17,13,22
67,98,18,15,24
67,85,15,13,22
67,95,18,15,23
67,96,19,15,23
67,91,18,13,20
67,93,17,16,23
67,101,17,15,24
67,99,20,15,25
67,98,18,15,23
9,101,18,16,20
9,97,18,14,23
9,97,19,14,22
9,97,19,14,25
13,95,17,14,24
13,97,19,14,25
13,101,18,16,24
13,99,18,13,25
13,97,19,15,24
13,93,17,14,23
13,99,17,14,24
13,101,17,14,23
13,100,18,14,25
13,102,18,15,24
13,99,14,13,21
13,98,16,14,22
13,93,16,12,22
13,97,18,16,25
13,91,19,14,22
13,96,15,12,22
13,102,19,16,25
13,98,18,15,23
13,97,17,15,23
13,101,18,14,23
13,93,16,13,21
13,97,16,13,22
13,94,17,13,23
13,95,15,13,20
13,91,16,13,22
13,93,18,16,23
13,93,15,15,23
13,98,17,14,22
13,94,17,15,23
13,99,18,16,24
3,94,17,14,24
3,92,19,14,25
3,93,17,14,21
3,93,18,15,22
3,100,18,15,25
3,95,17,14,24
3,93,19,16,25
3,99,17,14,24
3,90,17,16,22
3,101,19,16,24
3,103,19,15,27
3,89,16,14,22
3,100,18,15,24
3,94,18,16,23
3,91,16,14,22
3,105,17,15,22
3,107,19,17,27
3,94,19,15,23
3,94,18,15,23
3,95,19,16,25
3,100,19,16,23
3,99,20,16,24
3,103,19,15,25
3,99,19,17,25
3,98,19,16,24
3,96,19,15,26
3,104,19,16,23
3,99,18,16,22
3,105,20,17,25
3,97,18,16,25
3,96,16,16,21
3,101,18,15,25
3,95,18,14,22
3,93,18,15,24
3,93,17,14,23
3,94,17,15,23
3,102,18,15,24
3,105,19,16,27
3,96,18,16,23
3,94,19,16,22
3,88,16,13,22
3,93,15,13,21
3,95,17,15,23
3,105,18,15,22
3,94,18,15,23
3,96,17,15,24
3,95,17,15,25
3,92,18,13,20
3,95,18,14,22
3,97,20,15,24
3,100,18,15,23
3,95,18,15,24
3,102,18,16,26
3,100,19,15,21
3,92,16,14,22
3,95,18,15,23
3,96,16,14,22
3,98,18,14,23
3,94,17,13,21
3,98,18,16,24
3,94,19,14,23
4,99,20,15,24
4,83,16,14,20
4,88,17,15,21
4,96,19,16,24
4,91,18,15,24
4,93,18,15,25
4,94,18,14,21
60,97,16,13,23
60,97,17,14,23
60,100,18,15,24
60,84,18,16,24
60,89,17,15,23
60,87,15,13,22
60,88,16,14,20
60,90,17,14,23
60,93,18,15,23
60,92,19,15,24
60,100,20,16,24
60,89,17,13,23
60,95,19,16,24
60,99,19,16,24
60,90,17,15,23
60,98,19,16,25
60,98,18,16,25
60,89,17,13,23
60,95,17,15,24
60,93,18,14,23
60,85,16,13,21
60,88,17,15,22
60,87,16,14,20
77,93,17,15,25
77,91,17,14,24
77,95,19,13,25
77,97,18,16,25
77,95,16,14,22
77,92,16,13,21
77,94,16,13,23
77,103,20,16,24
77,95,18,14,23
77,90,17,14,23
77,93,17,14,23
77,91,16,13,22
77,93,18,12,22
77,99,17,14,22
77,87,18,14,23
77,94,16,13,24
77,85,16,12,22
77,91,18,13,25
77,85,15,12,22
77,92,18,13,25
77,90,17,14,23
77,89,16,14,23
77,86,18,13,23
77,84,17,14,23
77,90,17,12,21
77,95,18,14,24
77,88,16,13,22
77,93,17,12,23
77,95,17,14,22
77,95,18,13,25
77,96,17,16,24
77,93,17,13,22
77,91,17,13,22
77,98,19,15,25
77,87,17,14,22
77,92,18,13,21
77,96,18,16,24
77,96,17,13,23
77,90,18,16,24
77,93,17,14,24
77,91,16,14,24
77,96,19,14,24
77,96,18,16,22
77,94,19,13,26
77,91,17,12,20
77,92,18,14,23
77,99,18,16,25
4,94,18,15,22
4,99,17,15,23
4,96,18,16,23
4,97,17,15,23
4,94,18,15,24
4,103,18,14,25
4,99,18,15,23
4,92,16,15,24
4,93,16,15,22
4,86,16,14,22
4,89,15,13,22
4,90,18,15,23
4,93,16,13,22
4,96,17,14,22
4,88,15,13,22
4,86,15,14,21
4,90,16,14,22
4,91,17,14,23
4,91,18,14,23
4,85,16,14,21
4,94,18,14,22
4,83,14,11,19
4,91,17,14,22
4,104,18,16,23
4,88,18,16,24
4,88,17,13,22
4,92,17,15,22
4,96,18,15,22
4,88,17,15,22
4,90,16,14,23
4,89,17,14,22
4,95,18,15,25
4,101,18,16,26
4,102,19,15,23
4,104,20,17,26
4,95,18,15,25
4,94,18,15,24
4,100,17,16,25
4,98,18,16,25
4,95,17,14,24
4,96,18,16,23
4,95,18,15,25
