PIT #,DST-PRX L,DST W,DST D,MED W,MED D,PRX W,PRX D
3,206,49,20,18,24,47,31
3,198,47,19,19,22,46,32
3,212,51,21,19,25,49,35
3,200,46,19,17,24,41,29
3,209,51,21,18,23,47,33
3,197,48,20,18,23,45,31
3,214,51,20,20,26,50,34
3,210,51,22,18,24,47,35
3,210,54,20,19,25,50,35
3,219,53,22,19,25,49,35
3,193,46,18,18,23,43,31
3,203,53,22,19,24,49,34
3,208,50,21,19,24,48,33
3,204,51,20,19,24,48,32
3,204,52,20,20,25,48,33
3,197,48,19,18,24,44,33
3,213,53,20,19,24,48,35
3,195,49,20,19,25,47,34
3,203,51,20,19,24,46,34
3,196,46,18,16,22,43,31
3,216,54,22,19,24,51,37
3,207,53,21,20,26,50,44
3,201,48,20,17,22,44,32
3,205,54,21,21,26,49,36
3,213,50,20,20,24,47,34
13,199,50,20,19,24,45,35
13,195,49,19,17,22,45,33
13,192,47,20,18,23,45,34
13,207,50,21,17,26,47,33
13,217,56,22,20,27,50,36
13,210,52,21,18,25,49,36
13,196,48,20,17,22,44,31
13,204,49,20,20,24,48,35
13,187,47,19,16,21,43,30
13,200,52,21,18,25,47,33
13,195,46,19,18,22,44,32
13,211,52,21,18,24,48,33
13,189,45,19,16,20,43,31
13,194,48,20,18,23,44,31
13,196,47,20,16,22,46,32
13,198,49,19,17,22,47,33
13,209,44,19,16,23,41,30
13,196,50,20,18,23,46,34
13,191,46,19,18,23,44,32
13,206,49,21,18,23,48,33
13,204,53,21,20,25,49,35
13,203,50,20,19,24,46,34
13,211,51,21,18,24,48,34
13,216,53,22,20,25,50,35
13,194,48,19,18,23,48,34
60,205,50,20,19,22,47,35
60,206,48,21,16,23,46,33
60,210,49,19,19,25,48,34
60,218,53,22,18,24,47,33
60,209,48,20,19,22,47,35
60,211,49,21,18,24,47,36
60,197,50,21,19,25,48,32
60,197,48,20,18,22,47,32
60,223,55,22,19,24,50,36
60,207,49,20,18,23,45,34
13,182,44,18,16,20,42,30
13,199,50,19,16,23,46,32
13,200,53,20,18,24,44,33
13,200,49,19,18,23,46,32
13,212,50,21,18,23,47,33
13,206,52,22,17,25,48,34
13,204,49,20,18,24,46,35
13,196,49,20,17,21,45,31
13,191,48,20,17,23,44,33
13,194,50,21,18,24,44,35
13,199,48,21,17,23,46,34
13,217,53,21,18,26,52,36
13,200,47,20,18,24,45,33
13,210,53,21,19,24,46,34
13,206,50,20,19,24,45,33
13,199,51,20,18,23,47,34
13,198,48,20,17,22,46,32
13,213,50,21,19,26,51,36
