Age,Length,Width,Depth
11000,29.2,40,23.2
11000,28.6,50,29.1
11000,33,45.6,22.3
11000,26.2,47.4,27
11000,27.3,44.5,25
11000,26,39.2,22
11000,30,40.2,23.6
11000,30.8,48.3,27.7
11000,25,47.1,28.5
11000,29,41,25
11000,29,39,24.8
11000,29,44.6,28.4
11000,29,46.3,28.5
11000,24,48,27.2
11000,29.2,48,28.3
11000,31,41,25.3
11000,30.2,43.2,25.7
11000,30.8,43.7,24.1
11000,28.6,43.4,26
11000,29,41.3,26
11000,28,40.3,24.6
11000,29.2,40.7,24.5
11000,27.2,44.4,29.3
11000,26.2,42.6,27
11000,29,48,28
11000,30.6,44.7,29.2
11000,31.3,45.5,28.6
11000,27.6,54.3,33
11000,32,38.5,26.2
11000,28.1,42.3,27.3
11000,28,42,26
11000,32.2,50.5,30
14000,24.8,47.6,30.8
14000,28.4,41.6,25
16000,28.5,50.9,29
16000,27.2,51.5,29
16000,28.3,46.7,29
16000,25.3,45.4,27.1
16000,25.7,50,29
16000,24.1,40,24
16000,26,42.6,25.8
16000,26,48.8,29.2
16000,24.6,50,31
16000,24.5,45.7,30.2
16000,29.3,47,30.8
16000,27,48,28.2
16000,28,46,29.2
16000,27.1,45,28.6
16000,25.8,46.6,29
16000,28.2,43.7,28
16000,29.2,47,29.2
16000,29.4,43.6,27.2
16000,27.8,47.2,29.4
16000,30.2,41.9,26.2
21000,22,46.8,27.8
21000,23.6,43.9,29
21000,27.7,50.1,30.2
21000,28.5,48.4,30.6
21000,25,47.2,31.3
35000,23.2,47.1,27.6
35000,29.1,47,32
35000,22.3,42.4,28.1
35000,27,46.1,28
35000,25,51,32.2
