Pit,Age,L1,L2,L3,L4,L5,L6
3,18,58,67,39,31,42,32
3,18,57,70,35,32,44,32
3,18,53,65,38,27,42,29
3,18,56,67,36,31,44,32
3,18,52,63,37,29,41,29
3,18,56,64,38,32,43,33
3,18,51,64,37,30,41,29
3,18,54,70,41,31,47,34
3,18,52,67,36,30,42,39
3,18,51,64,36,28,42,28
3,18,56,66,38,28,41,31
3,18,56,70,39,32,44,32
3,18,58,67,38,26,43,31
3,18,56,63,39,32,43,33
3,18,53,65,37,29,43,29
3,18,48,62,35,25,39,28
3,18,52,65,36,30,42,29
3,18,53,63,36,27,42,29
3,18,56,66,37,27,42,30
3,18,55,69,36,30,42,30
3,18,52,64,36,26,39,28
3,18,60,70,41,31,45,33
3,18,56,68,36,29,43,30
13,16,55,65,38,27,41,29
13,16,52,66,38,28,41,28
13,16,52,64,37,26,43,30
16,16,56,69,39,32,44,31
61,11,56,68,39,32,42,31
61,11,51,59,35,30,38,27
61,11,56,68,38,29,41,31
61,11,58,67,37,29,44,32
61,11,59,70,40,32,45,32
61,11,59,71,40,34,43,31
61,11,56,67,39,31,43,30
61,11,54,66,38,27,40,31
67,11,58,64,39,31,43,33
67,11,61,71,41,32,46,32
67,11,53,61,36,28,38,29
67,11,52,66,37,26,39,30
67,11,58,67,39,31,45,32
67,11,54,65,37,30,43,32
67,11,57,68,38,29,41,30
67,11,51,61,34,25,38,26
67,11,59,70,40,34,44,31
67,11,61,72,41,33,47,33
67,11,56,67,39,39,44,32
67,11,52,61,35,24,39,30
67,11,55,67,38,27,42,30
67,11,47,57,34,23,36,27
67,11,53,61,36,29,39,28
67,11,42,52,29,21,35,25
67,11,50,61,34,25,39,26
67,11,60,69,42,32,47,32
77,35,48,59,33,24,40,27
77,35,55,70,38,31,44,31
77,35,58,70,40,30,44,33
77,35,50,59,34,27,39,28
77,35,45,55,33,25,37,27
77,35,50,61,33,27,39,26
