Pit,Length,Width,Depth
81,29.2,40,23.2
81,28.6,50,29.1
81,33,45.6,22.3
81,26.2,47.4,27
81,27.3,44.5,25
81,26,39.2,22
81,30,40.2,23.6
81,30.8,48.3,27.7
81,25,47.1,28.5
81,29,41,25
81,29,39,24.8
81,29,44.6,28.4
81,29,46.3,28.5
81,24,48,27.2
81,29.2,48,28.3
81,31,41,25.3
81,30.2,43.2,25.7
81,30.8,43.7,24.1
81,28.6,43.4,26
81,29,41.3,26
81,28,40.3,24.6
81,29.2,40.7,24.5
81,27.2,44.4,29.3
81,26.2,42.6,27
81,29,48,28
81,30.6,44.7,29.2
81,31.3,45.5,28.6
81,27.6,54.3,33
81,32,38.5,26.2
81,28.1,42.3,27.3
81,28,42,26
81,32.2,50.5,30
4,24.8,47.6,30.8
4,28.4,41.6,25
13,28.5,50.9,29
13,27.2,51.5,29
13,28.3,46.7,29
13,25.3,45.4,27.1
13,25.7,50,29
13,24.1,40,24
13,26,42.6,25.8
13,26,48.8,29.2
13,24.6,50,31
13,24.5,45.7,30.2
13,29.3,47,30.8
13,27,48,28.2
13,28,46,29.2
13,27.1,45,28.6
13,25.8,46.6,29
13,28.2,43.7,28
13,29.2,47,29.2
13,29.4,43.6,27.2
13,27.8,47.2,29.4
13,30.2,41.9,26.2
60,22,46.8,27.8
60,23.6,43.9,29
60,27.7,50.1,30.2
60,28.5,48.4,30.6
60,25,47.2,31.3
77,23.2,47.1,27.6
77,29.1,47,32
77,22.3,42.4,28.1
77,27,46.1,28
77,25,51,32.2
