Cat. #,Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length,,,
K 3713,3,95,50,38,35,83,77,380,,*NOTE:,"Don't use pits 2, 10, 16, and 91!!!"
K 3358,3,103,49,36,33,85,78,392,,,
K 3745,3,104,50,38,33,79,71,390,,,
K 3744,3,100,53,43,36,83,80,378,,,
K 3708,3,94,49,35,32,77,70,359,,,
K 3709,3,97,51,37,32,77,71,377,,,
K 3741,3,96,48,33,31,80,76,368,,,
K 3704,3,94,51,37,34,82,76,370,,,
K 3746,3,96,46,33,32,77,74,374,,,
K 3710,3,97,51,38,33,87,84,381,,,
K 3740,3,96,48,36,34,80,72,362,,,
K 3720,3,105,55,39,37,83,76,381,,,
K 3797,3,89,47,32,30,75,69,340,,,
K 3779,3,103,51,34,35,80,74,395,,,
K 3816,3,92,48,36,31,76,71,340,,,
K 3814,3,102,55,40,39,86,76,372,,,
K 3802,3,98,49,37,32,82,76,366,,,
K 3812,3,87,46,35,31,75,67,349,,,
K 3815,3,95,50,35,31,78,74,351,,,
K 3725,3,96,50,35,33,76,73,364,,,
K 3793,3,94,44,34,31,76,69,372,,,
K 3728,3,101,52,38,34,82,76,371,,,
K 3792,3,97,43,36,32,79,70,352,,,
K 3749,3,90,48,36,32,78,74,375,,,
K 3743,3,93,50,36,30,81,69,363,,,
K 3732,3,100,49,36,34,80,77,385,,,
K 3762,3,99,52,39,35,83,78,388,,,
K 3777,3,85,44,32,29,71,69,330,,,
K 3775,3,97,54,37,35,81,74,389,,,
K 3734,3,98,51,38,35,80,72,380,,,
K 3789,3,103,47,38,33,78,76,382,,,
K 3785,3,89,47,33,29,71,75,348,,,
K 3771,3,97,49,35,32,80,69,372,,,
K 3738,3,98,52,38,35,83,78,376,,,
K 3781,3,92,48,34,30,75,73,362,,,
K 3733,3,100,46,38,33,81,74,368,,,
K 3692,3,90,50,36,32,77,71,372,,,
K 3780,3,100,53,37,33,84,79,380,,,
K 3751,3,87,45,32,30,71,69,339,,,
K 3763,3,91,48,33,31,81,75,358,,,
K 3757,3,92,51,37,34,83,80,367,,,
K 3760,3,93,50,35,32,79,70,378,,,
K 3378,3,81,44,32,30,74,70,338,,,
K 3387,3,95,50,36,33,79,73,354,,,
K 3434,3,101,51,37,33,82,79,400,,,
K 3437,3,98,50,38,34,84,76,378,,,
K 3332,3,94,48,34,32,78,74,370,,,
K 3335,3,95,49,41,34,78,73,366,,,
K 3443,3,96,45,36,32,79,76,376,,,
K 3397,3,91,48,35,31,75,70,360,,,
,,,,,,,,,,,
K 3677,4,93,51,34,30,78,76,357,,,
K 3672,4,95,49,36,32,76,73,356,,,
K 3651,4,95,48,34,32,77,75,350,,,
K 3682,4,94,51,34,31,75,70,357,,,
K 3683,4,90,48,35,30,76,72,339,,,
K 3301,4,94,52,34,30,80,75,367,,,
K 3654,4,91,50,35,30,76,73,337,,,
K 3668,4,94,46,36,31,78,75,350,,,
K 3653,4,95,50,37,31,76,77,357,,,
K 3652,4,91,50,34,32,72,76,363,,,
K 3669,4,92,49,34,31,80,73,345,,,
K 3670,4,89,48,37,32,74,73,347,,,
K 3680,4,91,46,34,32,77,72,367,,,
K 3679,4,92,44,35,28,74,74,367,,,
K 3676,4,84,42,30,27,67,66,325,,,
K 3678,4,96,49,38,32,78,76,350,,,
K 3657,4,86,48,31,28,74,69,324,,,
K 3271,4,88,46,33,28,70,67,328,,,
K 3656,4,90,48,34,30,70,69,349,,,
K 3824,4,82,48,33,29,72,65,323,,,
K 3663,4,99,50,35,33,80,70,360,,,
K 3659,4,98,53,38,33,85,80,361,,,
K 3667,4,90,46,38,32,76,78,360,,,
K 3674,4,85,45,31,28,70,66,349,,,* was labeled as K 3673
K 3640,4,89,50,35,34,77,72,367,,,
K 3647,4,92,47,37,33,76,77,357,,,
K 3666,4,94,50,38,33,77,73,352,,,
K 3641,4,93,53,37,31,79,77,338,,,
