Cat. #,Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length
K 970,2,82,66,39,29,98,56,317
K 972,2,99,70,47,37,102,53,339
K 974,2,100,77,57,40,100,60,335
K 971,2,90,75,52,40,102,48,325
K 967,2,102,80,54,42,117,53,340
K 968,2,109,80,57,43,110,68,340
K 973,2,88,68,50,40,100,58,310
K 969,2,93,75,52,45,103,58,315
K 690,2,104,76,51,45,102,61,345
K 689,2,100,74,51,44,106,62,340
K 688,2,91,76,55,50,110,63,330
K 691,2,104,71,55,48,110,63,345
K 686,2,98,72,55,43,110,60,330
K 687,2,95,78,62,47,116,67,355
K 878,3,98,73,56,37,107,53,330
K 963,3,97,76,50,40,104,51,340
K 874,3,96,77,54,37,106,59,345
K 873,3,88,70,59,40,101,58,320
K 869,3,105,75,56,40,107,61,350
K 865,3,95,75,58,44,106,63,340
K 854,3,100,75,58,40,106,69,340
K 862,3,101,82,56,47,106,64,370
K 856,3,107,80,56,38,106,60,340
K 855,3,94,77,51,39,105,64,335
K 953,3,106,80,53,38,106,63,350
K 886,3,95,79,54,38,106,61,325
K 870,3,97,72,59,42,111,64,325
K 858,3,97,82,54,40,113,63,330
K 952,3,90,73,48,37,99,57,312
K 847,3,97,85,50,43,110,67,330
K 947,3,100,75,51,40,100,57,325
K 859,3,104,75,48,40,104,63,350
K 857,3,97,75,47,36,101,60,330
K 863,3,94,73,48,36,102,59,325
K 860,3,97,77,49,40,111,62,340
K 936,3,98,75,45,35,111,64,343
K 862,3,97,76,53,37,112,63,337
K 954,3,89,80,48,34,103,59,344
K 844,3,95,78,44,35,99,59,328
K 867,3,92,74,46,36,104,60,322
K 926,3,100,81,45,36,105,57,324
K 892,3,99,74,49,37,106,63,328
K 846,3,91,66,39,33,92,55,319
K 880,3,84,65,42,35,98,55,318
K 921,3,90,81,44,37,108,62,334
K 890,3,90,74,50,37,102,61,325
K 920,3,95,77,57,42,113,66,339
K 939,3,111,80,55,39,117,65,350
K 960,3,70,72,43,31,100,58,332
K 917,3,78,73,46,36,102,57,320
K 909,3,91,77,54,37,109,63,334
K 925,3,85,92,52,39,113,66,355
K 924,3,86,77,58,40,116,69,374
K 898,3,82,73,48,37,103,61,332
K 930,3,83,65,40,31,94,57,308
K 905,3,82,72,49,40,107,60,333
K 849,3,97,82,52,45,126,74,360
K 853,3,92,76,53,39,113,66,330
K 895,3,79,72,47,37,105,61,327
K 904,3,80,75,51,36,111,63,353
K 932,3,84,76,44,39,112,62,365
K 891,3,84,73,48,34,106,60,344
K 866,3,78,73,50,36,98,56,340
K 912,3,79,76,41,48,110,59,327
K 884,3,80,77,38,44,104,58,337
K 923,3,81,75,38,49,108,64,331
K 881,3,76,74,37,44,99,58,317
K 896,3,83,82,37,51,104,58,336
K 929,3,77,76,36,50,98,55,336
K 900,3,73,71,37,49,97,58,314
K 876,3,76,74,37,48,100,61,328
K 848,3,82,77,36,46,100,60,341
K 907,3,80,79,44,53,106,60,326
K 879,3,75,73,36,44,100,59,319
K 893,3,76,74,37,48,98,58,322
K 956,3,75,73,42,50,102,61,325
K 957,3,84,85,42,57,113,64,340
K 934,3,84,82,38,50,110,65,334
K 959,3,73,72,36,44,98,59,320
K 885,3,80,79,43,54,115,70,361
K 958,3,85,80,39,54,112,60,352
K 940,3,76,74,37,51,104,58,327
K 914,3,79,78,40,49,106,58,330
K 871,3,78,77,34,47,105,58,317
K 868,3,80,78,40,50,109,62,341
K 916,3,79,78,40,53,109,62,344
K 877,3,78,81,39,52,110,63,345
K 850,3,78,80,38,54,99,59,317
K 951,3,86,75,36,51,104,58,310
K 948,3,77,68,35,48,98,54,325
K 941,3,87,71,36,51,104,58,327
K 843,3,83,73,38,49,106,64,332
K 966,3,83,75,40,54,106,64,337
K 927,3,88,85,42,55,120,69,364
K 875,3,87,79,38,55,116,65,366
K 902,3,84,80,38,53,115,68,370
K 918,3,79,72,41,56,115,58,343
K 933,3,81,72,39,52,108,60,344
K 937,3,82,70,40,51,100,61,334
K 942,3,87,75,39,50,109,62,347
K 964,3,81,72,41,52,109,65,357
K 944,3,82,65,38,47,97,56,317
K 888,3,81,75,42,52,112,60,354
K 899,3,75,72,37,47,102,60,330
K 935,3,90,72,40,51,110,59,337
K 845,3,75,67,35,44,100,51,317
K 949,3,76,64,33,46,100,55,312
K 883,3,85,72,38,55,106,62,343
K 872,3,85,70,39,54,102,58,329
K 908,3,86,74,40,53,101,60,331
K 861,3,95,80,47,58,119,68,334
K 842,3,84,70,42,50,106,61,342
K 919,3,78,69,41,51,104,61,338
K 962,3,86,71,38,53,107,62,349
K 817,4,83,77,36,50,104,60,333
K 807,4,80,74,38,50,104,59,349
K 803,4,90,72,43,48,104,61,344
K 816,4,84,71,40,50,106,57,344
K 831,4,74,71,38,48,102,55,337
K 841,4,77,74,38,51,110,58,354
K 810,4,80,75,42,50,105,59,329
K 811,4,72,65,38,45,91,53,305
K 812,4,79,75,39,47,105,60,339
K 837,4,75,70,43,48,107,58,342
K 835,4,77,69,41,53,103,59,320
K 821,4,72,69,33,44,102,55,345
K 814,4,68,65,36,47,92,53,317
K 982,4,72,71,36,51,105,56,325
K 826,4,72,68,37,48,97,55,323
K 833,4,72,70,36,48,99,52,315
K 834,4,97,77,47,61,116,62,360
K 822,4,88,72,37,52,110,56,341
K 836,4,84,75,39,53,116,65,350
K 818,4,77,69,36,44,100,55,319
K 808,4,77,72,41,50,104,60,333
K 838,4,80,75,42,54,107,61,337
K 839,4,71,68,37,51,98,53,311
K 829,4,78,74,36,48,103,62,349
K 823,4,75,66,37,48,99,60,318
K 820,4,78,75,37,51,103,57,336
K 827,4,78,75,35,52,113,58,334
K 828,4,79,71,39,53,104,58,347
K 824,4,79,74,40,52,108,60,350
K 825,4,80,75,38,54,104,58,363
K 805,4,79,70,36,50,105,58,335
K 815,4,77,74,36,54,103,58,332
K 840,4,80,75,42,52,108,61,359
K 813,4,86,77,44,53,112,66,346
K 980,4,75,79,35,42,99,53,318
K 563,4,79,83,36,53,116,60,333
K 556,4,76,75,41,50,92,56,335
K 540,4,80,78,43,53,100,55,319
K 553,4,81,75,36,51,106,58,339
K 551,4,81,75,37,52,105,60,347
K 561,4,83,82,38,54,105,60,352
K 534,4,93,78,37,48,106,57,346
K 554,4,84,74,41,52,101,57,343
K 535,4,74,67,40,48,96,52,319
K 543,4,83,86,42,55,107,57,348
K 541,4,80,77,42,51,104,56,340
K 560,4,78,76,34,45,98,56,318
K 546,4,78,75,42,52,101,60,344
K 536,4,85,87,39,46,115,58,369
K 547,4,74,72,36,50,95,51,320
K 537,4,74,71,42,52,98,52,313
K 545,4,67,70,34,47,90,50,305
K 558,4,98,87,46,60,118,60,365
K 657,4,86,76,42,54,114,65,360
K 548,4,77,76,36,47,100,56,343
K 544,4,78,83,37,54,102,57,338
K 562,4,78,77,40,47,100,58,317
K 781,13,77,66,39,51,100,60,317
K 786,13,76,65,36,50,104,65,344
K 799,13,76,72,43,56,107,60,345
K 780,13,73,67,34,48,99,60,316
K 788,13,78,74,37,59,112,65,343
K 796,13,93,78,38,60,111,65,358
K 792,13,80,69,39,50,106,65,337
K 784,13,77,71,43,54,111,65,338
K 791,13,79,73,38,47,105,63,345
K 789,13,77,69,43,58,108,65,350
K 519,13,71,66,38,49,97,57,316
K 528,13,75,69,35,51,100,57,319
K 524,13,78,71,43,46,101,55,338
K 525,13,81,72,40,51,109,65,333
K 527,13,73,65,38,51,99,61,316
K 529,13,84,68,35,46,106,59,345
K 521,13,83,70,38,55,108,61,355
K 526,13,81,70,37,55,111,64,346
K 520,13,75,67,38,52,103,62,332
K 532,13,78,70,38,48,106,61,347
K 772,60,77,69,40,51,101,58,333
K 775,60,85,73,42,56,110,61,339
K 776,60,75,69,34,56,106,63,350
K 768,60,78,68,37,50,100,57,341
K 773,60,87,77,41,58,120,65,354
K 777,60,80,73,38,51,106,63,347
K 770,60,83,70,40,47,111,60,338
K 517,60,79,67,35,47,103,58,321
K 518,60,78,68,38,50,104,57,340
K 516,60,88,76,41,57,120,63,357
K 515,60,77,72,36,51,106,60,356
K 514,60,77,67,40,54,101,56,327
K 766,61,83,76,44,56,107,65,362
K 749,61,84,75,39,52,107,66,356
K 753,61,76,72,39,51,104,60,327
K 760,61,80,68,40,51,106,60,328
K 757,61,78,68,41,53,107,62,337
K 983,61,76,69,38,50,106,61,313
K 762,61,84,71,40,56,108,62,328
K 751,61,78,76,38,52,107,62,327
K 742,61,80,71,36,53,101,60,315
K 745,61,78,71,39,52,108,62,327
K 763,61,88,77,41,55,113,65,358
K 761,61,85,75,36,52,110,61,339
K 746,61,84,70,40,52,105,62,331
K 755,61,79,71,39,52,103,61,349
K 764,61,79,69,40,50,99,58,324
K 758,61,80,69,36,46,101,62,320
K 750,61,79,70,39,48,99,57,328
K 767,61,77,66,40,49,92,56,330
K 748,61,87,75,43,55,111,65,344
K 765,61,82,81,36,55,120,70,371
K 509,61,88,79,37,56,120,70,375
K 503,61,83,75,41,54,108,61,346
K 500,61,78,73,40,51,109,58,341
K 507,61,88,75,41,57,116,68,347
K 497,61,82,74,41,56,111,66,360
K 499,61,79,69,37,47,111,64,344
K 508,61,79,72,36,52,107,65,341
K 506,61,88,75,40,57,113,66,361
K 510,61,76,69,36,52,103,59,334
K 512,61,83,73,39,53,112,71,366
K 511,61,82,73,41,54,113,63,342
K 505,61,77,69,36,48,106,58,355
K 504,61,84,69,38,55,105,58,335
K 502,61,80,69,35,51,105,57,338
K 698,77,81,73,37,57,109,58,338
K 709,77,75,73,36,50,98,58,328
K 701,77,74,67,35,46,97,56,319
K 696,77,72,65,35,46,91,53,295
K 702,77,73,64,38,47,97,56,318
K 700,77,78,69,42,53,105,58,326
K 707,77,81,75,39,55,106,59,336
K 697,77,71,68,38,47,99,55,320
K 703,77,77,66,36,48,106,58,316
K 456,77,78,64,37,47,104,62,331
K 449,77,79,64,37,52,102,58,322
K 448,77,74,68,39,50,99,55,322
K 450,77,80,72,37,54,103,57,335
K 454,77,76,64,32,44,102,50,308
K 445,77,86,71,41,53,115,65,349
K 441,77,81,73,35,53,102,54,314
K 458,77,67,59,33,46,90,44,314
K 718,67,82,78,45,59,110,67,357
K 721,67,77,68,35,55,104,60,333
K 716,67,90,79,46,57,124,68,375
K 740,67,82,73,36,53,105,63,351
K 730,67,80,74,38,49,100,58,326
K 717,67,79,69,41,50,105,60,320
K 741,67,74,65,38,55,100,55,307
K 731,67,75,68,37,48,99,57,325
K 737,67,77,70,39,50,104,59,328
K 732,67,78,70,39,48,110,60,340
K 733,67,80,72,39,52,108,62,352
K 711,67,89,75,44,60,116,66,374
K 723,67,79,75,39,57,105,60,368
K 715,67,75,66,37,49,100,59,305
K 720,67,80,70,41,55,104,58,345
K 739,67,87,75,38,54,112,66,352
K 729,67,78,66,38,52,99,60,330
K 714,67,82,72,36,53,109,64,350
K 713,67,82,74,41,56,108,64,347
K 476,67,85,76,43,60,109,64,360
K 482,67,86,76,41,52,111,65,343
K 492,67,85,71,45,55,111,65,353
K 489,67,82,66,37,53,108,61,356
K 490,67,70,63,38,52,97,52,322
K 474,67,83,73,40,58,111,65,353
K 472,67,78,70,32,49,111,57,326
K 467,67,77,69,36,47,103,56,328
K 485,67,80,70,37,56,106,59,345
K 496,67,84,71,36,52,114,67,368
K 493,67,70,66,37,46,95,54,330
K 470,67,81,71,35,46,106,62,347
K 475,67,80,74,37,53,110,63,351
K 468,67,74,67,35,44,96,56,316
K 481,67,76,68,39,48,98,57,326
K 469,67,84,72,38,50,106,60,351
K 484,67,74,68,35,46,94,58,317
K 479,67,86,75,37,56,109,66,357
K 488,67,81,73,36,53,112,65,355
K 491,67,71,68,36,53,98,56,317
K 981,67,68,65,37,53,92,55,297
