AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
9,71.9,4.4,3.7,16.28,0.226425591
9,72,4.4,3.7,16.28,0.226111111
9,77.7,5,4.1,20.5,0.263835264
9,73.4,3.9,3.2,12.48,0.170027248
9,75.9,4.8,3.8,18.24,0.240316206
9,73.3,4.8,3.7,17.76,0.242291951
9,74.9,4.5,3.7,16.65,0.222296395
9,72.5,4.7,3.9,18.33,0.252827586
9,74.8,5.1,4.1,20.91,0.279545455
9,72.8,4.6,4.1,18.86,0.259065934
9,76.8,4.4,4.5,19.8,0.2578125
9,73,4.4,3.5,15.4,0.210958904
9,74.6,4.7,4,18.8,0.252010724
9,73.7,5,4,20,0.271370421
9,71.3,4.7,4.2,19.74,0.276858345
9,70,4.5,4.2,18.9,0.27
9,76.8,4.7,3.7,17.39,0.226432292
9,70.9,4.6,3.7,17.02,0.240056417
9,71.4,4.8,4.2,20.16,0.282352941
9,73.5,4.5,3.5,15.75,0.214285714
9,73.4,5,3.7,18.5,0.252043597
9,73.9,4.5,3.5,15.75,0.213125846
9,75.7,4.7,4.3,20.21,0.266974901
9,70.1,4.7,3.8,17.86,0.254778887
11,72.5,5.1,4.4,22.44,0.309517241
11,74.3,4.7,4,18.8,0.253028264
11,73.8,4.4,4,17.6,0.238482385
11,70.2,4.7,4.2,19.74,0.281196581
11,73.7,4.7,3.7,17.39,0.235956581
11,73,4.5,3.5,15.75,0.215753425
11,77.4,4.8,4.2,20.16,0.260465116
11,71.4,5,4.4,22,0.308123249
11,70.8,4.7,3.7,17.39,0.245621469
14,72,4.4,3.7,16.28,0.226111111
14,74.7,4.5,3.8,17.1,0.228915663
16,75,5,4,20,0.266666667
16,74.6,4.6,4,18.4,0.246648794
16,75.1,4.7,3.8,17.86,0.237816245
16,73,5.3,3.5,18.55,0.254109589
16,77.4,4.6,4.1,18.86,0.243669251
16,71.3,4.6,4,18.4,0.258064516
16,68.9,4.8,4,19.2,0.278664731
16,72.4,4.3,3.9,16.77,0.231629834
16,73.1,4.9,4.5,22.05,0.301641587
16,71.5,4.4,3.9,17.16,0.24
16,73.5,4.5,4.5,20.25,0.275510204
16,71.8,4.7,4.2,19.74,0.274930362
16,73.9,5.1,4.2,21.42,0.28985115
16,75.2,5.2,4.2,21.84,0.290425532
16,69.5,4.7,3.7,17.39,0.250215827
16,70.3,4.1,4.3,17.63,0.250782361
16,74.1,4.8,3.9,18.72,0.252631579
16,72.1,4.9,4,19.6,0.27184466
16,70.3,4.7,3.7,17.39,0.247368421
16,73.4,4.9,4.1,20.09,0.273705722
16,69.8,4.2,3.2,13.44,0.192550143
16,70.6,5.1,3.7,18.87,0.267280453
16,75.5,4.8,4.5,21.6,0.286092715
16,74.5,4.7,3.8,17.86,0.239731544
16,76.3,5,4.1,20.5,0.268676278
16,71.3,4.5,3.9,17.55,0.246143058
16,74.5,4.7,3.7,17.39,0.233422819
16,74.5,4.5,3.9,17.55,0.23557047
16,70.8,4.3,4.1,17.63,0.249011299
16,74.8,4.6,3.8,17.48,0.23368984
16,74.5,4.8,3.8,18.24,0.244832215
18,68.9,4.8,4,19.2,0.278664731
18,73.3,4,4,16,0.218281037
18,73.4,5,4.6,23,0.313351499
18,70.8,4,3.6,14.4,0.203389831
18,69.4,4.8,3.7,17.76,0.255907781
18,73.3,4.8,4.5,21.6,0.2946794
18,71.1,5,3.8,19,0.267229255
18,68.6,4.2,3.7,15.54,0.226530612
18,65.8,4.2,3.7,15.54,0.236170213
18,71.3,4.2,3.2,13.44,0.188499299
18,72.4,4.7,3.9,18.33,0.253176796
18,73.6,4.6,3.8,17.48,0.2375
18,71,4.4,3.8,16.72,0.235492958
18,72.1,4.8,4,19.2,0.26629681
18,67.7,4.1,3.7,15.17,0.224076809
18,73,4.7,3.7,17.39,0.238219178
18,72.9,4.3,3.7,15.91,0.21824417
18,73.4,4.9,4.4,21.56,0.29373297
18,72.2,4.1,3.5,14.35,0.198753463
18,66.8,4.6,4,18.4,0.275449102
18,70.3,4.6,3.7,17.02,0.242105263
18,73,4.4,3.4,14.96,0.204931507
