PIT,LENGTH,PROX.W,MID.W,MID.D,DIST.W
3,101,22,11,10,25
3,98,20,12,11,23
3,96,20,10,9,22
3,96,19,9,9,22
3,96,21,10,9,23
10,92,17,10,7,18
10,97,21,11,10,22
10,103,22,12,11,26
10,98,22,11,10,25
10,100,22,11,10,25
10,97,22,11,10,23
10,96,21,10,9,22
10,98,22,11,9,24
10,96,19,10,8,22
10,100,22,11,10,25
10,96,21,12,9,24
10,99,22,12,9,24
10,98,22,12,10,24
10,98,20,11,10,22
10,97,21,10,8,22
10,97,22,11,11,25
10,104,23,11,11,25
10,99,23,11,11,24
10,96,20,10,10,22
10,96,20,11,10,22
13,99,20,10,9,23
13,98,17,13,11,25
13,101,22,13,11,25
13,95,21,11,11,23
13,99,21,11,10,23
13,96,22,12,10,25
13,97,21,11,10,23
13,97,21,11,11,23
13,99,21,11,10,23
13,101,22,11,10,23
13,98,20,11,10,22
13,100,22,11,10,22
13,98,22,16,9,24
13,102,23,12,11,25
13,95,21,11,11,24
13,95,19,10,9,22
13,103,22,11,9,23
13,102,21,11,10,23
13,97,20,11,9,21
13,99,21,11,9,23
13,100,20,12,9,23
13,95,20,10,10,23
13,101,21,12,10,25
13,104,23,12,11,25
13,99,20,11,10,23
13,99,20,11,10,23
13,99,20,10,10,23
13,98,21,11,10,23
13,94,19,9,7,20
13,96,20,10,9,21
13,93,20,10,10,23
13,101,21,11,10,24
13,97,22,11,11,24
13,99,20,10,8,22
13,101,22,11,10,23
13,96,21,11,9,23
13,97,20,10,10,22
13,101,21,11,10,23
13,100,22,11,11,24
13,101,20,11,8,22
13,99,21,11,9,24
13,94,20,10,10,23
13,96,21,12,10,23
13,101,23,12,11,25
13,98,20,9,9,23
16,96,20,12,9,23
16,98,20,11,11,22
16,97,21,10,9,22
16,99,21,10,9,23
16,99,20,12,11,22
16,92,20,10,9,22
16,97,20,11,10,23
16,104,23,12,12,26
16,92,19,10,9,22
16,100,20,11,9,23
16,96,21,11,7,23
16,100,20,10,9,23
16,99,22,13,11,25
16,100,23,12,11,25
16,100,22,12,11,25
16,97,22,12,11,25
16,96,22,11,9,23
16,96,24,12,11,26
16,95,21,11,11,24
16,97,19,11,9,22
16,99,22,12,10,24
16,99,22,12,11,25
16,99,20,10,10,23
16,99,21,12,11,23
16,96,20,12,10,22
16,104,23,12,11,25
16,101,23,13,11,26
16,96,22,11,10,24
16,102,21,11,11,24
16,94,18,10,8,22
16,100,22,12,10,24
16,94,20,11,10,22
16,99,22,11,11,23
16,97,22,12,11,24
16,98,20,10,9,22
16,95,21,10,9,22
16,96,20,11,9,22
16,100,20,10,9,23
16,97,21,10,10,23
16,99,21,12,10,23
16,97,20,10,10,22
16,102,22,12,10,24
16,102,22,13,12,26
16,99,21,12,10,24
16,99,24,14,12,25
16,100,20,10,10,22
16,97,20,11,9,23
16,102,22,11,11,24
16,96,20,10,9,22
16,94,20,11,10,23
16,99,22,12,11,25
16,99,21,12,12,24
16,99,23,10,10,25
16,96,20,10,10,22
16,99,20,12,10,24
16,95,20,10,9,22
16,100,23,13,12,25
16,97,20,11,10,23
16,96,23,12,10,25
16,96,20,11,10,23
16,99,21,12,11,25
16,100,22,11,10,25
16,95,20,11,10,24
16,99,22,13,11,25
16,99,19,11,10,22
16,97,21,11,11,23
16,98,20,10,8,22
16,97,20,12,10,23
16,98,22,11,10,23
16,99,20,11,11,23
16,98,22,12,11,25
16,98,20,11,10,23
16,102,20,10,9,22
16,97,20,11,9,22
16,98,20,10,9,21
16,95,20,10,9,22
16,99,23,13,10,25
16,98,21,11,11,23
16,97,22,12,10,24
16,101,22,12,11,26
16,99,20,11,10,22
16,99,20,11,10,23
16,91,19,11,10,21
16,97,21,11,10,23
16,96,22,11,10,25
16,98,22,13,10,23
16,100,21,11,10,23
16,100,21,11,10,24
16,97,22,12,11,24
16,98,20,10,10,22
16,98,21,11,10,24
16,104,23,12,12,25
16,93,19,10,9,22
16,98,22,11,11,26
16,98,23,12,11,24
16,99,20,11,10,23
16,98,20,11,10,23
16,102,23,13,11,25
16,98,20,11,11,23
16,100,21,11,10,24
16,99,22,12,12,26
16,100,23,13,12,26
16,101,22,12,10,25
16,91,19,10,8,21
16,99,20,10,9,22
16,98,21,11,10,23
16,102,23,11,11,25
16,97,21,11,9,23
16,101,22,11,11,25
16,95,21,11,9,24
16,97,20,9,9,22
16,96,20,10,10,23
16,96,20,10,9,23
16,96,22,11,10,24
16,99,20,11,10,23
16,99,20,11,10,23
16,95,20,11,10,22
16,103,22,12,11,25
16,101,21,10,10,24
16,89,19,10,9,22
16,102,24,12,9,25
16,96,20,11,10,22
16,98,21,11,10,23
16,96,20,11,11,22
16,97,22,12,10,25
16,98,20,10,9,22
16,97,20,11,10,22
16,95,21,10,10,23
16,99,22,12,11,24
16,94,20,10,9,23
16,100,20,10,9,22
16,98,22,11,10,22
16,100,21,12,10,25
16,99,22,12,10,24
16,102,21,12,10,24
16,100,20,10,9,23
16,99,20,11,9,22
16,103,23,12,11,25
16,93,20,10,9,22
16,99,22,11,10,24
16,100,22,12,9,24
16,97,20,10,9,23
16,97,20,11,10,23
16,95,20,10,8,22
16,97,20,10,10,23
16,97,22,12,10,24
16,95,21,10,9,23
16,95,20,10,10,23
16,96,20,10,8,22
16,99,20,11,11,22
16,99,20,11,10,23
16,103,22,11,9,24
16,100,23,13,11,25
16,99,18,11,8,21
16,98,23,12,10,24
16,101,22,12,11,25
16,98,22,11,10,23
16,100,20,10,9,23
16,94,19,10,9,22
16,94,19,10,9,22
16,99,22,12,9,23
16,97,20,11,10,23
16,98,22,13,11,25
16,96,21,11,11,23
16,101,23,13,12,26
16,99,24,13,12,26
16,101,21,12,10,24
16,99,20,11,10,23
60,96,22,11,11,24
60,96,20,10,9,23
60,97,20,10,10,23
60,98,21,12,11,25
60,97,22,11,10,25
60,97,20,11,10,22
60,98,21,11,10,23
60,99,21,11,10,24
60,96,20,10,9,22
