AGE,LENGTH,WIDTH,DEPTH
9,47.1,4.5,3.1
9,46,4.4,3.5
9,44.4,4.7,3.2
9,43,4.5,3.4
9,45.2,4.9,3.5
9,43.3,5.1,3.5
9,47.6,4.8,3.2
9,44.9,4.7,3.5
9,42.5,4.6,3.3
9,42.7,4.9,3.4
9,42.7,4.6,3
9,45.8,4.8,3.2
9,43.2,4.5,3.2
9,47,5,3.6
9,42.4,4.4,3.1
9,42.2,4.8,3.2
9,46.4,4.5,3.5
9,42.4,4.8,3.2
9,43.4,4.3,3.2
9,41.5,4.5,3
9,48.6,4.9,2.5
9,45.1,4.9,3
9,41.6,4.7,3
9,45.1,4.8,3.8
9,46.6,4.7,3.2
9,46.5,4.7,3.5
9,45.5,4.3,3.5
9,44.9,4.9,3.5
9,45.5,4.6,3.3
9,44.2,4.6,3.3
9,44.5,4.6,3.3
9,41.5,4.5,3
9,43.4,4.9,3.3
9,45.2,4.7,2.8
9,44.8,5,2.7
9,45.5,4.5,3.3
9,45.1,4.4,3
9,46.6,4.7,3.4
9,44.4,4.5,3.5
9,44.3,4.5,3.5
9,46.5,4.7,3.4
9,43,4.7,3.5
9,44.9,4.6,3.6
9,43.2,4.5,3.3
9,45,4.6,3.3
9,47.8,4.8,3.2
9,44.5,4.6,3.5
9,42.7,4.5,3
9,44,4.7,3.4
9,42,4.6,3.1
9,44.9,4.1,2.8
9,44.3,4.4,3.2
9,44.7,4.7,3.3
9,43.1,4.6,3.6
9,43.9,4.4,2.9
9,40.3,4,2.9
9,43,4.4,3.4
9,44.9,4.7,2.9
9,42.5,4.3,2.9
9,45.9,4.8,3.1
9,43.4,4.3,3.3
9,43.3,4.4,2.5
9,48.2,5,3.2
9,43.4,4.9,3.5
9,46.4,4.7,3.8
9,45.3,4.3,3.3
9,45.1,4.7,3.2
9,44.3,4.4,3
9,41.7,3.8,2.8
9,44.5,4.5,3.2
9,45,4.7,3
9,46.3,4.6,2.9
9,41,4.3,3.4
9,43.8,4.1,3.2
11,43.5,4.9,3.3
11,45.7,5.1,3.6
11,46.2,5,3.2
14,44.7,4.7,3.5
14,43.4,4.2,3
14,44.3,5.2,3.3
14,42.1,4.1,2.9
14,46.1,4.6,3.1
14,44.1,5.1,3.3
14,42.7,4.4,3.4
14,44.8,4.5,3
14,44.7,4.6,3.2
14,46.2,4.6,3.3
14,45.9,4.6,3.5
16,43.2,5.2,3.6
18,45.1,4.5,3.3
18,43.9,4.8,3.2
18,42.1,5.1,3.6
18,44.2,4.3,3.1
18,42.8,4.4,3.3
18,47.6,4.7,3.7
18,46.6,4.6,3.2
18,44.5,4.8,3.6
18,42.6,4.2,3.3
18,42.2,4.7,3
18,46,4.5,3.2
18,44.1,4.3,3.2
18,46.1,5,3.6
18,46.8,4.5,3.7
18,43.3,4.4,2.8
18,43.2,4.6,3.6
18,44.6,4.5,3.5
18,43.1,4.9,3.6
18,43.5,5.1,3.3
18,44.7,4.6,3.3
18,42.9,4.3,3.1
18,44.6,4.4,3.2
18,42.1,4.3,3.5
18,46.6,5.3,4.1
18,45.4,4.5,3
18,42.3,4.2,3
18,45.7,4.7,3.2
18,43.3,4.3,3
18,42.6,4.3,3.2
18,43.3,4.1,3
18,44.2,4.4,3
18,43.5,4.3,2.6
18,41.2,4.5,3.1
18,45.6,4.5,3.3
18,46.8,4.4,3.5
18,44,4.6,3.8
18,44.6,4.8,3.4
18,45.7,4.6,3.3
18,46.1,4.8,3.7
18,44.1,4.4,3.4
18,47.3,4.5,3.2
18,42.9,4.5,3.2
18,45,4.7,3.5
18,41.9,4.5,3.2
18,43.9,5,3.5
18,42.6,3.6,2.1
18,41.2,4.6,3.3
21,42.4,5,3
29,45.3,4.2,2.9
29,45.5,4.7,3.5
29,48.7,5.2,3.7
29,46.8,5,3.4
29,44.7,4.4,3.2
29,45,4.9,3.5
29,47.7,5.4,3.8
29,44.7,4.8,3.5
29,46.8,4.6,3.5
29,43.5,4.2,2.5
29,45.2,4.4,3
29,45.3,4.8,3.4
29,45.5,4.8,3.7
29,43.5,4.8,3.3
29,45.9,4.8,3.1
29,44.1,4.9,3.4
29,46.6,4.8,3.5
29,44,5.5,3.5
29,43,4.5,3.6
29,44.2,4.1,3.5
29,43.3,4.7,3.3
29,44.6,4.1,2.9
29,47,4.8,3.5
0,42.4,4.1,3.4
0,42.3,4.2,3.5
0,45.1,4.8,3.5
0,45.5,4.7,3.7
0,43.3,4.2,3.5
0,43.1,4.3,3.3
0,46.1,4.9,3.5
0,46.5,4.9,3.3
