AGE,LENGTH,WIDTH,DEPTH
9,53.4,2.7,2.6
9,48.1,3.4,2.6
9,45,3,2.6
9,48.5,2.8,2.5
9,49,2.8,2.4
9,49.4,2.8,2.4
9,47.1,3.1,2.7
9,47.4,2.6,2.4
9,48.3,2.8,2.2
9,51.5,3.1,2.4
9,51.2,2.7,2.6
9,46.7,2.8,2.1
9,44.5,2.3,2
9,47.8,2.7,2.8
9,47.5,2.7,2.1
9,48.1,2.7,2
9,47.9,2.8,2.7
9,48,2.7,2.2
9,46.2,2.7,2.3
9,46.9,2.7,2.5
9,47.3,2.9,2.6
9,48.4,3,2.8
9,45.8,2.6,2.1
9,46.9,2.8,2.1
9,48.1,3.1,2.4
9,50.6,2.5,2.2
9,48.5,2.7,2.2
9,48.1,2.7,1.9
9,49.1,2.6,2.7
9,46.4,2.6,2
9,48.7,2.7,2.4
9,48.1,2.6,2.9
9,48.6,2.6,2.3
14,49.3,2.6,2.7
14,51.5,2.5,2.5
14,47,2.7,2.5
18,50.2,2.8,2.9
18,46.8,2.8,2.6
18,46.1,2.7,2.8
18,47.9,2.8,2.4
18,47.9,2.9,2.4
18,47.1,2.9,2.7
18,48.3,2.9,2.2
18,48.3,3,2.7
18,48.3,2.5,2.2
18,47.3,3,2.9
18,47.1,3.2,2.4
18,43.9,2.1,1.8
18,46.9,2.6,2
18,45.8,2.7,2.4
18,46.9,2.7,2.3
18,47.3,2.3,2
18,44.8,2.7,2.1
18,46,2.4,2.2
18,48.7,3,2.4
18,49,2.8,2.4
18,44.4,2.6,2.6
18,47.7,3,2.5
18,43.9,2.5,2.5
18,48.5,3.1,2.5
18,47.5,2.6,2.6
18,48.2,2.8,2.2
29,45.9,3.2,2.7
29,49.6,2.6,2.7
29,47.6,2.8,2.5
29,48.4,2.8,2.4
29,50.7,3,3
29,50.1,2.9,2.7
29,48,2.6,2.7
29,49,2.9,3
29,47.3,3,2.9
29,47.5,2.8,2.3
29,50.1,2.9,2.8
29,49,2.7,2.8
0,41.2,2.8,2.1
0,41.7,2.5,2.3
0,51,3.6,3.7
0,50.5,3.9,3.5
0,46,4.2,3.9
0,46.3,2.7,3.2
0,51.7,3.6,2.7
0,42.5,3.2,3.6
0,42,2.5,2.9
0,50.9,3,2.9
0,50.8,3,2.8
0,48.7,2.9,2.8
0,48.5,2.7,2.7
0,46.1,2.7,2.4
0,45.7,2.5,3.6
0,44.4,2.6,2.3
0,44.8,2.6,2.2
