pit,length,width,depth
9,78.18,54.8,39.6
9,76.8,55.4,41.8
9,79.2,57.5,43.1
9,82.1,56.4,44.6
9,85.2,57.8,46.1
9,69.9,48.8,41.7
9,78.7,59.2,48
9,84.5,54.5,43
9,80,58.8,51.4
9,77.8,53.8,38.7
9,79.9,59.2,40.4
9,74.3,54.9,40
9,68.2,52.3,36.1
9,75,54.9,40.5
9,74.2,52.1,40
4,92.9,67.1,48.5
4,87,63.3,48.7
9,81.3,60.08,40.5
9,74.2,53,37.6
9,77.1,57.6,39.1
9,69.9,54.6,41.2
3,80.5,56.9,42.2
3,79.5,58.2,42.2
3,74.5,53.1,51.5
3,79.5,50.8,41.5
4,89,66.1,48.5
4,88.1,62.8,47.5
3,76,40.3,36
3,70.4,49.6,37.5
3,64.4,46.6,38.4
3,90,63.6,46.5
3,81.4,57.5,43.4
3,83.5,57,43.3
2,83.1,57.9,45.1
3,87.5,61,45.1
3,80.4,56.8,41.8
3,90,66,46.5
3,82.1,55.7,43.9
3,79.5,56.7,41.2
3,82.3,53,43.9
81,64.6,61.2,46.2
77,74.1,51.2,34.9
77,88.6,63.2,50.3
77,88,60.2,44.8
77,79.4,54.8,42.3
67,82.1,57.7,42.4
61,80.5,54.6,42.1
67,83.2,61.6,44.1
67,81.3,58.2,43.8
67,81.1,58.2,45.2
67,80.7,58.4,44.6
67,80.2,55.3,44.7
61,86.3,63,44.2
61,83.7,56.1,43.2
61,80.2,55.1,42.9
61,72.5,56.5,39.2
67,82.3,60.5,44.5
67,80.5,58.8,41.6
60,63.1,55.9,42.6
61,85.9,63.4,47
61,83.3,61.5,44.2
61,3.8,52.7,44.1
61,82,55.8,42.6
61,72.5,53.8,38.2
13,77,52.6,39
13,83.3,59.8,43.6
13,75.5,52,41.2
