Pit #,Max length (prx-dst),Prx width,Dst width,Depth
3,38,23,21,18
3,37,22,21,18
3,37,21,20,19
3,40,25,22,21
3,37,21,21,18
3,40,23,22,21
3,37,22,20,19
3,37,21,19,18
3,40,23,21,20
3,40,23,21,20
3,39,22,21,20
3,33,20,21,18
3,34,20,18,17
3,35,21,20,19
3,37,23,22,19
3,38,22,22,20
3,35,20,20,17
3,38,22,21,20
3,39,23,22,20
3,35,21,19,20
3,37,22,22,20
3,38,22,20,21
3,38,22,21,20
3,39,22,22,20
3,38,23,22,20
3,38,22,22,20
3,37,22,21,19
3,38,22,22,20
3,37,22,21,19
3,38,22,21,19
3,37,22,20,19
3,37,22,20,20
3,39,23,21,20
3,40,23,22,19
3,39,23,20,21
3,36,21,20,19
3,37,21,21,20
3,36,21,20,17
3,39,22,21,19
3,39,24,21,20
3,35,22,20,19
3,36,22,20,17
3,38,23,22,20
3,38,22,22,20
3,39,23,21,23
3,35,21,19,18
3,38,22,23,20
3,34,20,20,20
3,36,21,19,20
3,37,23,21,21
3,37,22,21,19
13,37,21,21,20
13,37,22,20,20
13,36,22,21,19
13,39,23,22,20
13,38,22,21,20
13,38,22,20,19
13,39,23,22,22
13,38,23,21,21
13,36,21,20,20
13,32,19,17,17
13,38,22,20,21
13,35,21,20,18
13,38,23,21,20
13,36,22,20,19
13,37,20,20,18
13,38,22,22,20
13,37,22,20,19
13,37,23,21,20
13,38,22,20,20
13,37,22,21,21
13,38,22,21,21
13,37,22,20,20
13,37,22,20,20
13,36,21,19,20
13,37,22,20,18
13,37,22,21,20
13,34,20,18,17
13,37,23,21,20
13,36,21,21,18
13,35,21,19,18
13,35,21,20,20
13,37,22,19,20
13,37,23,22,20
13,36,20,19,18
13,41,23,22,21
13,37,22,19,18
13,34,20,18,18
13,39,22,21,20
13,34,19,19,18
13,34,20,20,17
13,36,21,20,19
13,39,22,21,21
13,38,22,20,20
13,36,21,19,19
13,37,22,19,20
13,37,22,21,20
13,36,20,20,18
13,37,22,21,20
13,38,22,20,21
13,37,22,20,20
13,34,20,18,18
9,38,23,22,21
9,39,22,21,21
60,37,22,21,21
60,37,23,21,20
60,38,22,20,21
60,37,22,21,19
60,37,22,20,21
60,39,24,21,22
60,40,22,23,23
60,39,24,20,19
60,36,21,19,19
60,36,21,19,19
60,38,24,21,23
60,37,21,20,21
60,37,21,20,21
60,40,24,23,20
60,39,23,20,20
60,36,22,21,19
60,34,21,20,19
60,37,22,21,21
60,36,22,20,20
60,36,22,20,20
60,39,24,21,21
60,37,23,22,21
60,37,21,20,20
60,38,22,20,21
60,35,21,20,19
60,36,20,19,18
60,37,22,21,22
60,39,23,23,22
60,38,21,21,18
60,38,21,21,20
60,38,22,20,19
60,40,23,20,21
60,40,23,23,21
60,38,22,21,21
60,39,24,21,21
60,39,24,23,22
60,35,21,19,19
60,38,22,22,20
60,40,24,22,21
60,40,24,22,22
60,35,21,20,17
60,35,21,20,20
60,39,24,23,21
61,35,21,20,20
61,38,22,22,21
61,38,22,21,22
61,37,22,19,20
61,38,23,23,22
61,40,23,22,23
61,36,22,21,22
61,38,22,21,21
61,37,22,20,21
61,35,21,19,21
61,39,22,21,22
61,37,21,21,19
61,33,20,19,20
61,39,23,21,22
61,36,21,19,19
61,39,23,23,21
61,37,22,21,21
61,37,21,20,20
61,39,23,22,23
61,38,22,20,20
61,37,22,21,20
61,36,21,21,22
61,36,20,20,20
61,37,21,21,20
61,37,21,21,22
61,35,21,22,19
61,38,22,21,19
61,36,21,20,18
61,40,23,24,22
61,36,22,21,21
61,38,22,22,21
61,35,20,20,20
61,39,21,21,20
61,37,22,21,20
61,38,21,21,20
61,37,22,20,20
61,37,21,20,20
61,33,20,19,19
61,41,23,23,21
61,40,23,21,21
61,39,23,22,21
61,39,22,21,20
61,40,24,23,22
61,38,23,22,20
61,38,22,22,21
61,37,22,20,21
61,36,22,21,18
61,39,23,22,21
61,36,21,21,20
61,34,20,19,18
61,38,21,21,20
61,36,22,20,18
61,38,22,21,21
61,38,22,21,20
61,36,21,20,19
61,37,22,21,19
61,36,21,21,19
67,38,22,22,22
67,37,21,21,19
67,39,24,21,20
67,38,23,21,21
67,38,21,21,19
67,40,24,22,19
67,38,22,21,20
67,39,22,21,21
67,37,22,21,20
67,39,22,22,20
67,36,21,20,20
67,37,22,22,20
67,37,21,20,19
67,36,20,20,19
67,37,22,20,20
67,39,23,22,20
67,35,20,19,19
67,37,22,21,20
67,37,22,21,20
67,36,20,20,18
67,39,22,22,20
67,37,22,23,22
67,37,21,20,20
67,36,21,19,19
67,41,23,22,20
67,38,22,21,21
67,36,21,20,21
67,36,21,20,20
67,41,24,23,22
67,39,22,22,22
67,38,21,21,20
67,37,22,21,21
67,36,21,20,19
67,35,20,19,19
67,35,20,19,17
67,36,21,21,19
67,36,21,20,20
67,35,19,19,20
67,36,21,20,19
67,37,22,22,20
67,33,20,19,18
67,39,21,21,19
67,36,21,20,19
67,38,21,20,19
67,39,22,23,21
67,38,23,23,20
67,37,21,21,19
67,35,22,20,20
67,39,23,22,20
67,37,21,21,20
77,38,23,20,20
77,37,22,19,19
77,37,23,21,21
77,37,22,22,20
77,34,20,19,18
77,39,24,24,19
77,37,21,18,17
