PIT #,LENGTH,DST W,DST D,MED W,MED D,PRX W,PRX D
3,222,47,32,19,19,58,28
3,223,46,34,19,19,60,28
3,237,50,36,20,20,64,30
3,232,51,38,21,20,63,29
3,229,47,34,21,21,60,29
3,220,45,32,19,19,56,27
3,234,50,37,20,20,61,29
3,220,45,33,18,18,59,28
3,220,46,42,20,18,60,27
3,217,46,32,19,18,57,26
3,232,50,34,19,19,60,29
3,229,49,33,19,19,61,29
3,231,47,32,20,19,57,28
3,223,44,32,18,19,57,27
3,228,49,33,19,19,62,28
3,221,48,33,18,19,58,27
3,239,53,36,20,20,65,31
3,233,44,31,18,19,57,26
3,224,48,33,20,20,59,27
3,226,46,33,20,20,55,27
3,238,51,35,22,21,64,30
3,228,48,35,21,22,61,30
3,218,45,32,18,17,58,27
3,236,52,34,19,20,62,30
3,227,48,33,19,18,59,29
3,218,46,34,19,19,59,27
3,235,50,36,19,19,60,28
3,231,52,36,20,21,63,30
3,231,49,33,19,19,60,27
3,225,44,32,18,19,57,26
3,220,45,32,17,18,57,26
3,229,46,32,19,20,56,26
3,222,46,33,19,18,57,28
3,240,52,37,21,21,62,30
3,224,47,32,19,19,56,26
3,231,47,34,20,20,61,28
3,227,45,34,19,19,59,27
3,233,53,35,22,21,67,30
3,230,48,33,20,19,60,29
3,229,48,33,21,20,61,28
3,231,52,34,19,18,65,29
3,242,54,36,23,22,65,30
3,227,48,34,20,20,60,29
3,240,52,36,20,21,65,30
3,226,49,35,20,20,61,28
3,228,49,32,19,19,64,30
3,227,48,34,20,21,61,29
3,219,46,32,20,19,58,28
3,242,51,36,21,21,65,30
3,215,44,32,20,18,59,27
9,210,45,32,20,19,55,26
13,217,44,32,20,19,58,28
13,231,50,37,20,19,65,30
13,216,47,36,21,19,59,28
13,224,48,32,19,19,61,28
13,216,47,34,19,18,58,27
13,229,47,33,20,20,59,30
13,222,45,33,18,18,61,29
13,230,44,34,18,23,60,27
13,216,45,31,18,18,58,27
13,225,46,33,19,19,60,28
13,225,48,33,20,19,60,28
13,236,42,32,18,23,56,27
13,225,50,34,20,20,61,28
13,222,43,32,18,19,58,28
13,219,43,31,19,18,55,26
13,223,48,32,20,19,59,28
13,212,45,32,19,18,59,27
13,225,47,33,19,19,60,27
13,224,42,30,18,20,53,24
13,222,48,34,20,19,62,28
13,224,47,33,20,20,58,28
13,224,47,34,18,18,56,27
13,236,47,34,19,19,61,29
13,215,42,29,17,18,53,25
13,229,48,35,18,18,62,29
13,218,45,33,19,19,58,27
13,217,46,35,19,18,60,28
13,225,43,31,19,18,55,27
13,226,45,33,19,18,57,29
13,231,48,35,20,19,61,28
13,223,47,33,20,19,59,27
13,231,50,35,21,20,63,29
13,222,45,32,19,18,56,26
13,223,47,33,20,20,60,28
13,221,46,32,18,18,55,26
13,222,48,36,21,19,62,30
13,224,50,35,20,19,61,29
13,242,44,33,18,19,58,27
13,217,47,33,20,19,59,29
13,223,46,32,20,20,58,28
13,217,46,33,20,18,58,29
13,231,48,33,19,19,59,28
13,226,45,34,18,18,62,29
13,222,47,33,21,19,20,28
13,220,45,32,20,19,59,28
13,229,48,35,20,19,59,29
60,239,50,38,21,21,65,30
60,221,44,32,18,18,57,27
60,230,46,33,20,19,60,27
60,229,44,33,19,18,58,28
60,235,48,34,22,20,59,30
61,233,46,34,20,20,60,27
61,239,50,35,21,20,63,29
61,226,46,33,19,19,57,28
61,227,48,34,20,19,61,28
61,236,50,34,20,20,63,29
61,218,48,32,20,20,58,27
61,221,47,32,18,18,58,28
61,236,48,32,20,19,60,28
61,237,49,35,20,22,61,27
61,252,53,36,22,22,66,30
61,229,49,35,20,19,61,29
61,229,45,33,20,19,59,27
61,227,47,34,20,19,61,29
61,224,45,31,17,17,58,26
61,252,50,36,21,20,65,29
61,229,45,31,19,19,58,27
61,218,45,30,18,19,56,27
61,239,49,35,21,21,63,29
61,241,52,35,21,21,65,30
61,237,51,35,21,20,65,30
61,220,47,32,19,20,58,28
