Pit #,Max Length,Prox w,Prox d,Mids W,Mids d,Dist W,Dist d
61,241,55,37,40,30,54,40
61,241,58,38,39,30,53,40
61,243,61,40,41,31,53,39
67,252,60,38,39,30,51,40
67,248,56,38,38,29,50,39
67,260,58,37,33,27,51,38
67,240,56,36,35,27,52,38
67,250,61,38,42,31,54,40
67,240,56,37,40,30,52,40
67,267,65,42,41,32,54,42
67,250,60,39,41,31,51,39
67,252,55,38,35,28,51,37
67,258,58,38,39,30,54,40
67,252,60,40,40,30,51,41
67,256,58,39,39,32,53,39
3,248,58,36,39,29,52,38
3,247,62,40,40,34,55,41
3,243,56,35,41,31,51,37
3,249,59,42,39,31,54,42
3,248,62,40,38,30,54,42
3,247,59,38,40,31,53,41
3,246,57,38,35,29,53,41
3,256,60,39,39,32,54,42
3,254,57,39,43,33,54,40
3,244,59,39,40,32,53,40
3,260,60,43,40,33,56,42
3,247,58,39,42,32,52,39
3,251,57,36,40,31,53,40
3,253,56,39,39,32,54,38
3,239,55,37,37,28,51,40
3,247,56,36,37,29,49,37
3,265,60,36,39,29,55,40
3,254,61,40,42,32,55,42
3,246,46,40,39,30,51,35
3,246,57,37,37,28,52,38
3,250,58,39,39,32,52,39
3,241,57,36,39,30,48,37
3,243,60,38,41,29,53,40
3,242,62,39,39,30,51,39
3,248,58,38,38,31,53,41
3,251,61,38,42,32,55,39
3,255,59,37,43,33,54,40
3,257,57,39,40,34,51,40
3,250,57,38,38,30,52,39
3,245,59,38,40,32,52,39
3,236,61,40,40,33,54,39
3,251,60,39,40,32,54,42
3,253,59,38,40,32,53,41
3,246,57,39,39,30,52,39
60,249,65,44,43,32,58,42
60,254,57,40,39,32,52,39
60,247,51,34,39,30,51,40
60,250,61,39,41,31,54,41
60,254,59,37,40,31,55,41
16,256,62,42,43,32,56,41
16,244,61,42,43,32,53,40
16,260,61,38,41,30,54,42
16,255,63,41,43,31,56,41
77,247,60,39,41,32,53,42
77,256,57,38,37,30,52,38
77,261,60,37,40,31,55,40
77,260,57,37,40,32,54,40
77,250,60,39,40,31,53,40
77,251,59,39,36,29,51,39
77,257,64,42,44,32,56,44
77,252,61,40,41,32,53,42
77,258,60,40,39,31,53,42
77,257,63,41,45,34,50,41
77,251,59,40,41,33,57,39
77,252,57,39,34,29,50,41
77,267,62,40,38,32,54,40
77,257,61,39,43,32,53,41
77,247,60,40,41,31,55,43
