Pit #,Length,Width,Depth
2,79.3,81.2,52
2,80.9,79.9,41.6
3,83.3,79.1,42.1
3,83.4,78.3,40
3,70.2,73,32.1
3,77.9,72,38.1
3,77.3,71.4,39.1
3,79.4,81.6,43.5
3,78.3,80.8,54.8
3,78.8,81.3,47.1
3,75.5,73.1,40.3
3,76.3,74.8,44.8
3,83.3,83.8,45.5
3,82.4,77.7,44.6
3,80.1,79,38.6
3,81.8,82.5,40.1
3,80.7,83.1,54.9
3,78.9,78.1,36.8
3,79.4,81.5,45.4
3,75.8,75.7,41.6
3,84.8,82.7,44.1
3,82.2,81.7,48.3
3,81.8,77.8,42.1
3,80.1,82.7,50.5
3,79.7,78.2,45.3
3,76.2,77.7,35.7
3,77,74.1,40.6
3,83.3,83.5,55.4
3,82.7,82.6,52.4
3,75.6,80.8,46.9
3,82.6,84.9,39.6
3,83.3,78.6,40.9
3,87.5,80.9,45.4
3,80.8,82.5,42.2
3,76.1,77.7,38.2
3,81.8,83,40.6
3,78.3,77.1,39.2
3,82.5,83.2,43.6
3,77.5,78.4,41.7
3,80.1,82.4,43.2
3,84.7,81.7,50.8
3,81.6,84.3,51.8
4,80.7,81.8,43.2
4,80.5,81.2,41.7
4,81.9,81.1,49.8
4,81.9,81.7,37.1
4,83,78.5,38.9
4,77.1,76.9,47.3
4,82.2,76.1,47.4
4,81.6,82.2,50.5
4,85.2,83.4,43.3
4,82.7,81.4,51.7
4,84.9,79.6,42.7
4,82.7,81.5,50.6
4,81.7,78.5,52.5
4,83.8,80.3,38.2
4,83,82.6,50
4,83.4,82.8,52.8
4,81.9,82.4,51.4
4,83.7,81.4,54.2
4,80.3,80.8,51.1
4,82.5,80.4,54.2
4,81,79.3,53.9
4,89.4,83.9,40.8
4,85.9,83.6,57.4
4,84.5,85.3,44.7
4,84.7,83.3,40.5
13,74.7,76.6,38
13,75.5,78.8,51.4
13,80.2,73.6,44.8
16,83.3,81.8,54.2
16,80.3,71.8,48.6
16,72.8,83.1,33.2
16,84.5,80.4,39.7
16,76.6,76.7,46.1
16,72.7,65.2,32.4
17,75.9,75.2,38.3
60,87.7,73,45.5
60,82.6,85.2,45.5
60,80.5,77.7,47
60,75.6,75.5,48.3
60,82.8,75.7,38.6
61,85.4,80.8,44.4
61,78.8,85.1,39.9
61,85.9,80.9,51.7
67,82.4,79.8,38.2
67,69.9,78.4,44.6
67,81.3,81.5,39.9
67,77.2,72.1,42.7
67,79.5,82.1,40.3
67,80.1,79.6,54.9
77,82.2,80.9,45.8
77,82.2,80.1,42.8
77,86,83.4,43.1
77,80.7,81.2,54.3
77,75.6,76.1,49.7
77,77.8,76.9,47.5
77,81.8,75.4,48.4
77,77.2,71.5,50
77,76.5,77.3,43.9
77,82,81.6,54.3
77,84.7,85.3,56.3
77,84,81.9,54.7
77,84.9,85.6,55.7
77,83.7,83.7,43.5
77,82.4,82.1,53.6
77,81.7,75.4,42.1
77,81.9,78,39.3
81,83.5,77.4,46.3
81,83.7,79.1,56.2
91,66.7,66.1,35.2
,81.7,76.4,38.7
,81.2,79.2,49.8
,79.9,84.5,38
,77.4,84.2,47.9
,85.5,85,41.9
,76.3,76.8,41.5
,76.5,68.4,42.4
,70.1,70.3,34.1
,73.3,74.7,38.5
,75.1,72.3,46.3
,82.7,83.4,49.9
