Pit #,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth
1,124.3,29.7,21.2,14.5,9.8,31.7,19.8
1,124.3,29.7,21.2,14.5,9.8,31.7,19.8
2,126.2,29.8,22.5,14.6,9.6,32.9,22.8
2,117.2,29.2,22.5,14.3,9.8,33.2,21
3,121.7,28.6,23.5,15.7,9.6,33.2,21.4
3,118.4,26,21.7,13.8,9.4,29.6,19.5
3,120.7,29.1,22.8,15.8,10.1,33.2,21.4
3,120.5,28.3,23.2,15,9.4,31.6,20
3,126.2,29.3,23.6,15.7,9.8,32.9,21.7
3,118.6,26.9,22.4,14.9,8.5,27.9,17.6
3,117.5,26.5,22.9,15.2,9.7,30.3,20.1
3,112.9,27.7,20.3,15.4,9.2,31.5,20.1
3,120,27,21.8,14.7,10.5,32.4,20.7
3,125.7,28.9,22.4,15.5,9,32,21.7
3,113.1,27.1,20.4,15.5,9.3,31.7,20.4
3,112.5,25.8,21.7,13.9,9.3,30.6,19.5
3,114.8,27.4,22,14.9,9.2,30.9,16.9
3,119.9,26.8,21.9,13.9,8.2,29.8,21.1
3,113.3,28,21.6,13.9,8.5,30.4,19.1
3,116.6,27,22.4,13.9,9,30.3,19.3
3,124.3,29,22.3,14.9,9.8,33.4,20.5
3,122.1,28.5,22.1,15.7,9.8,32.9,21.6
3,116.2,28.9,22.8,14.5,9.3,31.5,21.6
3,121.6,28.7,20.7,15.3,9.4,32.1,21.9
3,118.7,25.9,21.6,14.2,9.3,30.5,21.1
3,122.2,27.4,22.5,16.6,10.6,32.9,19.7
3,116.7,28.3,23.1,15.6,9.7,29.8,25.9
3,124.1,28.2,22.2,15,10.3,32.8,20.7
3,114.8,27.8,20.4,15.3,9.5,31.1,19.9
3,118,29,22.6,15,9.5,31.4,21.3
3,120.2,28.8,23.4,15.1,9.2,32.5,22.5
3,120.5,28.1,20.1,16,9.9,32.5,22.3
3,116.8,26.5,21.1,15.1,8.8,30,19.8
3,121.8,27.8,22.4,15.7,10.5,32.4,19.7
3,122.2,28.8,22.7,14.6,9.6,33,21.3
3,114.7,27.3,21.8,13.8,9.1,31.1,19
3,116.7,27.5,21.6,14.6,9,30.4,20.6
3,119.3,28.1,21.2,14.4,9.2,30.4,20.2
3,117.9,27.1,21.6,14.1,9,28.6,19
3,121.6,29.5,23.3,14,9.2,32.3,19.3
3,120.1,27.5,21.6,13.8,8.6,30.8,19.9
3,119.8,29.6,22,16.5,10,31.5,22
3,119.3,21.9,21.2,15.1,9.1,30.2,19.6
3,120.9,27.3,22.4,16.2,9.7,32,20.7
3,121.6,29.1,22.3,15.6,10.4,33.9,21.8
3,128.3,29.5,24.6,14.6,10.2,34,21.9
3,121.5,28,22.8,14.3,8.5,33,20.8
3,118.7,28.5,23.2,15.4,9,31.4,20.1
3,123,28.5,22.6,14.4,10.2,32.2,20.8
3,115,26.4,21.1,13.1,8.9,28.4,18.4
3,120.1,28.8,22.9,16,9.3,33.3,21.2
3,112.9,22.4,22.3,15.4,9.7,31.1,20.1
3,117.1,26.6,20.7,14.5,8.8,31.1,19.1
3,124.2,30.3,22.7,15.9,9.6,34.7,22.2
3,120.7,28.7,23.2,13.5,9.2,31.4,20.6
3,118.7,28.2,23.7,14.6,9.1,31.6,21.3
3,120.2,27.9,20.5,15,9.9,31.2,21.2
3,115,27.8,23.1,14.9,8.9,31.4,19.8
3,118.1,27.7,21.2,14.1,9.4,33.6,17.5
3,123.8,28,23.9,15.7,8.7,31.9,21.2
3,119.2,27.7,22.6,15,10,32.3,19.8
3,112.7,28.6,21.7,15.3,9.2,30.4,20
3,124.2,30.9,25.7,17,10.9,35.6,22
3,123.2,29.7,22.5,16.5,10,32.8,22.7
3,124.4,28.5,21.9,14.4,8.5,31.2,20.8
3,118.9,27.2,21.5,13.9,9.8,30.2,20.6
3,116.3,27.9,22.3,14.9,9,33.1,20.7
3,121.8,27.8,22.7,16.1,10.3,32.6,21.1
3,111.9,26.4,21.1,13.5,9.3,29.8,20
3,117.4,26.2,20.5,14.6,8.5,30.4,19.2
3,116.7,27.4,22.9,15,8.8,32.9,20.8
3,131.4,29.9,24,15.3,10.7,32.6,21.8
3,119.9,27.1,21.7,14.7,9.4,28.6,18.1
3,121.5,28.4,22.1,13.9,9.2,32.3,21.1
3,123.6,29.8,24.6,15.9,10.3,33.9,22.8
3,119.7,27.5,21.6,14.6,9.8,30.7,19.1
3,118.9,27.4,21.4,14.2,10.3,30.9,20.5
3,117.3,27.2,22.5,14.7,10,31.1,20.3
3,115.5,28.1,23,15.7,10.1,31.6,19.9
3,116.5,27.3,19.9,13.7,8.7,29.6,20.7
3,117.9,27.5,23.1,15.7,10.7,31.3,21.7
3,123.7,27.2,22.7,14.7,9.9,31.7,21.8
3,120.1,28.2,23.1,15.5,10.1,32.2,19.9
3,120.4,29.7,22.2,15.6,10.1,31.3,21.7
3,122,28.9,22.8,16,10.4,32,21.1
3,119.2,27.6,22.2,14.2,9.6,30.6,19.4
3,116.2,29.5,21.9,14.8,9.4,31.8,20.5
3,121.7,28.6,24.4,14.1,9.6,31.5,21.9
3,114.9,28.8,21.5,14.8,9.6,31.1,21.2
3,115.6,26.5,20.4,14.8,10.1,30.9,18.2
3,118.8,29.5,23.9,15.4,9.3,31.8,20.4
3,122.4,28.3,23.2,14.5,9.3,31.3,20.6
3,119.1,28.7,22.9,15.8,9.2,32.1,22.3
3,117.3,27.1,21.8,14.3,9.1,29.8,20.8
3,115.5,27.1,21.2,14.5,9.7,30.6,20.5
3,121.2,28.8,22.1,15.2,9.5,31.4,20.8
3,119.3,27.3,22,14.6,9,30.3,19.6
3,119.9,27.6,21.9,14.2,10.3,30.9,19.5
3,114,25.4,22,12.7,8.4,29.4,19.1
3,116,27.9,23.1,14.2,9.2,31.4,19.5
3,117.2,27.4,22,15.2,9.5,31,21.4
3,123,29.5,23.7,14.6,10.7,32,21.1
3,116.1,27.9,22.6,15.4,10,31.2,20.7
3,118.8,25.5,21.1,14.7,8.8,30,17.6
3,121.5,26.6,23,14.7,9.5,31.5,21.5
3,117.2,27.6,23,13.7,7.9,31.6,19.6
3,114.1,27.1,21.4,14.3,9,29.3,20.1
3,116.2,27.5,23,15.3,9.5,31,19.1
3,121.4,30.2,21.6,16.6,9.2,33.7,20.7
3,124.5,30.3,24,15.6,10.5,33.3,22.2
3,116.8,28.1,20.5,15.8,10.1,31.6,19.2
3,122.5,28.2,22.6,14.6,9.8,31.5,19.3
3,118.7,28.8,22.9,15.4,9.5,32.1,21.4
4,115.5,28.9,23,15.3,9.6,31.9,22
4,130.8,30,23.2,14.9,9.7,32.9,22.2
4,125.5,29.1,23.5,14.7,9.6,32.8,21.4
4,125.3,28.6,20.3,14.2,9.5,31.5,18.9
4,116.1,29,22.7,15.3,9.7,32,20.7
4,117.9,28.3,21.4,15.7,9.7,30.7,20.6
4,122.2,29.9,22.5,15.1,10.5,32.6,21.5
4,118.5,28.6,20.5,15.8,9.8,30.5,20.6
4,120.9,28.8,23.1,14.5,10.2,31.8,20.5
4,116.3,28.4,26.7,14.7,8.8,31,20.4
4,117.7,27.7,22.1,15,9.5,30.9,20.3
4,120.6,28.5,24.2,14.7,10.3,31.9,21.1
4,121.6,28.2,20.9,14.7,10.3,31.1,20.9
4,122,27.4,23,14.3,9.8,32.4,21.1
4,120.2,27.9,23.3,14.3,9.7,32.4,21.3
4,126.3,30.1,23.5,15.9,10.3,32.6,22.5
4,118.4,27.7,22.4,15.5,10,31.1,21.2
4,120.9,28.7,23.6,15.7,9.4,32.8,20.6
4,115.2,27.7,18.5,14.2,9.2,31.2,18.6
4,116.7,27.7,21.8,14.7,9.1,31,20.1
4,118.7,27.8,22.6,14.7,9.9,32.1,21.2
