A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
147.74,23.85,14.36,9.42,5.92,23.47,12.91,11.7,64.75,17.45,Rancho La Brea,R,adult,TOPOTYPE (measurements similar to those of the type specimen: U.C.Vert.Paleo N0 11300,,spur probably fully developed but a little rough surface,,
148.78,22.57,14.95,9.67,6.12,22.74,12.28,10.96,66,21.94,Rancho La Brea,R,adult,,,spur fully developed,figured specimen,
145.49,22.5,14.04,8.28,5.93,22.33,12.58,11.09,67.32,14.18,Rancho La Brea,R,adult,,,spur spongy,figured specimen,
145.42,,14.26,8.5,6.04,23.69,12.57,10.82,65.31,,Rancho La Brea,R,adult,,,spur=little bump,figured specimen,
141.53,22.13,13.42,8.78,5.8,23.12,13.16,11.29,,,Rancho La Brea,R,adult,,,No spur,figured specimen,
140.68,22.91,13.74,8.29,5.7,23.85,13.05,10.99,63.67,,Rancho La Brea,R,adult,,,spur=little bump,figured specimen,
138.75,22.11,13.16,8.12,5.49,22.83,12.83,11.59,,,Rancho La Brea,R,imm,,Measurements probably OK,No spur,figured specimen,
146.16,22.58,14.51,9.22,5.85,24.1,13.24,11.23,64.17,20.08,Rancho La Brea,R,adult,,,spur fully developed,,
139.49,21.82,12.61,7.86,5.36,20.99,11.02,10.36,,,Rancho La Brea,R,adult,,,spur=little bump,,
144.72,23.38,13.91,8.51,5.66,23.05,13.42,11.39,63.63,18.64,Rancho La Brea,R,adult,,,spur fully developed,,
144.66,22.07,13.71,8.42,5.56,22.89,12.15,11.27,66.53,14.39,Rancho La Brea,R,adult,,,spur spongy,,
144.47,22.91,13.84,8.9,5.69,23.22,13.27,10.82,68.77,21.29,Rancho La Brea,R,adult,,,spur fully developed,,
137.89,21.07,13.52,8.56,5.74,22.03,11.82,10.64,66.57,,Rancho La Brea,R,adult,,,spur=little bump,,
142.87,22.03,14.23,9.03,5.99,22.44,,11.37,62.14,20.86,Rancho La Brea,R,adult,,,spur fully developed,,
140.95,21.39,13.61,8.94,5.9,21.77,11.64,,66.55,15.19,Rancho La Brea,R,adult,,,spur spongy,,
135.87,21.96,13.59,8.56,5.63,22.15,12.6,10.98,60.06,17.44,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
141.45,21.2,13.2,8.51,5.9,22.17,12.46,10.91,67,17.29,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
134.87,21.67,12.7,8.71,5.46,22.17,11.92,10.65,62.18,16.08,Rancho La Brea,R,adult,,,"spur probably fully developed but a little rough surface, and broken",,
130.99,21.33,13.21,8.61,5.36,21.75,12.11,10.63,,,Rancho La Brea,R,adult,,,spur=little bump,,
134.98,20.53,13.25,7.4,5.43,,,,62.3,13.1,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
140.02,22.93,14.25,8.71,5.71,23.67,13.22,11.8,66.77,19.48,Rancho La Brea,R,adult,,,spur fully developed,,
141.86,,,8.98,5.74,22.54,12.01,10.63,64.25,19.47,Rancho La Brea,R,adult,,,spur fully developed,,
135.22,22.17,13.59,8.44,5.63,22.17,12.45,10.5,61.97,16.15,Rancho La Brea,R,adult,,,spur fully developed,,
132.16,22.38,13.26,8.48,5.54,22.74,12.18,11.24,62.68,17.72,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
134.47,,13.78,8.15,5.67,,,10.88,60.65,16,Rancho La Brea,R,adult,,,"spur probably fully developed but a little rough surface, and broken",,
143.28,22.48,14.06,8.68,5.88,22.03,12.52,10.73,66.07,,Rancho La Brea,R,adult,,,spur broken off,,
141.73,22.37,14.08,9.15,5.91,23.98,13.15,11.73,64.49,21.39,Rancho La Brea,R,adult,,,spur fully developed,,
142.96,22.39,13.9,8.95,5.7,23.64,12.77,11.59,67.71,18.24,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
141.71,22.32,13.26,9.06,5.82,22.26,11.71,11.27,65.24,14.88,Rancho La Brea,R,adult,,,spur spongy,,
142.19,21.11,13.43,8.63,5.78,21.98,11.5,,64.28,,Rancho La Brea,R,adult,,,spur=little bump,,
130.76,19.83,12.75,8.54,5.45,21.77,11.6,10.08,58.38,14.7,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface, small spur,
136.8,21.9,13.04,8.43,5.67,21.97,11.6,11.01,64.64,20.04,Rancho La Brea,R,adult,,,spur fully developed,,
137.19,20.73,13.79,8.56,5.53,22.06,12,11.08,62.9,20.64,Rancho La Brea,R,adult,,,spur fully developed,,
135.16,20.92,13.14,8.41,5.65,21.45,11.28,10.42,63.61,19.29,Rancho La Brea,R,adult,,,spur fully developed,,
141.85,21.47,13.52,,5.44,21.98,12.11,,66.12,14.28,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
141.09,23.03,14.8,9.24,5.91,24.35,12.62,11.81,65.49,17.86,Rancho La Brea,R,adult,,,Spur fully developed but top broken off,,
